feature_set,model,split,label,precision,recall,f1-score,support
v1_only,dummy_most_frequent,train,No,0.0,0.0,0.0,4160.0
v1_only,dummy_most_frequent,train,Yes,0.5391602968871164,1.0,0.7005901828127249,4867.0
v1_only,dummy_most_frequent,train,accuracy,0.5391602968871164,0.5391602968871164,0.5391602968871164,0.5391602968871164
v1_only,dummy_most_frequent,train,macro avg,0.2695801484435582,0.5,0.35029509140636245,9027.0
v1_only,dummy_most_frequent,train,weighted avg,0.2906938257394035,0.5391602968871164,0.37773041096150795,9027.0
v1_only,dummy_most_frequent,validation,No,0.0,0.0,0.0,777.0
v1_only,dummy_most_frequent,validation,Yes,0.5565068493150684,1.0,0.7150715071507151,975.0
v1_only,dummy_most_frequent,validation,accuracy,0.5565068493150684,0.5565068493150684,0.5565068493150684,0.5565068493150684
v1_only,dummy_most_frequent,validation,macro avg,0.2782534246575342,0.5,0.35753575357535755,1752.0
v1_only,dummy_most_frequent,validation,weighted avg,0.3096998733345843,0.5565068493150684,0.39794219147942195,1752.0
v1_only,dummy_most_frequent,test,No,0.0,0.0,0.0,781.0
v1_only,dummy_most_frequent,test,Yes,0.5534591194968553,1.0,0.7125506072874493,968.0
v1_only,dummy_most_frequent,test,accuracy,0.5534591194968553,0.5534591194968553,0.5534591194968553,0.5534591194968553
v1_only,dummy_most_frequent,test,macro avg,0.27672955974842767,0.5,0.3562753036437247,1749.0
v1_only,dummy_most_frequent,test,weighted avg,0.30631699695423437,0.5534591194968553,0.39436763170626127,1749.0
v1_only,logistic_regression,train,No,0.5800933125972006,0.4483173076923077,0.5057627118644068,4160.0
v1_only,logistic_regression,train,Yes,0.6051273227804542,0.7226217382371071,0.6586759059837063,4867.0
v1_only,logistic_regression,train,accuracy,0.5962113659022931,0.5962113659022931,0.5962113659022931,0.5962113659022931
v1_only,logistic_regression,train,macro avg,0.5926103176888274,0.5854695229647073,0.5822193089240566,9027.0
v1_only,logistic_regression,train,weighted avg,0.5935906569598787,0.5962113659022931,0.5882074350037255,9027.0
v1_only,logistic_regression,validation,No,0.4714064914992272,0.39253539253539255,0.42837078651685395,777.0
v1_only,logistic_regression,validation,Yes,0.5728506787330316,0.6492307692307693,0.6086538461538461,975.0
v1_only,logistic_regression,validation,accuracy,0.5353881278538812,0.5353881278538812,0.5353881278538812,0.5353881278538812
v1_only,logistic_regression,validation,macro avg,0.5221285851161295,0.5208830808830809,0.51851231633535,1752.0
v1_only,logistic_regression,validation,weighted avg,0.5278608765180396,0.5353881278538812,0.528699544020317,1752.0
v1_only,logistic_regression,test,No,0.48787446504992865,0.4379001280409731,0.46153846153846156,781.0
v1_only,logistic_regression,test,Yes,0.5811068702290076,0.6291322314049587,0.6041666666666666,968.0
v1_only,logistic_regression,test,accuracy,0.5437392795883362,0.5437392795883362,0.5437392795883362,0.5437392795883362
v1_only,logistic_regression,test,macro avg,0.5344906676394682,0.5335161797229659,0.5328525641025641,1749.0
v1_only,logistic_regression,test,weighted avg,0.5394747899289157,0.5437392795883362,0.5404773423641348,1749.0
v1_only,random_forest_reference,train,No,0.9557007988380537,0.9490384615384615,0.9523579785309372,4160.0
v1_only,random_forest_reference,train,Yes,0.9566993464052288,0.9623998356276967,0.9595411246543071,4867.0
v1_only,random_forest_reference,train,accuracy,0.9562423839592334,0.9562423839592334,0.9562423839592334,0.9562423839592334
v1_only,random_forest_reference,train,macro avg,0.9562000726216413,0.9557191485830792,0.9559495515926222,9027.0
v1_only,random_forest_reference,train,weighted avg,0.9562391760408279,0.9562423839592334,0.9562308457273969,9027.0
v1_only,random_forest_reference,validation,No,0.5064432989690721,0.5057915057915058,0.506117192530586,777.0
v1_only,random_forest_reference,validation,Yes,0.6065573770491803,0.6071794871794872,0.6068682726806766,975.0
v1_only,random_forest_reference,validation,accuracy,0.5622146118721462,0.5622146118721462,0.5622146118721462,0.5622146118721462
v1_only,random_forest_reference,validation,macro avg,0.5565003380091262,0.5564854964854965,0.5564927326056313,1752.0
v1_only,random_forest_reference,validation,weighted avg,0.5621574691335158,0.5622146118721462,0.5621858587100028,1752.0
v1_only,random_forest_reference,test,No,0.48148148148148145,0.4827144686299616,0.4820971867007673,781.0
