feature_set,model,split,true_label,predicted_label,count
v1_only,dummy_most_frequent,train,No,No,0
v1_only,dummy_most_frequent,train,No,Yes,4160
v1_only,dummy_most_frequent,train,Yes,No,0
v1_only,dummy_most_frequent,train,Yes,Yes,4867
v1_only,dummy_most_frequent,validation,No,No,0
v1_only,dummy_most_frequent,validation,No,Yes,777
v1_only,dummy_most_frequent,validation,Yes,No,0
v1_only,dummy_most_frequent,validation,Yes,Yes,975
v1_only,dummy_most_frequent,test,No,No,0
v1_only,dummy_most_frequent,test,No,Yes,781
v1_only,dummy_most_frequent,test,Yes,No,0
v1_only,dummy_most_frequent,test,Yes,Yes,968
v1_only,logistic_regression,train,No,No,1865
v1_only,logistic_regression,train,No,Yes,2295
v1_only,logistic_regression,train,Yes,No,1350
v1_only,logistic_regression,train,Yes,Yes,3517
v1_only,logistic_regression,validation,No,No,305
v1_only,logistic_regression,validation,No,Yes,472
v1_only,logistic_regression,validation,Yes,No,342
v1_only,logistic_regression,validation,Yes,Yes,633
v1_only,logistic_regression,test,No,No,342
v1_only,logistic_regression,test,No,Yes,439
v1_only,logistic_regression,test,Yes,No,359
v1_only,logistic_regression,test,Yes,Yes,609
v1_only,random_forest_reference,train,No,No,3948
v1_only,random_forest_reference,train,No,Yes,212
v1_only,random_forest_reference,train,Yes,No,183
v1_only,random_forest_reference,train,Yes,Yes,4684
v1_only,random_forest_reference,validation,No,No,393
v1_only,random_forest_reference,validation,No,Yes,384
v1_only,random_forest_reference,validation,Yes,No,383
v1_only,random_forest_reference,validation,Yes,Yes,592
v1_only,random_forest_reference,test,No,No,377
v1_only,random_forest_reference,test,No,Yes,404
v1_only,random_forest_reference,test,Yes,No,406
v1_only,random_forest_reference,test,Yes,Yes,562
v1_only,catboost_classifier,train,No,No,1158
v1_only,catboost_classifier,train,No,Yes,3002
v1_only,catboost_classifier,train,Yes,No,780
v1_only,catboost_classifier,train,Yes,Yes,4087
v1_only,catboost_classifier,validation,No,No,190
v1_only,catboost_classifier,validation,No,Yes,587
v1_only,catboost_classifier,validation,Yes,No,165
v1_only,catboost_classifier,validation,Yes,Yes,810
v1_only,catboost_classifier,test,No,No,168
v1_only,catboost_classifier,test,No,Yes,613
v1_only,catboost_classifier,test,Yes,No,206
v1_only,catboost_classifier,test,Yes,Yes,762
v1_btts_related,dummy_most_frequent,train,No,No,0
v1_btts_related,dummy_most_frequent,train,No,Yes,4160
v1_btts_related,dummy_most_frequent,train,Yes,No,0
v1_btts_related,dummy_most_frequent,train,Yes,Yes,4867
v1_btts_related,dummy_most_frequent,validation,No,No,0
v1_btts_related,dummy_most_frequent,validation,No,Yes,777
v1_btts_related,dummy_most_frequent,validation,Yes,No,0
v1_btts_related,dummy_most_frequent,validation,Yes,Yes,975
v1_btts_related,dummy_most_frequent,test,No,No,0
v1_btts_related,dummy_most_frequent,test,No,Yes,781
v1_btts_related,dummy_most_frequent,test,Yes,No,0
v1_btts_related,dummy_most_frequent,test,Yes,Yes,968
v1_btts_related,logistic_regression,train,No,No,1862
v1_btts_related,logistic_regression,train,No,Yes,2298
v1_btts_related,logistic_regression,train,Yes,No,1343
v1_btts_related,logistic_regression,train,Yes,Yes,3524
v1_btts_related,logistic_regression,validation,No,No,301
v1_btts_related,logistic_regression,validation,No,Yes,476
v1_btts_related,logistic_regression,validation,Yes,No,349
v1_btts_related,logistic_regression,validation,Yes,Yes,626
v1_btts_related,logistic_regression,test,No,No,343
v1_btts_related,logistic_regression,test,No,Yes,438
v1_btts_related,logistic_regression,test,Yes,No,375
v1_btts_related,logistic_regression,test,Yes,Yes,593
v1_btts_related,random_forest_reference,train,No,No,4008
v1_btts_related,random_forest_reference,train,No,Yes,152
v1_btts_related,random_forest_reference,train,Yes,No,118
v1_btts_related,random_forest_reference,train,Yes,Yes,4749
v1_btts_related,random_forest_reference,validation,No,No,382
v1_btts_related,random_forest_reference,validation,No,Yes,395
v1_btts_related,random_forest_reference,validation,Yes,No,371
v1_btts_related,random_forest_reference,validation,Yes,Yes,604
v1_btts_related,random_forest_reference,test,No,No,372
v1_btts_related,random_forest_reference,test,No,Yes,409
v1_btts_related,random_forest_reference,test,Yes,No,399
v1_btts_related,random_forest_reference,test,Yes,Yes,569
v1_btts_related,catboost_classifier,train,No,No,1278
v1_btts_related,catboost_classifier,train,No,Yes,2882
v1_btts_related,catboost_classifier,train,Yes,No,1034
v1_btts_related,catboost_classifier,train,Yes,Yes,3833
v1_btts_related,catboost_classifier,validation,No,No,217
v1_btts_related,catboost_classifier,validation,No,Yes,560
v1_btts_related,catboost_classifier,validation,Yes,No,186
v1_btts_related,catboost_classifier,validation,Yes,Yes,789
v1_btts_related,catboost_classifier,test,No,No,196
v1_btts_related,catboost_classifier,test,No,Yes,585
v1_btts_related,catboost_classifier,test,Yes,No,244
v1_btts_related,catboost_classifier,test,Yes,Yes,724
