feature_set,feature
v1_only,Division
v1_only,HomeTeam
v1_only,AwayTeam
v1_only,SeasonStartYear
v1_only,MatchMonth
v1_only,HomeElo
v1_only,AwayElo
v1_only,HomeEloSynced
v1_only,AwayEloSynced
v1_only,EloDiff
v1_only,EloMean
v1_only,OddHome
v1_only,OddDraw
v1_only,OddAway
v1_only,Over25
v1_only,Under25
v1_only,ImpliedHomeWin
v1_only,ImpliedDraw
v1_only,ImpliedAwayWin
v1_only,ImpliedOver25
v1_only,ImpliedUnder25
v1_only,BookmakerMargin1X2
v1_only,HomeMatchesPlayedBefore
v1_only,AwayMatchesPlayedBefore
v1_only,HomeRollingGoalsFor5
v1_only,HomeRollingGoalsAgainst5
v1_only,AwayRollingGoalsFor5
v1_only,AwayRollingGoalsAgainst5
v1_only,HomeRollingPoints3
v1_only,HomeRollingPoints5
v1_only,AwayRollingPoints3
v1_only,AwayRollingPoints5
v1_only,RollingGoalsForDiff5
v1_only,RollingGoalsAgainstDiff5
v1_only,RollingPointsDiff3
v1_only,RollingPointsDiff5
v1_btts_related,Division
v1_btts_related,HomeTeam
v1_btts_related,AwayTeam
v1_btts_related,SeasonStartYear
v1_btts_related,MatchMonth
v1_btts_related,HomeElo
v1_btts_related,AwayElo
v1_btts_related,HomeEloSynced
v1_btts_related,AwayEloSynced
v1_btts_related,EloDiff
v1_btts_related,EloMean
v1_btts_related,OddHome
v1_btts_related,OddDraw
v1_btts_related,OddAway
v1_btts_related,Over25
v1_btts_related,Under25
v1_btts_related,ImpliedHomeWin
v1_btts_related,ImpliedDraw
v1_btts_related,ImpliedAwayWin
v1_btts_related,ImpliedOver25
v1_btts_related,ImpliedUnder25
v1_btts_related,BookmakerMargin1X2
v1_btts_related,HomeMatchesPlayedBefore
v1_btts_related,AwayMatchesPlayedBefore
v1_btts_related,HomeRollingGoalsFor5
v1_btts_related,HomeRollingGoalsAgainst5
v1_btts_related,AwayRollingGoalsFor5
v1_btts_related,AwayRollingGoalsAgainst5
v1_btts_related,HomeRollingPoints3
v1_btts_related,HomeRollingPoints5
v1_btts_related,AwayRollingPoints3
v1_btts_related,AwayRollingPoints5
v1_btts_related,RollingGoalsForDiff5
v1_btts_related,RollingGoalsAgainstDiff5
v1_btts_related,RollingPointsDiff3
v1_btts_related,RollingPointsDiff5
v1_btts_related,HomeRollingBTTSRate5
v1_btts_related,AwayRollingBTTSRate5
v1_btts_related,RollingBTTSRateDiff5
v1_btts_related,HomeRollingOver25Rate5
v1_btts_related,AwayRollingOver25Rate5
v1_btts_related,RollingOver25RateDiff5
