model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
logistic_c_0_05__none,train,0.5,0.5877921790185,0.5731048782222503,0.6655280898876405,0.5915627996164909,0.7606328333675776,0.3855769230769231,0.7606328333675776,1604,2556,1165,3702,0.05,none,logistic_tuning
logistic_c_0_05__none,validation,0.5,0.5525114155251142,0.525943965943966,0.654320987654321,0.5738592420726991,0.7610256410256411,0.2908622908622909,0.7610256410256411,226,551,233,742,0.05,none,logistic_tuning
logistic_c_0_05__balanced,train,0.5,0.581588567630442,0.5818607902909706,0.5984904858084406,0.6200440528634361,0.5783850421204028,0.5853365384615384,0.5783850421204028,2435,1725,2052,2815,0.05,balanced,logistic_tuning
logistic_c_0_05__balanced,validation,0.5,0.5308219178082192,0.5267122067122068,0.571875,0.580952380952381,0.563076923076923,0.49034749034749037,0.563076923076923,381,396,426,549,0.05,balanced,logistic_tuning
logistic_c_0_05__no_1_2,train,0.5,0.5769358590893985,0.5795538734175214,0.5819376026272578,0.6227741330834115,0.5461269776042736,0.6129807692307693,0.5461269776042736,2550,1610,2209,2658,0.05,no_1_2,logistic_tuning
logistic_c_0_05__no_1_2,validation,0.5,0.526255707762557,0.5263993663993665,0.552319309600863,0.5824800910125142,0.5251282051282051,0.5276705276705277,0.5251282051282051,410,367,463,512,0.05,no_1_2,logistic_tuning
logistic_c_0_05__no_1_4,train,0.5,0.555333998005982,0.5720220855526228,0.4653702717101758,0.6614918591442636,0.35894801725909187,0.7850961538461538,0.35894801725909187,3266,894,3120,1747,0.05,no_1_4,logistic_tuning
logistic_c_0_05__no_1_4,validation,0.5,0.5159817351598174,0.5375546975546975,0.4435695538057743,0.6156648451730419,0.3466666666666667,0.7284427284427284,0.3466666666666667,566,211,637,338,0.05,no_1_4,logistic_tuning
logistic_c_0_05__yes_1_2,train,0.5,0.5739448321701562,0.5465574917813848,0.6940334128878282,0.5662728806958328,0.8962399835627697,0.196875,0.8962399835627697,819,3341,505,4362,0.05,yes_1_2,logistic_tuning
logistic_c_0_05__yes_1_2,validation,0.5,0.5559360730593608,0.5128165528165528,0.6915146708961142,0.5636716224951519,0.8943589743589744,0.13127413127413126,0.8943589743589744,102,675,103,872,0.05,yes_1_2,logistic_tuning
