feature,importance
Division,10.062973433489166
ImpliedDraw,9.569943494150689
Under25,9.146577762976772
ImpliedOver25,8.942169015827249
Over25,8.550546591105993
ImpliedUnder25,7.967475111948752
OddHome,5.748366043477924
ImpliedHomeWin,5.2338733859638795
EloDiff,5.073141554957071
ImpliedAwayWin,4.290581874608721
HomeRollingOver25Rate5,3.6571175187456895
RollingOver25RateDiff5,3.4554382056988655
HomeRollingGoalsFor5,3.439887525073773
RollingGoalsAgainstDiff5,3.048184870850899
AwayElo,2.899846718966056
HomeRollingGoalsAgainst5,2.8810784649764942
AwayRollingOver25Rate5,2.279193493071395
AwayRollingGoalsFor5,1.889046594131807
AwayRollingGoalsAgainst5,1.8000906377764259
RollingGoalsForDiff5,0.06446770220238365
MatchMonth,0.0
HomeEloSynced,0.0
SeasonStartYear,0.0
AwayTeam,0.0
HomeTeam,0.0
HomeElo,0.0
AwayEloSynced,0.0
AwayMatchesPlayedBefore,0.0
HomeMatchesPlayedBefore,0.0
OddDraw,0.0
EloMean,0.0
OddAway,0.0
BookmakerMargin1X2,0.0
HomeRollingPoints5,0.0
AwayRollingPoints3,0.0
AwayRollingPoints5,0.0
HomeRollingPoints3,0.0
RollingPointsDiff3,0.0
AwayRollingBTTSRate5,0.0
HomeRollingBTTSRate5,0.0
RollingPointsDiff5,0.0
RollingBTTSRateDiff5,0.0
