feature,importance
categorical__HomeTeam_Ajaccio,1.0871443374313232
categorical__AwayTeam_Frosinone,1.0151214817095628
categorical__HomeTeam_Paderborn,1.0045780686265358
categorical__HomeTeam_Hannover,0.957928995874635
categorical__AwayTeam_Hannover,0.9266279524455794
numeric__ImpliedUnder25,0.7628138869168468
categorical__HomeTeam_Lecce,0.7271373532497786
categorical__AwayTeam_Leicester,0.7173767451325658
categorical__AwayTeam_Norwich,0.7162871349970208
categorical__HomeTeam_Sheffield United,0.6425418462562198
categorical__AwayTeam_Almeria,0.6343015593204989
categorical__AwayTeam_Bielefeld,0.6250266214243612
categorical__AwayTeam_Greuther Furth,0.5962664920928753
categorical__AwayTeam_Cremonese,0.5949103170187127
categorical__HomeTeam_Getafe,0.5938031416258747
categorical__AwayTeam_Crotone,0.5832421652534658
categorical__AwayTeam_Troyes,0.5735998966537788
categorical__AwayTeam_West Brom,0.5639887739467111
categorical__AwayTeam_Dijon,0.5572333649208705
categorical__AwayTeam_Wolfsburg,0.5419994648883784
categorical__AwayTeam_Parma,0.5146333634911139
categorical__AwayTeam_Cardiff,0.5135990569073814
categorical__AwayTeam_Paderborn,0.5126260769763443
categorical__HomeTeam_Girona,0.49918906330664375
categorical__HomeTeam_Southampton,0.4793559390856382
categorical__HomeTeam_Villarreal,0.47146890918322737
categorical__HomeTeam_Bielefeld,0.4546882161358908
categorical__AwayTeam_Guingamp,0.44932021415061885
categorical__AwayTeam_Lorient,0.4470527161725597
numeric__HomeEloSynced,0.4459181876828579
categorical__HomeTeam_Cremonese,0.4423787417750037
categorical__HomeTeam_Almeria,0.4234293696946989
categorical__AwayTeam_Ein Frankfurt,0.4179813375206085
categorical__HomeTeam_Stuttgart,0.4173966249710056
categorical__AwayTeam_Caen,0.4164719842321679
categorical__AwayTeam_Brighton,0.4158551173769367
categorical__HomeTeam_Dijon,0.4146412319331493
categorical__HomeTeam_Paris SG,0.40661731578381893
categorical__HomeTeam_Venezia,0.40460559101275967
