feature,importance
numeric__BookmakerMargin1X2,0.034123300893918886
numeric__HomeMatchesPlayedBefore,0.033615123314279946
numeric__AwayMatchesPlayedBefore,0.03339978104450167
numeric__HomeEloSynced,0.033035774926517124
numeric__EloDiff,0.032878346446364205
numeric__HomeElo,0.032583393272550866
numeric__EloMean,0.0325675266407972
numeric__AwayElo,0.032315514317843276
numeric__ImpliedAwayWin,0.032108342104874885
numeric__AwayEloSynced,0.031657959524343124
numeric__Under25,0.031529309506216255
numeric__OddHome,0.03094588522163023
numeric__ImpliedHomeWin,0.030925777541482683
numeric__ImpliedUnder25,0.03092545511932368
numeric__ImpliedOver25,0.030835273769075914
numeric__OddAway,0.030661858747757554
numeric__ImpliedDraw,0.030011522351582675
numeric__Over25,0.029356446083004643
numeric__OddDraw,0.029053186284938987
numeric__MatchMonth,0.021899031398438372
numeric__RollingGoalsAgainstDiff5,0.020873823757963123
numeric__RollingGoalsForDiff5,0.02070417825549233
numeric__RollingPointsDiff5,0.020687939557714984
numeric__AwayRollingGoalsFor5,0.018890433644645207
numeric__AwayRollingGoalsAgainst5,0.01887224339199624
numeric__HomeRollingGoalsFor5,0.018714351215214833
numeric__HomeRollingGoalsAgainst5,0.01867053969293559
numeric__RollingPointsDiff3,0.018575387906435516
numeric__HomeRollingPoints5,0.018368536054170496
numeric__AwayRollingPoints5,0.018353179104899888
numeric__HomeRollingPoints3,0.015419832830446636
numeric__AwayRollingPoints3,0.014898933119638628
numeric__RollingBTTSRateDiff5,0.014207327693952028
numeric__RollingOver25RateDiff5,0.013490948778475354
numeric__SeasonStartYear,0.012826118799353033
numeric__AwayRollingBTTSRate5,0.011574790289933362
numeric__HomeRollingBTTSRate5,0.011278789385441317
numeric__HomeRollingOver25Rate5,0.010864808543685515
numeric__AwayRollingOver25Rate5,0.010361092587809982
categorical__Division_E0,0.0035417746967301607
categorical__Division_D1,0.0034680157657475588
categorical__Division_I1,0.0032327898413985973
categorical__Division_SP1,0.0032195227963740217
categorical__Division_F1,0.002696865926814221
categorical__AwayTeam_Leicester,0.0008158593025589484
categorical__HomeTeam_Getafe,0.0007600663305043435
categorical__HomeTeam_Southampton,0.0005950750493638492
categorical__AwayTeam_Betis,0.00058040022797499
categorical__HomeTeam_Sassuolo,0.0005171645141072154
categorical__AwayTeam_Valencia,0.0004915475195369205
categorical__HomeTeam_Ein Frankfurt,0.0004901909397749862
categorical__AwayTeam_Mainz,0.0004742479204764255
categorical__HomeTeam_Man United,0.00046960831923962073
categorical__HomeTeam_Villarreal,0.0004529825206165907
categorical__HomeTeam_Marseille,0.0004517306438718653
categorical__AwayTeam_Ein Frankfurt,0.00042262845723259427
categorical__AwayTeam_Parma,0.00040879431345273217
categorical__AwayTeam_Norwich,0.0003975826661234802
categorical__AwayTeam_Freiburg,0.0003780799527424691
