feature,importance
Under25,11.27044227539746
ImpliedOver25,9.097561836987252
MatchMonth,7.839550008748765
OddDraw,7.816464198323626
OddAway,7.038047780988956
ImpliedUnder25,6.349852307420354
ImpliedAwayWin,4.506631033237938
AwayRollingPoints3,4.289907304836476
Over25,3.87586420241707
HomeRollingPoints5,3.5255946959242883
HomeRollingGoalsFor5,3.4898261941667297
AwayElo,3.4428775611233005
Division,3.4197489557311878
HomeRollingGoalsAgainst5,3.115528837374393
HomeMatchesPlayedBefore,2.9466199169405294
AwayEloSynced,2.58957297657388
AwayRollingPoints5,2.5730882607411507
OddHome,2.220814069341747
ImpliedHomeWin,1.8888002310509535
RollingGoalsForDiff5,1.7690602526801316
BookmakerMargin1X2,1.5297565690866795
HomeEloSynced,1.2817262831899803
AwayMatchesPlayedBefore,1.1210949346951466
EloMean,0.9553345069487461
AwayRollingGoalsFor5,0.8562516208794575
EloDiff,0.7217002345383401
ImpliedDraw,0.31323245137132055
RollingGoalsAgainstDiff5,0.15505049928415138
SeasonStartYear,0.0
AwayTeam,0.0
HomeTeam,0.0
HomeElo,0.0
AwayRollingGoalsAgainst5,0.0
HomeRollingPoints3,0.0
RollingPointsDiff3,0.0
RollingPointsDiff5,0.0
