feature,importance
categorical__HomeTeam_Ajaccio,1.0771014945767694
categorical__AwayTeam_Frosinone,1.0398627765274802
categorical__HomeTeam_Paderborn,0.9968316429646369
categorical__HomeTeam_Hannover,0.9732302308325527
categorical__AwayTeam_Hannover,0.9280614683473843
numeric__ImpliedUnder25,0.7572979064984006
categorical__HomeTeam_Lecce,0.732584557038582
categorical__AwayTeam_Leicester,0.7222460777596841
categorical__AwayTeam_Norwich,0.7167622650691813
categorical__AwayTeam_Almeria,0.6715011749622964
categorical__HomeTeam_Sheffield United,0.6480957745693704
categorical__AwayTeam_Bielefeld,0.6428297637756013
categorical__AwayTeam_Cremonese,0.6180743260189048
categorical__AwayTeam_Crotone,0.5968871768512115
categorical__AwayTeam_Greuther Furth,0.5962262992811018
categorical__HomeTeam_Getafe,0.5863804827339816
categorical__AwayTeam_Troyes,0.5757422357413396
categorical__AwayTeam_West Brom,0.5739038611028796
categorical__AwayTeam_Wolfsburg,0.5484482935990544
categorical__AwayTeam_Dijon,0.5456959670594395
categorical__AwayTeam_Cardiff,0.5296133358244258
categorical__AwayTeam_Paderborn,0.514299192542896
categorical__AwayTeam_Parma,0.5134002755447613
categorical__HomeTeam_Girona,0.4889137843700055
categorical__HomeTeam_Villarreal,0.4736557743260794
categorical__HomeTeam_Southampton,0.47027189693250293
categorical__HomeTeam_Cremonese,0.45388963455636083
categorical__AwayTeam_Guingamp,0.45142318316737307
categorical__HomeTeam_Bielefeld,0.44764018310866366
categorical__AwayTeam_Lorient,0.4415054667094374
numeric__HomeEloSynced,0.42501535198149565
categorical__AwayTeam_Ein Frankfurt,0.42497579091021553
categorical__AwayTeam_Caen,0.42267600793201454
categorical__HomeTeam_Almeria,0.4215717653803515
categorical__AwayTeam_Brighton,0.4189630511679474
categorical__HomeTeam_West Brom,0.4060138950515669
categorical__HomeTeam_Stuttgart,0.4053512914815134
numeric__ImpliedOver25,0.39740173392489186
categorical__HomeTeam_Venezia,0.3965352992190701
categorical__AwayTeam_Werder Bremen,0.3962559332840321
categorical__AwayTeam_Betis,0.3917706367889789
categorical__HomeTeam_Dijon,0.3892523517878476
categorical__AwayTeam_Huesca,0.3828211903697965
categorical__HomeTeam_Vallecano,0.3764303500039946
categorical__HomeTeam_Paris SG,0.37474369355375214
categorical__AwayTeam_Espanol,0.3723537194421322
categorical__HomeTeam_Parma,0.3591714424811239
categorical__HomeTeam_Real Madrid,0.35307311021060683
categorical__HomeTeam_Schalke 04,0.3491034801950331
categorical__HomeTeam_Nurnberg,0.3476716985217736
categorical__AwayTeam_Bochum,0.34496696123219256
categorical__HomeTeam_Marseille,0.3373589546114833
categorical__HomeTeam_Arsenal,0.33641716196060495
categorical__HomeTeam_Werder Bremen,0.33556670214044365
categorical__AwayTeam_Sassuolo,0.32914034311909973
categorical__AwayTeam_Bournemouth,0.32884546898077666
categorical__HomeTeam_Ein Frankfurt,0.3279975530862359
categorical__HomeTeam_Sassuolo,0.3264889295746906
categorical__HomeTeam_Nottm Forest,0.3230054431188204
categorical__AwayTeam_Lyon,0.31990989576342954
categorical__AwayTeam_Osasuna,0.3181495088084469
categorical__AwayTeam_Lens,0.3157894107936251
categorical__HomeTeam_Inter,0.31479740255191513
categorical__HomeTeam_Man United,0.3130547362614785
categorical__AwayTeam_Nice,0.3115488501572052
numeric__AwayEloSynced,0.3080111204971307
categorical__AwayTeam_Salernitana,0.30412519098042634
categorical__AwayTeam_Mallorca,0.30020805661705036
categorical__AwayTeam_Tottenham,0.29988091452693383
