feature,importance
numeric__EloDiff,0.03687936419859782
numeric__BookmakerMargin1X2,0.036342959377990265
numeric__AwayMatchesPlayedBefore,0.035923119993002475
numeric__HomeEloSynced,0.03572055700192804
numeric__HomeMatchesPlayedBefore,0.03503098904282487
numeric__HomeElo,0.0348253547076752
numeric__EloMean,0.03430298158820687
numeric__ImpliedAwayWin,0.034260965775523344
numeric__AwayElo,0.034200014067520136
numeric__AwayEloSynced,0.03403670813044198
numeric__OddAway,0.03398231308076139
numeric__Under25,0.03335487758393538
numeric__ImpliedHomeWin,0.03290629079811999
numeric__OddHome,0.032442636145591175
numeric__Over25,0.032364229444701624
numeric__ImpliedUnder25,0.032168595985676965
numeric__ImpliedDraw,0.03213083496738023
numeric__OddDraw,0.03209123720687877
numeric__ImpliedOver25,0.03102814041294106
numeric__MatchMonth,0.023421835041126292
numeric__RollingGoalsAgainstDiff5,0.023350968127101284
numeric__RollingGoalsForDiff5,0.02295570910224086
numeric__RollingPointsDiff5,0.02213594826524177
numeric__HomeRollingGoalsFor5,0.02105179513272433
numeric__HomeRollingGoalsAgainst5,0.021038149688589
numeric__AwayRollingGoalsFor5,0.020708237932365762
numeric__AwayRollingGoalsAgainst5,0.020676357013723806
numeric__RollingPointsDiff3,0.019479042245289773
numeric__HomeRollingPoints5,0.019149219330153646
numeric__AwayRollingPoints5,0.01867245186298745
numeric__HomeRollingPoints3,0.016088628143328367
numeric__AwayRollingPoints3,0.016040620524331615
numeric__SeasonStartYear,0.013213090055165766
categorical__Division_I1,0.003615485969715406
categorical__Division_E0,0.0035681884630391373
categorical__Division_D1,0.0035083895605736606
categorical__Division_SP1,0.0030704223077744944
categorical__Division_F1,0.0028911881348504245
categorical__HomeTeam_Getafe,0.0009387915156839114
categorical__AwayTeam_Leicester,0.0008885751599933598
categorical__HomeTeam_Ein Frankfurt,0.0006971205362644809
categorical__HomeTeam_Southampton,0.0006843346324258202
categorical__AwayTeam_Valencia,0.0006690836024689751
categorical__HomeTeam_Marseille,0.0006300897074264164
categorical__AwayTeam_Betis,0.0006033184332902379
categorical__AwayTeam_Ein Frankfurt,0.0005744454591720762
categorical__HomeTeam_Man United,0.0005739804007463266
categorical__HomeTeam_Villarreal,0.0005557141041153015
categorical__AwayTeam_Parma,0.0005057120376088058
categorical__AwayTeam_Bayern Munich,0.0004975771308169527
categorical__AwayTeam_Hoffenheim,0.000479125713632963
categorical__HomeTeam_Leicester,0.00047176309589971475
categorical__AwayTeam_Norwich,0.0004713550317822955
categorical__HomeTeam_Sevilla,0.000453110723914158
categorical__HomeTeam_Sassuolo,0.0004478668029140232
categorical__HomeTeam_Wolfsburg,0.0004457711010714037
categorical__AwayTeam_Lyon,0.00043878981505243394
categorical__HomeTeam_Atalanta,0.0004350860181193969
categorical__AwayTeam_Espanol,0.0004321273596496075
categorical__HomeTeam_Ath Bilbao,0.0004305811810578693
categorical__HomeTeam_Parma,0.00042751583969124823
categorical__HomeTeam_Strasbourg,0.0004238461368939582
categorical__AwayTeam_Nice,0.00039810440361397897
categorical__AwayTeam_Lazio,0.0003942501912645042
categorical__AwayTeam_Wolfsburg,0.000388632032478337
categorical__AwayTeam_Getafe,0.0003880083546798614
categorical__AwayTeam_Mainz,0.0003860371587315315
categorical__AwayTeam_Werder Bremen,0.00037719212064598804
categorical__AwayTeam_Augsburg,0.00037613622080363276
categorical__AwayTeam_Bologna,0.0003750065597358677
categorical__AwayTeam_Brighton,0.00037274205002358246
categorical__AwayTeam_Arsenal,0.0003720721481760898
categorical__HomeTeam_Crystal Palace,0.000371897594452015
categorical__AwayTeam_Burnley,0.00036958205997431856
categorical__HomeTeam_Aston Villa,0.0003685971238222823
categorical__AwayTeam_Sassuolo,0.00036330156189655295
categorical__HomeTeam_Everton,0.00036171555717973977
categorical__AwayTeam_Man City,0.0003615700882893008
categorical__AwayTeam_West Ham,0.00035519102806262214
categorical__AwayTeam_Angers,0.0003482573883893558
categorical__HomeTeam_Brighton,0.0003433764652165668
categorical__HomeTeam_Barcelona,0.00034101963065782774
categorical__HomeTeam_Schalke 04,0.00034091717621929696
categorical__HomeTeam_Reims,0.00033967420813633086
categorical__AwayTeam_Tottenham,0.00033760117718471
categorical__HomeTeam_Valladolid,0.00032701415799175546
categorical__HomeTeam_Wolves,0.0003246894571501928
categorical__HomeTeam_Chelsea,0.0003236207349342733
categorical__HomeTeam_Torino,0.00032232902404664206
categorical__HomeTeam_West Ham,0.00032087719152558
categorical__AwayTeam_RB Leipzig,0.00031812763391132564
categorical__HomeTeam_Hoffenheim,0.0003159529777969166
categorical__AwayTeam_Inter,0.0003128200895107093
categorical__AwayTeam_Wolves,0.00031176834187174915
categorical__AwayTeam_Dijon,0.00031017294066968846
categorical__AwayTeam_Roma,0.0003051386623945823
categorical__HomeTeam_Mainz,0.00030353168920235876
categorical__HomeTeam_Man City,0.0003013433146286036
categorical__HomeTeam_Dortmund,0.0003012633037943214
categorical__HomeTeam_Lazio,0.00029971200773375157
categorical__AwayTeam_Atalanta,0.0002983147159497886
categorical__AwayTeam_Crystal Palace,0.0002961192893164681
categorical__HomeTeam_Udinese,0.0002944996422575368
categorical__AwayTeam_Freiburg,0.0002937393079970485
categorical__AwayTeam_Everton,0.0002936902675494438
categorical__HomeTeam_Augsburg,0.0002923990302055943
categorical__HomeTeam_Leverkusen,0.00029119268486601173
categorical__HomeTeam_Nice,0.000291049722105078
categorical__HomeTeam_Sociedad,0.00028962237460345184
categorical__AwayTeam_Celta,0.0002894169260770815
categorical__HomeTeam_Inter,0.000288804889747601
categorical__AwayTeam_Rennes,0.0002884582342594206
categorical__AwayTeam_Sevilla,0.0002882866790168989
categorical__AwayTeam_Sociedad,0.00028655948640999077
categorical__AwayTeam_Fiorentina,0.0002834610979129698
categorical__HomeTeam_Sampdoria,0.00028339977033219575
categorical__HomeTeam_Newcastle,0.0002833062697040905
categorical__HomeTeam_Liverpool,0.0002811716581747114
categorical__HomeTeam_Valencia,0.0002807061351852441
categorical__AwayTeam_Marseille,0.00028015719639292596
categorical__HomeTeam_Napoli,0.00027976066396888393
categorical__HomeTeam_Alaves,0.00027972561063968176
categorical__AwayTeam_Real Madrid,0.0002787448699936745
categorical__HomeTeam_Burnley,0.0002783744736273936
categorical__HomeTeam_Lyon,0.0002775802039741295
categorical__AwayTeam_Southampton,0.00027532271057543204
categorical__HomeTeam_Freiburg,0.00027350821226017775
categorical__AwayTeam_Barcelona,0.00027347978844876534
categorical__HomeTeam_Stuttgart,0.0002733635148030276
categorical__HomeTeam_Spezia,0.00027122525412766953
categorical__HomeTeam_Juventus,0.0002692618183396173
categorical__HomeTeam_Arsenal,0.00026899663956328376
categorical__AwayTeam_Osasuna,0.0002682842580252375
categorical__AwayTeam_Chelsea,0.0002671946916099153
categorical__AwayTeam_Liverpool,0.0002649747765738694
categorical__HomeTeam_Tottenham,0.00026422582723583646
categorical__AwayTeam_Sampdoria,0.00026139397618648246
categorical__HomeTeam_Celta,0.00026107821868010005
categorical__HomeTeam_Dijon,0.0002606198663534218
categorical__HomeTeam_Sheffield United,0.0002597315734658897
categorical__HomeTeam_Paris SG,0.00025964508247917895
categorical__HomeTeam_Montpellier,0.0002596048766366133
categorical__HomeTeam_Espanol,0.00025777374057420606
categorical__AwayTeam_Torino,0.00025618541837755816
categorical__AwayTeam_Juventus,0.00025599349048163164
categorical__HomeTeam_FC Koln,0.0002552154393133329
categorical__AwayTeam_Man United,0.0002538811353115913
categorical__HomeTeam_MGladbach,0.00025374606786960653
categorical__AwayTeam_Alaves,0.00025057077812775747
categorical__HomeTeam_Nantes,0.0002499483304909412
categorical__AwayTeam_Empoli,0.00024846439758088266
