split,conflict_pattern,count
test,btts:0!=1,388
test,btts:0!=1|over25:0!=1,104
test,over25:0!=1,94
test,over25:1!=0,82
test,outcome:D!=H,69
test,outcome:H!=D|btts:0!=1,68
test,outcome:D!=A,45
test,outcome:H!=D,37
test,outcome:A!=D,36
test,outcome:D!=H|over25:0!=1,30
test,outcome:A!=D|btts:0!=1,26
test,outcome:D!=A|over25:0!=1,22
test,outcome:H!=D|over25:1!=0,18
test,outcome:H!=D|btts:0!=1|over25:1!=0,15
test,outcome:A!=D|over25:1!=0,14
test,btts:0!=1|over25:1!=0,13
test,outcome:A!=D|btts:0!=1|over25:1!=0,12
test,outcome:D!=H|btts:0!=1|over25:0!=1,9
test,outcome:D!=H|btts:0!=1,8
test,outcome:A!=H|btts:0!=1,5
test,outcome:D!=A|btts:0!=1|over25:0!=1,4
test,outcome:A!=H,3
test,outcome:H!=A,2
test,outcome:A!=H|btts:0!=1|over25:0!=1,1
test,outcome:D!=A|btts:0!=1,1
test,outcome:H!=A|btts:0!=1,1
test,outcome:H!=A|btts:0!=1|over25:0!=1,1
test,outcome:H!=D|over25:0!=1,1
train,btts:0!=1,1801
train,over25:0!=1,562
train,btts:0!=1|over25:0!=1,474
train,outcome:D!=H,364
train,over25:1!=0,355
train,outcome:H!=D|btts:0!=1,269
train,outcome:D!=H|over25:0!=1,240
train,outcome:D!=A,229
train,outcome:H!=D,188
train,outcome:A!=D,171
train,outcome:D!=A|over25:0!=1,146
train,outcome:A!=D|btts:0!=1,142
train,outcome:H!=D|over25:1!=0,65
train,outcome:A!=D|over25:1!=0,59
train,outcome:H!=D|btts:0!=1|over25:1!=0,57
train,btts:0!=1|over25:1!=0,49
train,outcome:D!=H|btts:0!=1|over25:0!=1,48
train,outcome:A!=D|btts:0!=1|over25:1!=0,44
train,outcome:D!=A|btts:0!=1|over25:0!=1,32
train,outcome:A!=H,22
train,outcome:H!=A,19
train,btts:1!=0,16
train,outcome:D!=H|btts:0!=1,16
train,outcome:D!=A|btts:0!=1,15
train,outcome:A!=H|over25:0!=1,7
train,outcome:H!=D|over25:0!=1,6
train,btts:1!=0|over25:1!=0,5
train,outcome:A!=H|btts:0!=1,2
train,outcome:A!=H|btts:0!=1|over25:0!=1,2
train,outcome:D!=H|btts:1!=0|over25:1!=0,2
train,outcome:H!=A|btts:0!=1,2
train,btts:1!=0|over25:0!=1,1
train,outcome:A!=D|btts:0!=1|over25:0!=1,1
train,outcome:A!=D|over25:0!=1,1
train,outcome:A!=H|btts:1!=0|over25:1!=0,1
train,outcome:D!=A|btts:1!=0,1
train,outcome:H!=A|over25:0!=1,1
validation,btts:0!=1,327
validation,over25:0!=1,126
validation,btts:0!=1|over25:0!=1,100
validation,over25:1!=0,67
validation,outcome:D!=H,66
validation,outcome:H!=D|btts:0!=1,65
validation,outcome:D!=H|over25:0!=1,45
validation,outcome:D!=A,44
validation,outcome:H!=D,44
validation,outcome:A!=D,37
validation,outcome:D!=A|over25:0!=1,24
validation,outcome:H!=D|btts:0!=1|over25:1!=0,23
validation,btts:0!=1|over25:1!=0,21
validation,outcome:A!=D|btts:0!=1,21
validation,outcome:A!=D|btts:0!=1|over25:1!=0,18
validation,outcome:A!=D|over25:1!=0,13
validation,outcome:D!=H|btts:0!=1|over25:0!=1,10
validation,outcome:H!=D|over25:1!=0,9
validation,outcome:D!=A|btts:0!=1|over25:0!=1,7
validation,outcome:D!=H|btts:0!=1,7
validation,btts:1!=0,5
validation,outcome:A!=H,4
validation,outcome:D!=A|btts:0!=1,2
validation,outcome:D!=A|btts:1!=0,2
validation,outcome:A!=H|over25:0!=1,1
validation,outcome:D!=H|btts:1!=0,1
validation,outcome:H!=A,1
validation,outcome:H!=A|over25:0!=1,1
