feature_set,model,split,true_label,predicted_label,count
v1_only,dummy_most_frequent,train,No,No,0
v1_only,dummy_most_frequent,train,No,Yes,4418
v1_only,dummy_most_frequent,train,Yes,No,0
v1_only,dummy_most_frequent,train,Yes,Yes,4609
v1_only,dummy_most_frequent,validation,No,No,0
v1_only,dummy_most_frequent,validation,No,Yes,860
v1_only,dummy_most_frequent,validation,Yes,No,0
v1_only,dummy_most_frequent,validation,Yes,Yes,892
v1_only,dummy_most_frequent,test,No,No,0
v1_only,dummy_most_frequent,test,No,Yes,878
v1_only,dummy_most_frequent,test,Yes,No,0
v1_only,dummy_most_frequent,test,Yes,Yes,871
v1_only,logistic_regression,train,No,No,2339
v1_only,logistic_regression,train,No,Yes,2079
v1_only,logistic_regression,train,Yes,No,1651
v1_only,logistic_regression,train,Yes,Yes,2958
v1_only,logistic_regression,validation,No,No,560
v1_only,logistic_regression,validation,No,Yes,300
v1_only,logistic_regression,validation,Yes,No,522
v1_only,logistic_regression,validation,Yes,Yes,370
v1_only,logistic_regression,test,No,No,681
v1_only,logistic_regression,test,No,Yes,197
v1_only,logistic_regression,test,Yes,No,612
v1_only,logistic_regression,test,Yes,Yes,259
v1_only,random_forest_reference,train,No,No,4274
v1_only,random_forest_reference,train,No,Yes,144
v1_only,random_forest_reference,train,Yes,No,125
v1_only,random_forest_reference,train,Yes,Yes,4484
v1_only,random_forest_reference,validation,No,No,498
v1_only,random_forest_reference,validation,No,Yes,362
v1_only,random_forest_reference,validation,Yes,No,454
v1_only,random_forest_reference,validation,Yes,Yes,438
v1_only,random_forest_reference,test,No,No,537
v1_only,random_forest_reference,test,No,Yes,341
v1_only,random_forest_reference,test,Yes,No,460
v1_only,random_forest_reference,test,Yes,Yes,411
v1_only,catboost_classifier,train,No,No,2340
v1_only,catboost_classifier,train,No,Yes,2078
v1_only,catboost_classifier,train,Yes,No,1158
v1_only,catboost_classifier,train,Yes,Yes,3451
v1_only,catboost_classifier,validation,No,No,449
v1_only,catboost_classifier,validation,No,Yes,411
v1_only,catboost_classifier,validation,Yes,No,357
v1_only,catboost_classifier,validation,Yes,Yes,535
v1_only,catboost_classifier,test,No,No,561
v1_only,catboost_classifier,test,No,Yes,317
v1_only,catboost_classifier,test,Yes,No,459
v1_only,catboost_classifier,test,Yes,Yes,412
v1_corners_related,dummy_most_frequent,train,No,No,0
v1_corners_related,dummy_most_frequent,train,No,Yes,4418
v1_corners_related,dummy_most_frequent,train,Yes,No,0
v1_corners_related,dummy_most_frequent,train,Yes,Yes,4609
v1_corners_related,dummy_most_frequent,validation,No,No,0
v1_corners_related,dummy_most_frequent,validation,No,Yes,860
v1_corners_related,dummy_most_frequent,validation,Yes,No,0
v1_corners_related,dummy_most_frequent,validation,Yes,Yes,892
v1_corners_related,dummy_most_frequent,test,No,No,0
v1_corners_related,dummy_most_frequent,test,No,Yes,878
v1_corners_related,dummy_most_frequent,test,Yes,No,0
v1_corners_related,dummy_most_frequent,test,Yes,Yes,871
v1_corners_related,logistic_regression,train,No,No,2360
v1_corners_related,logistic_regression,train,No,Yes,2058
v1_corners_related,logistic_regression,train,Yes,No,1637
v1_corners_related,logistic_regression,train,Yes,Yes,2972
v1_corners_related,logistic_regression,validation,No,No,540
v1_corners_related,logistic_regression,validation,No,Yes,320
v1_corners_related,logistic_regression,validation,Yes,No,509
v1_corners_related,logistic_regression,validation,Yes,Yes,383
v1_corners_related,logistic_regression,test,No,No,676
v1_corners_related,logistic_regression,test,No,Yes,202
v1_corners_related,logistic_regression,test,Yes,No,618
v1_corners_related,logistic_regression,test,Yes,Yes,253
v1_corners_related,random_forest_reference,train,No,No,4395
v1_corners_related,random_forest_reference,train,No,Yes,23
v1_corners_related,random_forest_reference,train,Yes,No,25
v1_corners_related,random_forest_reference,train,Yes,Yes,4584
v1_corners_related,random_forest_reference,validation,No,No,482
v1_corners_related,random_forest_reference,validation,No,Yes,378
v1_corners_related,random_forest_reference,validation,Yes,No,414
v1_corners_related,random_forest_reference,validation,Yes,Yes,478
v1_corners_related,random_forest_reference,test,No,No,526
v1_corners_related,random_forest_reference,test,No,Yes,352
v1_corners_related,random_forest_reference,test,Yes,No,449
v1_corners_related,random_forest_reference,test,Yes,Yes,422
v1_corners_related,catboost_classifier,train,No,No,2791
v1_corners_related,catboost_classifier,train,No,Yes,1627
v1_corners_related,catboost_classifier,train,Yes,No,1108
v1_corners_related,catboost_classifier,train,Yes,Yes,3501
v1_corners_related,catboost_classifier,validation,No,No,462
v1_corners_related,catboost_classifier,validation,No,Yes,398
v1_corners_related,catboost_classifier,validation,Yes,No,381
v1_corners_related,catboost_classifier,validation,Yes,Yes,511
v1_corners_related,catboost_classifier,test,No,No,545
v1_corners_related,catboost_classifier,test,No,Yes,333
v1_corners_related,catboost_classifier,test,Yes,No,455
v1_corners_related,catboost_classifier,test,Yes,Yes,416
