feature_set,feature
v1_only,Division
v1_only,HomeTeam
v1_only,AwayTeam
v1_only,SeasonStartYear
v1_only,MatchMonth
v1_only,HomeElo
v1_only,AwayElo
v1_only,HomeEloSynced
v1_only,AwayEloSynced
v1_only,EloDiff
v1_only,EloMean
v1_only,OddHome
v1_only,OddDraw
v1_only,OddAway
v1_only,Over25
v1_only,Under25
v1_only,ImpliedHomeWin
v1_only,ImpliedDraw
v1_only,ImpliedAwayWin
v1_only,ImpliedOver25
v1_only,ImpliedUnder25
v1_only,BookmakerMargin1X2
v1_only,HomeMatchesPlayedBefore
v1_only,AwayMatchesPlayedBefore
v1_only,HomeRollingGoalsFor5
v1_only,HomeRollingGoalsAgainst5
v1_only,AwayRollingGoalsFor5
v1_only,AwayRollingGoalsAgainst5
v1_only,HomeRollingPoints3
v1_only,HomeRollingPoints5
v1_only,AwayRollingPoints3
v1_only,AwayRollingPoints5
v1_only,RollingGoalsForDiff5
v1_only,RollingGoalsAgainstDiff5
v1_only,RollingPointsDiff3
v1_only,RollingPointsDiff5
v1_corners_related,Division
v1_corners_related,HomeTeam
v1_corners_related,AwayTeam
v1_corners_related,SeasonStartYear
v1_corners_related,MatchMonth
v1_corners_related,HomeElo
v1_corners_related,AwayElo
v1_corners_related,HomeEloSynced
v1_corners_related,AwayEloSynced
v1_corners_related,EloDiff
v1_corners_related,EloMean
v1_corners_related,OddHome
v1_corners_related,OddDraw
v1_corners_related,OddAway
v1_corners_related,Over25
v1_corners_related,Under25
v1_corners_related,ImpliedHomeWin
v1_corners_related,ImpliedDraw
v1_corners_related,ImpliedAwayWin
v1_corners_related,ImpliedOver25
v1_corners_related,ImpliedUnder25
v1_corners_related,BookmakerMargin1X2
v1_corners_related,HomeMatchesPlayedBefore
v1_corners_related,AwayMatchesPlayedBefore
v1_corners_related,HomeRollingGoalsFor5
v1_corners_related,HomeRollingGoalsAgainst5
v1_corners_related,AwayRollingGoalsFor5
v1_corners_related,AwayRollingGoalsAgainst5
v1_corners_related,HomeRollingPoints3
v1_corners_related,HomeRollingPoints5
v1_corners_related,AwayRollingPoints3
v1_corners_related,AwayRollingPoints5
v1_corners_related,RollingGoalsForDiff5
v1_corners_related,RollingGoalsAgainstDiff5
v1_corners_related,RollingPointsDiff3
v1_corners_related,RollingPointsDiff5
v1_corners_related,HomeRollingCornersFor5
v1_corners_related,HomeRollingCornersAgainst5
v1_corners_related,AwayRollingCornersFor5
v1_corners_related,AwayRollingCornersAgainst5
v1_corners_related,RollingCornersForDiff5
v1_corners_related,RollingCornersAgainstDiff5
v1_corners_related,HomeRollingTotalCorners5
v1_corners_related,AwayRollingTotalCorners5
v1_corners_related,RollingTotalCornersDiff5
v1_corners_related,HomeRollingCornersOver95Rate5
v1_corners_related,AwayRollingCornersOver95Rate5
v1_corners_related,RollingCornersOver95RateDiff5
v1_corners_related,HomeRollingCornersFor3
v1_corners_related,HomeRollingCornersAgainst3
v1_corners_related,AwayRollingCornersFor3
v1_corners_related,AwayRollingCornersAgainst3
v1_corners_related,RollingCornersForDiff3
v1_corners_related,RollingCornersAgainstDiff3
