feature_set,model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
v1_only,logistic_c_0_05__none,train,0.5,0.5793729921347069,0.5779628565403508,0.6101242427353938,0.5791423001949317,0.6446083749186374,0.5113173381620643,0.6446083749186374,2259,2159,1638,2971,0.05,none,logistic_tuning
v1_only,logistic_c_0_05__none,validation,0.5,0.5348173515981736,0.5383642715611638,0.4296710986703989,0.5716945996275605,0.34417040358744394,0.7325581395348837,0.34417040358744394,630,230,585,307,0.05,none,logistic_tuning
v1_only,logistic_c_0_05__balanced,train,0.5,0.5813670100808686,0.5811021226110938,0.5915036212301373,0.5894011202068075,0.5936211759600781,0.5685830692621096,0.5936211759600781,2512,1906,1873,2736,0.05,balanced,logistic_tuning
v1_only,logistic_c_0_05__balanced,validation,0.5,0.5285388127853882,0.5328449264782564,0.39085545722713866,0.5711206896551724,0.297085201793722,0.7686046511627908,0.297085201793722,661,199,627,265,0.05,balanced,logistic_tuning
v1_only,logistic_c_0_05__no_1_2,train,0.5,0.5706214689265536,0.574289006461957,0.48811410459587956,0.6236922038474519,0.4009546539379475,0.7476233589859665,0.4009546539379475,3303,1115,2761,1848,0.05,no_1_2,logistic_tuning
v1_only,logistic_c_0_05__no_1_2,validation,0.5,0.5291095890410958,0.5357206173740745,0.27312775330396477,0.6378600823045267,0.17376681614349776,0.8976744186046511,0.17376681614349776,772,88,737,155,0.05,no_1_2,logistic_tuning
v1_only,logistic_c_0_05__yes_1_2,train,0.5,0.5705106901517669,0.5647395941630527,0.6656894024316634,0.5523755008586148,0.8374918637448471,0.2919873245812585,0.8374918637448471,1290,3128,749,3860,0.05,yes_1_2,logistic_tuning
v1_only,logistic_c_0_05__yes_1_2,validation,0.5,0.5485159817351598,0.5474788820523516,0.5767790262172284,0.5516888433981576,0.6042600896860987,0.4906976744186046,0.6042600896860987,422,438,353,539,0.05,yes_1_2,logistic_tuning
v1_only,logistic_c_0_05__yes_1_4,train,0.5,0.550459731915365,0.5422948006247937,0.6782939590930712,0.5344159900062461,0.928183987849859,0.1564056133997284,0.928183987849859,691,3727,331,4278,0.05,yes_1_4,logistic_tuning
v1_only,logistic_c_0_05__yes_1_4,validation,0.5,0.545662100456621,0.5411513192199395,0.6385104450499546,0.5366412213740458,0.7881165919282511,0.2941860465116279,0.7881165919282511,253,607,189,703,0.05,yes_1_4,logistic_tuning
v1_only,logistic_c_0_1__none,train,0.5,0.5881245153428603,0.586669054709324,0.6190573770491803,0.586488060570763,0.6554567151225863,0.5178813942960616,0.6554567151225863,2288,2130,1588,3021,0.1,none,logistic_tuning
v1_only,logistic_c_0_1__none,validation,0.5,0.5342465753424658,0.5373448743351757,0.44565217391304346,0.5655172413793104,0.36771300448430494,0.7069767441860465,0.36771300448430494,608,252,564,328,0.1,none,logistic_tuning
v1_only,logistic_c_0_1__balanced,train,0.5,0.5848011520992578,0.5843900684010195,0.5975950182520936,0.5914984059511158,0.60381861575179,0.564961521050249,0.60381861575179,2496,1922,1826,2783,0.1,balanced,logistic_tuning
v1_only,logistic_c_0_1__balanced,validation,0.5,0.5296803652968036,0.5336114297632704,0.40804597701149425,0.568,0.3183856502242152,0.7488372093023256,0.3183856502242152,644,216,608,284,0.1,balanced,logistic_tuning
v1_only,logistic_c_0_1__no_1_2,train,0.5,0.5752741774675972,0.5783997612874058,0.50871348026653,0.621283255086072,0.4306791060967672,0.7261204164780444,0.4306791060967672,3208,1210,2624,1985,0.1,no_1_2,logistic_tuning
v1_only,logistic_c_0_1__no_1_2,validation,0.5,0.5273972602739726,0.533392428824695,0.3065326633165829,0.6059602649006622,0.20515695067264575,0.8616279069767442,0.20515695067264575,741,119,709,183,0.1,no_1_2,logistic_tuning
v1_only,logistic_c_0_1__yes_1_2,train,0.5,0.576271186440678,0.5709435286188447,0.6647383644491192,0.5576470588235294,0.8227381210674767,0.3191489361702128,0.8227381210674767,1410,3008,817,3792,0.1,yes_1_2,logistic_tuning
v1_only,logistic_c_0_1__yes_1_2,validation,0.5,0.5473744292237442,0.5464829492126395,0.5725067385444744,0.5514018691588785,0.5952914798206278,0.49767441860465117,0.5952914798206278,428,432,361,531,0.1,yes_1_2,logistic_tuning
v1_only,logistic_c_0_1__yes_1_4,train,0.5,0.5572172371773568,0.5496157850863757,0.6770101010101011,0.5394025238217873,0.9088739422868302,0.19035762788592123,0.9088739422868302,841,3577,420,4189,0.1,yes_1_4,logistic_tuning
v1_only,logistic_c_0_1__yes_1_4,validation,0.5,0.5388127853881278,0.5346751486077798,0.6269621421975993,0.532967032967033,0.7612107623318386,0.3081395348837209,0.7612107623318386,265,595,213,679,0.1,yes_1_4,logistic_tuning
v1_only,logistic_c_0_3__none,train,0.5,0.5870167275949928,0.5856874002397144,0.6159076859674428,0.58642338630567,0.6485137773920591,0.5228610230873698,0.6485137773920591,2310,2108,1620,2989,0.3,none,logistic_tuning
v1_only,logistic_c_0_3__none,validation,0.5,0.531392694063927,0.5338330378558765,0.46514657980456026,0.5552099533437014,0.40022421524663676,0.6674418604651163,0.40022421524663676,574,286,535,357,0.3,none,logistic_tuning
v1_only,logistic_c_0_3__balanced,train,0.5,0.5892323030907278,0.5888841738087771,0.6007751937984496,0.5962812566787775,0.6053373833803428,0.5724309642372114,0.6053373833803428,2529,1889,1819,2790,0.3,balanced,logistic_tuning
