feature_set,model,split,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall
v1_only,dummy_most_frequent,train,0.5105793729921347,0.5,0.6760046934584922,0.5105793729921347,1.0,0.0,1.0
v1_only,dummy_most_frequent,validation,0.5091324200913242,0.5,0.6747352496217852,0.5091324200913242,1.0,0.0,1.0
v1_only,dummy_most_frequent,test,0.49799885648942255,0.5,0.6648854961832061,0.49799885648942255,1.0,0.0,1.0
v1_only,logistic_regression,train,0.5867951700454193,0.585606442843489,0.613311217084802,0.5872543180464562,0.6417878064656107,0.5294250792213672,0.6417878064656107
v1_only,logistic_regression,validation,0.5308219178082192,0.5329804984878507,0.4737516005121639,0.5522388059701493,0.4147982062780269,0.6511627906976745,0.4147982062780269
v1_only,logistic_regression,test,0.5374499714122356,0.5364928903755273,0.39035418236623964,0.5679824561403509,0.2973593570608496,0.775626423690205,0.2973593570608496
v1_only,random_forest_reference,train,0.970200509582364,0.9701426077916915,0.9708779906896179,0.9688850475367329,0.972879149490128,0.9674060660932549,0.972879149490128
v1_only,random_forest_reference,validation,0.5342465753424658,0.5350505787881947,0.5177304964539007,0.5475,0.4910313901345291,0.5790697674418605,0.4910313901345291
v1_only,random_forest_reference,test,0.5420240137221269,0.5417443621214063,0.5064695009242144,0.5465425531914894,0.4718714121699196,0.6116173120728929,0.4718714121699196
v1_only,catboost_classifier,train,0.6415198847900743,0.6392019334305772,0.6808048924837246,0.6241635015373486,0.7487524408765459,0.5296514259846085,0.7487524408765459
v1_only,catboost_classifier,validation,0.5616438356164384,0.5609344040045886,0.5821545157780196,0.5655391120507399,0.5997757847533632,0.522093023255814,0.5997757847533632
v1_only,catboost_classifier,test,0.5563178959405375,0.5559858409023744,0.515,0.5651577503429356,0.4730195177956372,0.6389521640091116,0.4730195177956372
v1_corners_related,dummy_most_frequent,train,0.5105793729921347,0.5,0.6760046934584922,0.5105793729921347,1.0,0.0,1.0
v1_corners_related,dummy_most_frequent,validation,0.5091324200913242,0.5,0.6747352496217852,0.5091324200913242,1.0,0.0,1.0
v1_corners_related,dummy_most_frequent,test,0.49799885648942255,0.5,0.6648854961832061,0.49799885648942255,1.0,0.0,1.0
v1_corners_related,logistic_regression,train,0.5906724271629555,0.5895018514860753,0.6166614794065775,0.5908548707753479,0.6448253417227164,0.5341783612494342,0.6448253417227164
v1_corners_related,logistic_regression,validation,0.5268264840182648,0.5286395870268016,0.48025078369905955,0.5448079658605974,0.42937219730941706,0.627906976744186,0.42937219730941706
v1_corners_related,logistic_regression,test,0.531160663236135,0.5302011930883519,0.3815987933634992,0.5560439560439561,0.2904707233065442,0.7699316628701595,0.2904707233065442
v1_corners_related,random_forest_reference,train,0.994682618810236,0.994684927171738,0.9947916666666666,0.9950075971347949,0.9945758298980256,0.9947940244454504,0.9945758298980256
v1_corners_related,random_forest_reference,validation,0.547945205479452,0.5481697778704766,0.5469107551487414,0.5584112149532711,0.5358744394618834,0.5604651162790698,0.5358744394618834
v1_corners_related,random_forest_reference,test,0.5420240137221269,0.5417947061608028,0.5130699088145897,0.5452196382428941,0.4845005740528129,0.5990888382687927,0.4845005740528129
v1_corners_related,catboost_classifier,train,0.6970200509582364,0.6956672986434614,0.7191126630378967,0.6827223088923557,0.7596007810804947,0.6317338162064282,0.7596007810804947
v1_corners_related,catboost_classifier,validation,0.555365296803653,0.555039628741266,0.5674625208217657,0.5621562156215621,0.5728699551569507,0.5372093023255814,0.5728699551569507
v1_corners_related,catboost_classifier,test,0.5494568324757004,0.5491704348417367,0.5135802469135803,0.5554072096128171,0.47761194029850745,0.6207289293849658,0.47761194029850745
