feature,importance
categorical__HomeTeam_Paderborn,1.0198407561341034
categorical__HomeTeam_Ajaccio,0.850579880049859
categorical__AwayTeam_Getafe,0.8452419477425234
categorical__HomeTeam_Benevento,0.7793641653459885
categorical__HomeTeam_Leganes,0.7765469288327158
numeric__ImpliedOver25,0.7583477310091027
categorical__AwayTeam_Chievo,0.7028324885347254
categorical__HomeTeam_Spezia,0.6954262009533356
categorical__AwayTeam_Clermont,0.6895169923261705
categorical__AwayTeam_Burnley,0.686995929963586
categorical__HomeTeam_Empoli,0.6773673552013919
categorical__AwayTeam_Huddersfield,0.6768314433113408
numeric__ImpliedUnder25,0.6755088850840999
categorical__HomeTeam_Huddersfield,0.6270412270226781
categorical__AwayTeam_Monza,0.6180215402253784
categorical__HomeTeam_Troyes,0.6166129671147901
categorical__HomeTeam_Frosinone,0.6144525748676405
categorical__HomeTeam_Osasuna,0.5951377656689558
categorical__HomeTeam_RB Leipzig,0.5908279363236936
categorical__HomeTeam_Norwich,0.5717700226567796
categorical__HomeTeam_Amiens,0.5688747276919048
categorical__AwayTeam_Almeria,0.5573566051333123
categorical__HomeTeam_Lille,0.5410345128146188
categorical__HomeTeam_Almeria,0.5248074545010931
categorical__HomeTeam_Guingamp,0.5136409709071981
categorical__HomeTeam_Lecce,0.5017263222707846
categorical__AwayTeam_Paderborn,0.5013072448755462
categorical__HomeTeam_Fortuna Dusseldorf,0.4972853720066977
categorical__AwayTeam_Cardiff,0.4937023225325618
categorical__AwayTeam_Chelsea,0.4835770700247348
categorical__AwayTeam_Monaco,0.4834258103728418
categorical__AwayTeam_Genoa,0.48106706030489516
categorical__HomeTeam_Nantes,0.48033534133926664
categorical__AwayTeam_Caen,0.47600522655079425
categorical__AwayTeam_Bournemouth,0.45850849147439376
categorical__AwayTeam_Metz,0.439230876522459
categorical__HomeTeam_Girona,0.434850576866536
categorical__HomeTeam_Vallecano,0.42945692032184335
categorical__AwayTeam_Lens,0.4245301619728253
categorical__AwayTeam_Bielefeld,0.4107879791230353
categorical__HomeTeam_West Brom,0.4066935578964337
categorical__AwayTeam_Villarreal,0.4063218979368288
categorical__AwayTeam_Brescia,0.40498744083407623
categorical__AwayTeam_Atalanta,0.4023989385337137
categorical__HomeTeam_Elche,0.39690798097702035
categorical__HomeTeam_Cardiff,0.3932463893989883
categorical__AwayTeam_Levante,0.3921193542455352
categorical__HomeTeam_Ein Frankfurt,0.3850686591463882
categorical__AwayTeam_Salernitana,0.38423292722902164
categorical__AwayTeam_Benevento,0.3807694472764479
categorical__HomeTeam_Auxerre,0.38018992187601025
categorical__AwayTeam_Rennes,0.3740748360711042
categorical__AwayTeam_Lecce,0.3735290624677635
categorical__HomeTeam_FC Koln,0.36709516663908576
categorical__HomeTeam_Barcelona,0.36554417411711254
categorical__AwayTeam_Sheffield United,0.362964241889945
categorical__AwayTeam_Nimes,0.3626062295737481
categorical__AwayTeam_Mallorca,0.3624081068619948
categorical__HomeTeam_Monza,0.3538428564588064
categorical__HomeTeam_Bournemouth,0.350165906875313
categorical__HomeTeam_Brest,0.3498154100622948
categorical__HomeTeam_Metz,0.34854709875977585
categorical__HomeTeam_Dortmund,0.3476813483767803
categorical__AwayTeam_Fortuna Dusseldorf,0.34756761106991996
categorical__HomeTeam_Watford,0.3461845531297454
categorical__AwayTeam_Ath Madrid,0.3429540697844976
categorical__AwayTeam_Leganes,0.3423210874931209
categorical__AwayTeam_Nurnberg,0.33987314538804436
categorical__AwayTeam_Lyon,0.33807861897901387
categorical__HomeTeam_Verona,0.3379101371617801
categorical__AwayTeam_Fulham,0.3347149031720075
categorical__AwayTeam_Greuther Furth,0.32366846090144863
categorical__AwayTeam_Stuttgart,0.3174879873419583
categorical__AwayTeam_Arsenal,0.3168998761484367
categorical__AwayTeam_Reims,0.3141137389550371
categorical__AwayTeam_Fiorentina,0.3086622563450187
categorical__AwayTeam_Wolfsburg,0.30128862817141316
categorical__AwayTeam_Bayern Munich,0.29980468140272293
categorical__HomeTeam_Strasbourg,0.2975343257814494
categorical__AwayTeam_Nantes,0.28928279272065055
categorical__HomeTeam_Man City,0.28913910156951794
categorical__HomeTeam_Levante,0.2861141641140474
categorical__HomeTeam_Eibar,0.28513261238808807
categorical__AwayTeam_Marseille,0.28356226419579844
categorical__HomeTeam_Cadiz,0.28320826134905774
categorical__AwayTeam_Venezia,0.2824442318663986
categorical__AwayTeam_Betis,0.2804986679601535
categorical__AwayTeam_Granada,0.2776458926458846
categorical__AwayTeam_Man City,0.27713014956754844
categorical__HomeTeam_Roma,0.27019373803016666
categorical__HomeTeam_Mainz,0.26791509312798184
categorical__AwayTeam_Napoli,0.26635269717435683
categorical__AwayTeam_Newcastle,0.26266822732133727
categorical__AwayTeam_Amiens,0.2612108835765766
categorical__Division_E0,0.26055324007063896
categorical__AwayTeam_Union Berlin,0.2600867845539709
categorical__AwayTeam_Juventus,0.25746623551272035
categorical__AwayTeam_Spal,0.256535470227022
categorical__AwayTeam_Elche,0.2558989829388905
categorical__AwayTeam_Auxerre,0.25151679234638663
categorical__AwayTeam_Girona,0.24833246881437296
categorical__HomeTeam_Chievo,0.24721387444153667
categorical__HomeTeam_Udinese,0.24634617355469368
categorical__AwayTeam_Barcelona,0.24518670081454616
categorical__HomeTeam_Fiorentina,0.23960337180146918
categorical__AwayTeam_Dortmund,0.23272043289845604
categorical__AwayTeam_Inter,0.23210597150573573
categorical__AwayTeam_Angers,0.2304277916434034
categorical__AwayTeam_Hertha,0.22570825124256816
categorical__AwayTeam_Guingamp,0.2253326991979237
categorical__AwayTeam_Verona,0.22527824237037203
categorical__AwayTeam_Ath Bilbao,0.22392301686102203
categorical__HomeTeam_Lazio,0.22303364238037052
categorical__AwayTeam_Milan,0.2214218403079132
categorical__HomeTeam_Hoffenheim,0.21820597585080673
categorical__HomeTeam_Leverkusen,0.21432732559049888
categorical__HomeTeam_Ath Madrid,0.21395473229066556
categorical__HomeTeam_Monaco,0.21281294971042314
categorical__AwayTeam_Sociedad,0.2102616522741921
categorical__HomeTeam_Bologna,0.20869466702903608
