feature,importance
numeric__BookmakerMargin1X2,0.0280793463313638
numeric__HomeMatchesPlayedBefore,0.027330787469575422
numeric__AwayMatchesPlayedBefore,0.02530040538944526
numeric__HomeEloSynced,0.025071742918656506
numeric__EloDiff,0.025070772274453573
numeric__HomeElo,0.024987390399731458
numeric__EloMean,0.024357544427536786
numeric__AwayElo,0.023689120656940836
numeric__Under25,0.023152597257766735
numeric__AwayEloSynced,0.02310118575075512
numeric__Over25,0.02258715102281663
numeric__ImpliedAwayWin,0.022416019481803183
numeric__ImpliedOver25,0.022285445364577536
numeric__ImpliedUnder25,0.022275068199930526
numeric__OddAway,0.02221545760856189
numeric__OddDraw,0.022157646386267448
numeric__ImpliedDraw,0.021757394408525768
numeric__OddHome,0.021171642679485268
numeric__ImpliedHomeWin,0.02113985593522057
numeric__RollingTotalCornersDiff5,0.02023371579491968
numeric__HomeRollingTotalCorners5,0.02000561922474367
numeric__AwayRollingCornersAgainst5,0.019951712903084486
numeric__HomeRollingCornersAgainst5,0.019899665375118586
numeric__AwayRollingTotalCorners5,0.01960724797205059
numeric__RollingCornersForDiff5,0.019485087964399638
numeric__RollingCornersAgainstDiff5,0.019272804272936345
numeric__HomeRollingCornersAgainst3,0.018721857896105493
numeric__RollingCornersAgainstDiff3,0.018357613645549636
numeric__AwayRollingCornersFor5,0.018338192077544155
numeric__RollingCornersForDiff3,0.018206245376903758
numeric__AwayRollingCornersAgainst3,0.018197482130782004
numeric__HomeRollingCornersFor5,0.017582381666830557
numeric__AwayRollingCornersFor3,0.01717099160682234
numeric__HomeRollingCornersFor3,0.016607051512868915
numeric__RollingGoalsAgainstDiff5,0.016095667721484026
numeric__RollingGoalsForDiff5,0.015906984322040078
numeric__RollingPointsDiff5,0.015663751549815943
numeric__MatchMonth,0.015086041135421615
numeric__AwayRollingGoalsAgainst5,0.014468695913993121
numeric__HomeRollingGoalsAgainst5,0.014141306316419465
numeric__RollingPointsDiff3,0.014031986167249827
numeric__HomeRollingPoints5,0.013853018558118857
numeric__HomeRollingGoalsFor5,0.013769126678131152
numeric__AwayRollingPoints5,0.013573270412846065
numeric__AwayRollingGoalsFor5,0.01311511816564694
numeric__AwayRollingPoints3,0.012369649200064666
numeric__HomeRollingPoints3,0.011663621772850932
numeric__SeasonStartYear,0.01164894545658277
numeric__RollingCornersOver95RateDiff5,0.009807772048525662
numeric__HomeRollingCornersOver95Rate5,0.008506706719341863
numeric__AwayRollingCornersOver95Rate5,0.007979085196615677
categorical__Division_E0,0.003369104436376601
categorical__Division_I1,0.0027673248707775497
categorical__Division_F1,0.0026204911655467815
categorical__Division_SP1,0.002332214281803164
categorical__Division_D1,0.0018831957429231874
categorical__AwayTeam_Getafe,0.0009769091962964784
categorical__AwayTeam_Burnley,0.0006412733862554696
categorical__HomeTeam_RB Leipzig,0.0005881848568343781
categorical__HomeTeam_Lille,0.0005143651109816001
categorical__HomeTeam_Empoli,0.0004468549177921745
categorical__AwayTeam_Villarreal,0.0004253490539482489
categorical__HomeTeam_Celta,0.00036073875958171777
categorical__AwayTeam_Ath Bilbao,0.00035909023830748367
categorical__AwayTeam_Monaco,0.0003557633101344487
categorical__HomeTeam_Osasuna,0.0003425409851875904
categorical__HomeTeam_Nantes,0.0003371815884178371
categorical__HomeTeam_Dortmund,0.00033338047440756454
categorical__AwayTeam_Newcastle,0.0003321166178468913
categorical__AwayTeam_Lyon,0.00032289392747625263
categorical__AwayTeam_Fiorentina,0.00031002866574587917
categorical__AwayTeam_Clermont,0.0003007163599231795
categorical__AwayTeam_Atalanta,0.00030039477658570037
categorical__HomeTeam_Barcelona,0.0002993084296922094
categorical__HomeTeam_Strasbourg,0.00027811478682117065
categorical__HomeTeam_Wolves,0.00027809676901503457
categorical__HomeTeam_Ein Frankfurt,0.0002771731273361888
categorical__AwayTeam_Valencia,0.00027499371321104005
categorical__HomeTeam_Spezia,0.00026901042071265723
categorical__AwayTeam_Lazio,0.00024891437550472387
categorical__HomeTeam_Roma,0.0002484887902497995
categorical__AwayTeam_Rennes,0.0002430073810718139
categorical__HomeTeam_Arsenal,0.00024275506177662566
categorical__AwayTeam_Barcelona,0.00024268359371464138
categorical__AwayTeam_Leicester,0.00024077682596964793
categorical__AwayTeam_Chelsea,0.0002329347029558855
categorical__HomeTeam_Milan,0.00023024136401308463
categorical__HomeTeam_Sociedad,0.00022695666341512034
categorical__AwayTeam_Dortmund,0.0002241841347812568
categorical__HomeTeam_West Ham,0.00022300452232132013
categorical__HomeTeam_Angers,0.0002226778480726115
categorical__AwayTeam_Valladolid,0.00021188934330086467
categorical__HomeTeam_St Etienne,0.00021148465958522488
categorical__AwayTeam_Milan,0.00021146104861543717
categorical__HomeTeam_Monaco,0.00020290941255964091
categorical__HomeTeam_Tottenham,0.00020232413972874998
categorical__HomeTeam_Reims,0.00020124350193785539
categorical__HomeTeam_Leganes,0.00020032162892102894
categorical__HomeTeam_Levante,0.00019982143518640068
categorical__AwayTeam_Inter,0.00019828540524021042
categorical__AwayTeam_Udinese,0.00019781331000365507
categorical__HomeTeam_Mainz,0.00019084520175195326
categorical__HomeTeam_Udinese,0.0001886102547635604
categorical__AwayTeam_Vallecano,0.0001884278327155952
categorical__AwayTeam_Ath Madrid,0.000187746715777109
categorical__AwayTeam_Lens,0.00018743140972501447
categorical__AwayTeam_West Ham,0.00018695796003222577
categorical__HomeTeam_Verona,0.00018659463435758238
categorical__AwayTeam_Hertha,0.00018612889915168435
categorical__HomeTeam_Bordeaux,0.00018401547641416075
categorical__AwayTeam_Union Berlin,0.00018350374893532826
categorical__HomeTeam_Man United,0.00018343684934394065
categorical__HomeTeam_Ath Bilbao,0.00018186761872527707
categorical__HomeTeam_Montpellier,0.00018181346688808913
categorical__HomeTeam_Southampton,0.00018166953526812393
categorical__HomeTeam_Watford,0.00018145403319918933
categorical__HomeTeam_Napoli,0.00017916664518522767
categorical__AwayTeam_Bayern Munich,0.0001781625624864253
categorical__AwayTeam_MGladbach,0.00017747281419213586
categorical__AwayTeam_Wolves,0.00017730594863408385
categorical__AwayTeam_Sevilla,0.0001762057806286868
categorical__HomeTeam_Inter,0.00017537947599630992
categorical__AwayTeam_Angers,0.00017417466670914108
categorical__HomeTeam_Hoffenheim,0.00017341510613633386
categorical__HomeTeam_Chelsea,0.00017330582174764826
categorical__HomeTeam_Juventus,0.00017122209467076733
categorical__AwayTeam_Nantes,0.0001698963461730915
categorical__AwayTeam_Juventus,0.00016963253941013106
categorical__AwayTeam_Crystal Palace,0.00016760982829019946
