feature,importance
HomeTeam,6.7140434176962955
Division,6.018909742461902
AwayTeam,5.643528857556445
SeasonStartYear,5.350245290779202
HomeMatchesPlayedBefore,4.946417814628584
BookmakerMargin1X2,4.126357537711855
ImpliedUnder25,3.7753194220010444
ImpliedOver25,3.663827679853954
RollingGoalsAgainstDiff5,3.3606480149319893
MatchMonth,3.2675826140399855
AwayRollingGoalsAgainst5,3.1501451371575873
HomeElo,3.111229334411802
AwayMatchesPlayedBefore,2.7352379258648414
OddHome,2.434423055547091
AwayRollingGoalsFor5,2.4297864729246172
Over25,2.3833846714873466
HomeRollingPoints5,2.3557480572687965
AwayElo,2.2927137992319904
Under25,2.167905584793678
ImpliedAwayWin,2.144979694335224
OddAway,2.0914689931022017
ImpliedDraw,2.073729948091383
HomeRollingPoints3,2.011926642003038
EloMean,1.9259809333645574
AwayEloSynced,1.923889564657245
OddDraw,1.8421389564769728
RollingPointsDiff3,1.8193275688859236
AwayRollingPoints3,1.7723246897204943
HomeRollingGoalsFor5,1.6708061416365136
RollingGoalsForDiff5,1.6435194450471535
HomeRollingGoalsAgainst5,1.6425529592311516
HomeEloSynced,1.5732352263659577
AwayRollingPoints5,1.548155443888394
ImpliedHomeWin,1.5166481961127198
EloDiff,1.4833303934283313
RollingPointsDiff5,1.3885307733036996
