feature,importance
categorical__HomeTeam_Paderborn,1.0079754531056628
categorical__HomeTeam_Ajaccio,0.8790084181956865
categorical__AwayTeam_Getafe,0.8287930866755238
categorical__HomeTeam_Leganes,0.8071063338618665
categorical__HomeTeam_Benevento,0.7769286132625247
numeric__ImpliedOver25,0.7511473682393242
categorical__HomeTeam_Spezia,0.7304814525211807
categorical__AwayTeam_Chievo,0.7251252247533422
categorical__AwayTeam_Clermont,0.722345136757886
categorical__AwayTeam_Burnley,0.7113554884620308
categorical__AwayTeam_Huddersfield,0.684209252349894
categorical__HomeTeam_Empoli,0.6815813466414528
categorical__HomeTeam_Huddersfield,0.6649473903285735
numeric__ImpliedUnder25,0.6422009868484182
categorical__HomeTeam_Troyes,0.6407516652175914
categorical__HomeTeam_RB Leipzig,0.6293135385110489
categorical__HomeTeam_Norwich,0.6186415039999251
categorical__AwayTeam_Monza,0.6184295988085202
categorical__HomeTeam_Frosinone,0.6101872614153568
categorical__HomeTeam_Osasuna,0.5887438294375651
categorical__AwayTeam_Almeria,0.5630611007755827
categorical__HomeTeam_Amiens,0.5589414710975847
categorical__HomeTeam_Lille,0.5463985958502197
categorical__HomeTeam_Almeria,0.5205355365115784
categorical__HomeTeam_Lecce,0.5201096682216019
categorical__HomeTeam_Fortuna Dusseldorf,0.5167821422759401
categorical__AwayTeam_Bournemouth,0.49289377677731305
categorical__AwayTeam_Monaco,0.4912248860181292
categorical__AwayTeam_Genoa,0.4851925908227313
categorical__AwayTeam_Chelsea,0.4797327614679648
categorical__HomeTeam_Nantes,0.4793147975712244
categorical__AwayTeam_Cardiff,0.4768524039708491
categorical__HomeTeam_Guingamp,0.47092805743630023
categorical__AwayTeam_Paderborn,0.4607376602750345
categorical__AwayTeam_Metz,0.45428293425214517
categorical__AwayTeam_Caen,0.44412312560980755
categorical__HomeTeam_Girona,0.4427306124022753
categorical__HomeTeam_West Brom,0.4415146531430667
categorical__AwayTeam_Atalanta,0.42527467288643483
categorical__HomeTeam_Cardiff,0.4174311394233087
categorical__AwayTeam_Lens,0.41630865377605514
categorical__AwayTeam_Villarreal,0.4140377004484645
categorical__HomeTeam_Vallecano,0.41000042444443613
categorical__HomeTeam_Elche,0.40906662191615983
categorical__HomeTeam_Metz,0.4013171622948278
categorical__AwayTeam_Levante,0.3966432691189795
categorical__HomeTeam_Bournemouth,0.38619842686016637
categorical__AwayTeam_Bielefeld,0.3861044592502576
categorical__AwayTeam_Rennes,0.38368872276453475
categorical__AwayTeam_Lecce,0.37783367851659966
categorical__AwayTeam_Brescia,0.3725466908461898
categorical__HomeTeam_Ein Frankfurt,0.37210224845301854
categorical__HomeTeam_FC Koln,0.3713104501154968
categorical__HomeTeam_Barcelona,0.36926194369927223
categorical__HomeTeam_Dortmund,0.3652550961041577
categorical__AwayTeam_Sheffield United,0.362056809577955
categorical__HomeTeam_Brest,0.36176183876168694
categorical__HomeTeam_Auxerre,0.3583938402806167
categorical__HomeTeam_Monza,0.35662361994189945
categorical__AwayTeam_Salernitana,0.3540545651405971
categorical__HomeTeam_Verona,0.3535234943486685
categorical__AwayTeam_Mallorca,0.3533680153867129
categorical__AwayTeam_Fortuna Dusseldorf,0.3523247452327318
categorical__HomeTeam_Man City,0.3523210631999648
categorical__AwayTeam_Benevento,0.3506729699805206
categorical__HomeTeam_Watford,0.3502145502514675
categorical__AwayTeam_Ath Madrid,0.344343891841861
categorical__AwayTeam_Leganes,0.34215206658769226
categorical__AwayTeam_Nurnberg,0.3386240650048498
categorical__AwayTeam_Wolfsburg,0.3341211475530146
categorical__AwayTeam_Lyon,0.3326723717795744
categorical__AwayTeam_Man City,0.33225560534097737
categorical__AwayTeam_Fulham,0.329971134710168
categorical__AwayTeam_Nimes,0.3296054557981588
categorical__AwayTeam_Reims,0.3186175421580999
categorical__AwayTeam_Arsenal,0.31263855576283694
categorical__AwayTeam_Greuther Furth,0.3104999586848087
categorical__HomeTeam_Eibar,0.30747449994862547
categorical__AwayTeam_Stuttgart,0.30532262632152757
categorical__HomeTeam_Strasbourg,0.29612201305009433
categorical__HomeTeam_Levante,0.29554607870024313
categorical__Division_E0,0.29194412514007884
categorical__HomeTeam_Cadiz,0.28991922202931353
categorical__AwayTeam_Napoli,0.2852503682674902
categorical__AwayTeam_Newcastle,0.28476531996927545
categorical__AwayTeam_Betis,0.28270255880937084
categorical__AwayTeam_Elche,0.27864716522757843
categorical__AwayTeam_Spal,0.27565664550367974
categorical__HomeTeam_Fiorentina,0.2752483278655663
categorical__HomeTeam_Chievo,0.26932524901262284
categorical__AwayTeam_Nantes,0.2673664927053998
categorical__AwayTeam_Granada,0.2657708205983651
categorical__HomeTeam_Udinese,0.26504280610148634
categorical__AwayTeam_Auxerre,0.2645296033128533
categorical__AwayTeam_Fiorentina,0.26385376617540757
categorical__AwayTeam_Barcelona,0.26285874478392707
categorical__AwayTeam_Marseille,0.26129617120119764
categorical__AwayTeam_Union Berlin,0.26010563744517917
categorical__AwayTeam_Juventus,0.25741879268466705
categorical__HomeTeam_Mainz,0.2563541630562524
categorical__AwayTeam_Amiens,0.25222110451654894
categorical__HomeTeam_Roma,0.25182031580630976
categorical__AwayTeam_Venezia,0.251765641281747
categorical__AwayTeam_Ath Bilbao,0.24356375340943612
categorical__AwayTeam_Angers,0.23912123024610787
categorical__HomeTeam_Clermont,0.23763641869939428
categorical__AwayTeam_Verona,0.23716078933642568
categorical__HomeTeam_Leverkusen,0.23516319147067227
categorical__HomeTeam_Lazio,0.23446485659224894
categorical__AwayTeam_Guingamp,0.2339067051416599
categorical__HomeTeam_Monaco,0.2284573826614444
categorical__HomeTeam_Bologna,0.22774429133446472
categorical__AwayTeam_Girona,0.22646068539755113
categorical__HomeTeam_Ath Madrid,0.22384686187175687
categorical__HomeTeam_Angers,0.22374166290353173
categorical__AwayTeam_Bayern Munich,0.22336559812987902
categorical__HomeTeam_Bordeaux,0.2212584198289069
categorical__HomeTeam_Milan,0.21902780266097338
categorical__HomeTeam_Burnley,0.21786821083665064
categorical__AwayTeam_Udinese,0.21756110767008544
categorical__AwayTeam_Milan,0.21433408421763595
categorical__AwayTeam_Dortmund,0.21179440362522747
categorical__HomeTeam_Hoffenheim,0.2116243652327981
categorical__AwayTeam_Espanol,0.21130319640951267
categorical__HomeTeam_Union Berlin,0.21106855913985312
categorical__HomeTeam_Dijon,0.20870885105260123
categorical__AwayTeam_Sociedad,0.2015487530572629
numeric__Over25,0.20121523689093943
categorical__HomeTeam_Sheffield United,0.19924844304097353
categorical__HomeTeam_Valladolid,0.19869836718098
categorical__HomeTeam_Celta,0.1952772726558827
