feature,importance
numeric__BookmakerMargin1X2,0.04004334453469337
numeric__HomeMatchesPlayedBefore,0.03837988669468472
numeric__EloDiff,0.03613793970270961
numeric__HomeElo,0.03548944893666175
numeric__AwayMatchesPlayedBefore,0.03546767703800182
numeric__EloMean,0.03505712937724822
numeric__AwayElo,0.03476200669557437
numeric__HomeEloSynced,0.0346357973985339
numeric__AwayEloSynced,0.033848363495003454
numeric__ImpliedAwayWin,0.0315147024885771
numeric__OddHome,0.03139436930492921
numeric__Over25,0.031070473821519774
numeric__ImpliedUnder25,0.031047993780077006
numeric__OddAway,0.03102267004127194
numeric__ImpliedDraw,0.03094017769720692
numeric__Under25,0.03062656986644236
numeric__OddDraw,0.030602161101127293
numeric__ImpliedOver25,0.030505987781720343
numeric__ImpliedHomeWin,0.03027895020023352
numeric__RollingGoalsForDiff5,0.022306155018962708
numeric__RollingGoalsAgainstDiff5,0.022229393021143753
numeric__MatchMonth,0.02187400265429817
numeric__RollingPointsDiff5,0.021583240215861558
numeric__AwayRollingGoalsAgainst5,0.021067781331696053
numeric__AwayRollingGoalsFor5,0.02063478498892408
numeric__RollingPointsDiff3,0.02055114070509056
numeric__HomeRollingGoalsAgainst5,0.019707151717032197
numeric__AwayRollingPoints5,0.019560052460401003
numeric__HomeRollingPoints5,0.01898438651588613
numeric__HomeRollingGoalsFor5,0.018982950944746686
numeric__HomeRollingPoints3,0.016777800974131146
numeric__AwayRollingPoints3,0.016633907328906735
numeric__SeasonStartYear,0.0164566325313803
categorical__Division_E0,0.004709083922367411
categorical__Division_I1,0.004023095977191196
categorical__Division_SP1,0.003526652350871498
categorical__Division_F1,0.0031186047373127413
categorical__Division_D1,0.0025934007969020765
categorical__AwayTeam_Getafe,0.0015000137105532557
categorical__AwayTeam_Burnley,0.0013935269901737268
categorical__HomeTeam_RB Leipzig,0.0009267354547711135
categorical__HomeTeam_Lille,0.0008683219517021223
categorical__HomeTeam_Empoli,0.0008484267571895681
categorical__HomeTeam_Spezia,0.0008447974011055871
categorical__HomeTeam_Nantes,0.0006965488963134185
categorical__AwayTeam_Monaco,0.0006929055312357962
categorical__AwayTeam_Lyon,0.0006581778205984752
categorical__AwayTeam_Atalanta,0.0006563385543704227
categorical__HomeTeam_Dortmund,0.0006284304145129162
categorical__AwayTeam_Fiorentina,0.0006020299690943828
categorical__AwayTeam_Villarreal,0.0005795225202181631
categorical__HomeTeam_Milan,0.0005791882657366149
categorical__HomeTeam_Strasbourg,0.0005770999175892445
categorical__HomeTeam_Osasuna,0.0005726051630870047
categorical__HomeTeam_Mainz,0.0005510503641261335
categorical__AwayTeam_Udinese,0.0005349776822607835
categorical__AwayTeam_Barcelona,0.0005338551210385532
categorical__HomeTeam_Arsenal,0.0005125704815873669
categorical__HomeTeam_Roma,0.0005112946683297887
categorical__AwayTeam_Bournemouth,0.0005062451615143519
categorical__HomeTeam_Wolves,0.0005044593099150642
categorical__AwayTeam_Ath Bilbao,0.0004930314511696757
categorical__AwayTeam_Rennes,0.0004756532993830902
categorical__AwayTeam_Clermont,0.00046115479551814997
categorical__HomeTeam_Udinese,0.00046030664708872126
categorical__AwayTeam_Newcastle,0.00045199912189058695
categorical__AwayTeam_Chelsea,0.00044777208725504003
categorical__AwayTeam_Southampton,0.00042057050052926186
categorical__HomeTeam_Bordeaux,0.0004198382971559145
categorical__HomeTeam_Monaco,0.00041820244707204725
categorical__HomeTeam_Montpellier,0.0004181089491810123
categorical__HomeTeam_Hertha,0.00041443581833717667
categorical__AwayTeam_Dortmund,0.000412070106814749
categorical__HomeTeam_Ein Frankfurt,0.00040995714317629094
categorical__HomeTeam_Sociedad,0.00040699240365060525
categorical__AwayTeam_Aston Villa,0.0004031459607150445
categorical__HomeTeam_Celta,0.0003990281934944743
categorical__AwayTeam_Juventus,0.000396979315360249
categorical__HomeTeam_Union Berlin,0.0003957464139372277
categorical__HomeTeam_Tottenham,0.0003915558076808636
categorical__HomeTeam_Bournemouth,0.0003844656436481883
categorical__HomeTeam_Fiorentina,0.0003839685553564105
categorical__AwayTeam_Union Berlin,0.00038388031806742284
categorical__AwayTeam_Ath Madrid,0.0003820842324450114
categorical__HomeTeam_Sampdoria,0.00037856306502512157
categorical__HomeTeam_Inter,0.00037626512013046116
categorical__HomeTeam_Villarreal,0.00037521211391453724
categorical__AwayTeam_Napoli,0.0003746172081372011
categorical__HomeTeam_Leganes,0.0003739086897546445
categorical__AwayTeam_Nantes,0.00037294528362979507
