Division,SeasonStartYear,matches
ARG,2011,44
ARG,2012,330
ARG,2013,380
ARG,2014,427
ARG,2015,477
ARG,2016,456
ARG,2017,370
ARG,2018,350
ARG,2019,252
ARG,2020,327
ARG,2021,585
ARG,2022,608
ARG,2023,535
ARG,2024,189
AUT,2011,23
AUT,2012,169
AUT,2013,168
AUT,2014,185
AUT,2015,174
AUT,2016,182
AUT,2017,190
AUT,2018,195
AUT,2019,183
AUT,2020,193
AUT,2021,205
AUT,2022,194
AUT,2023,186
AUT,2024,59
B1,2000,306
B1,2001,306
B1,2002,111
B1,2003,306
B1,2004,162
B1,2005,306
B1,2006,306
B1,2007,306
B1,2008,306
B1,2009,210
B1,2010,240
B1,2011,240
B1,2012,240
B1,2013,240
B1,2014,240
B1,2015,240
B1,2016,240
B1,2017,240
B1,2018,240
B1,2019,232
B1,2020,306
B1,2021,306
B1,2022,306
B1,2023,312
B1,2024,312
BRA,2011,108
BRA,2012,382
BRA,2013,384
BRA,2014,412
BRA,2015,391
BRA,2016,363
BRA,2017,395
BRA,2018,355
BRA,2019,297
BRA,2020,447
BRA,2021,425
BRA,2022,374
BRA,2023,381
BRA,2024,136
CHN,2013,113
CHN,2014,240
CHN,2015,225
CHN,2016,257
CHN,2017,230
CHN,2018,256
CHN,2019,150
CHN,2020,177
CHN,2021,228
CHN,2022,324
CHN,2023,252
CHN,2024,92
D1,2000,306
D1,2001,306
D1,2002,290
D1,2003,194
D1,2004,306
D1,2005,306
D1,2006,306
D1,2007,306
D1,2008,306
D1,2009,306
D1,2010,306
D1,2011,306
D1,2012,306
D1,2013,306
D1,2014,306
D1,2015,306
D1,2016,306
D1,2017,306
D1,2018,306
D1,2019,306
D1,2020,306
D1,2021,306
D1,2022,306
D1,2023,306
D1,2024,306
D2,2000,306
D2,2001,306
D2,2002,143
D2,2003,15
D2,2004,271
D2,2005,306
D2,2006,306
D2,2007,306
D2,2008,306
D2,2009,306
D2,2010,306
D2,2011,306
D2,2012,306
D2,2013,306
D2,2014,306
D2,2015,306
D2,2016,306
D2,2017,306
D2,2018,306
D2,2019,306
D2,2020,306
D2,2021,306
D2,2022,306
D2,2023,306
D2,2024,306
DEN,2011,25
DEN,2012,183
DEN,2013,188
DEN,2014,195
DEN,2015,206
DEN,2016,251
DEN,2017,261
DEN,2018,251
DEN,2019,211
DEN,2020,208
DEN,2021,204
DEN,2022,202
DEN,2023,181
DEN,2024,68
E0,2000,380
E0,2001,380
E0,2002,380
E0,2003,335
E0,2004,335
E0,2005,380
E0,2006,380
E0,2007,380
E0,2008,380
E0,2009,380
E0,2010,380
E0,2011,380
E0,2012,380
E0,2013,380
E0,2014,380
E0,2015,380
E0,2016,380
E0,2017,380
E0,2018,380
E0,2019,314
E0,2020,446
E0,2021,380
E0,2022,380
E0,2023,380
E0,2024,380
E1,2000,552
E1,2001,552
E1,2002,520
E1,2003,552
E1,2004,392
E1,2005,552
E1,2006,552
E1,2007,552
E1,2008,552
E1,2009,552
E1,2010,552
E1,2011,552
E1,2012,552
E1,2013,552
E1,2014,552
E1,2015,552
E1,2016,552
E1,2017,552
E1,2018,552
E1,2019,475
E1,2020,629
E1,2021,552
E1,2022,552
E1,2023,552
E1,2024,550
E2,2000,552
E2,2001,552
E2,2002,351
E2,2003,504
E2,2004,376
E2,2005,552
E2,2006,552
E2,2007,552
E2,2008,552
E2,2009,552
E2,2010,552
E2,2011,552
E2,2012,552
E2,2013,552
E2,2014,552
E2,2015,552
E2,2016,552
E2,2017,552
E2,2018,552
E2,2019,400
E2,2020,552
E2,2021,552
E2,2022,552
E2,2023,552
E2,2024,549
E3,2000,54
E3,2001,552
E3,2002,335
E3,2003,472
E3,2004,440
E3,2005,552
E3,2006,552
E3,2007,552
E3,2008,552
E3,2009,552
E3,2010,552
E3,2011,552
E3,2012,552
E3,2013,552
E3,2014,552
E3,2015,552
E3,2016,552
E3,2017,552
E3,2018,552
E3,2019,440
E3,2020,552
E3,2021,552
E3,2022,552
E3,2023,552
E3,2024,548
EC,2011,552
EC,2012,552
EC,2013,552
EC,2014,552
EC,2015,552
EC,2016,552
EC,2017,552
EC,2018,552
EC,2019,451
EC,2020,477
EC,2021,506
EC,2022,552
EC,2023,552
EC,2024,180
F1,2000,306
F1,2001,306
F1,2002,191
F1,2003,223
F1,2004,380
F1,2005,380
F1,2006,380
F1,2007,380
F1,2008,380
F1,2009,380
F1,2010,380
F1,2011,380
F1,2012,380
F1,2013,380
F1,2014,380
F1,2015,380
F1,2016,380
F1,2017,380
F1,2018,380
F1,2019,279
F1,2020,380
F1,2021,380
F1,2022,380
F1,2023,306
F1,2024,306
F2,2000,380
F2,2001,351
F2,2002,159
F2,2003,15
F2,2004,380
F2,2005,380
F2,2006,380
F2,2007,348
F2,2008,380
F2,2009,380
F2,2010,380
F2,2011,380
F2,2012,380
F2,2013,380
F2,2014,380
F2,2015,380
F2,2016,380
F2,2017,380
F2,2018,380
F2,2019,280
F2,2020,380
F2,2021,380
F2,2022,379
F2,2023,379
F2,2024,306
FIN,2011,103
FIN,2012,203
FIN,2013,182
FIN,2014,198
FIN,2015,182
FIN,2016,216
FIN,2017,211
FIN,2018,182
FIN,2019,116
FIN,2020,164
FIN,2021,183
FIN,2022,170
FIN,2023,168
FIN,2024,76
G1,2005,240
G1,2006,240
G1,2007,240
G1,2008,240
G1,2009,240
G1,2010,240
G1,2012,240
G1,2013,306
G1,2014,306
G1,2015,240
G1,2016,240
G1,2017,240
G1,2018,240
G1,2019,210
G1,2020,270
G1,2021,240
G1,2024,156
I1,2000,306
I1,2001,306
I1,2002,306
I1,2003,194
