feature_set,model,split,score_type,score,count,rate
v1_only,catboost_regressor,test,actual,1:1,215,0.12292738707833048
v1_only,catboost_regressor,test,actual,1:0,162,0.09262435677530018
v1_only,catboost_regressor,test,actual,2:1,147,0.08404802744425385
v1_only,catboost_regressor,test,actual,1:2,127,0.07261292166952545
v1_only,catboost_regressor,test,actual,0:1,124,0.07089765580331618
v1_only,catboost_regressor,test,actual,2:0,111,0.0634648370497427
v1_only,catboost_regressor,test,actual,2:2,106,0.06060606060606061
v1_only,catboost_regressor,test,actual,0:0,101,0.0577472841623785
v1_only,catboost_regressor,test,actual,0:2,101,0.0577472841623785
v1_only,catboost_regressor,test,actual,3:1,74,0.04230989136649514
v1_only,catboost_regressor,test,predicted,2:1,738,0.4219554030874786
v1_only,catboost_regressor,test,predicted,1:1,524,0.2995997712978845
v1_only,catboost_regressor,test,predicted,1:2,397,0.22698684962835905
v1_only,catboost_regressor,test,predicted,3:1,75,0.04288164665523156
v1_only,catboost_regressor,test,predicted,2:2,13,0.007432818753573471
v1_only,catboost_regressor,test,predicted,1:3,2,0.0011435105774728416
v1_only,catboost_regressor,train,actual,1:1,1095,0.1213027583914922
v1_only,catboost_regressor,train,actual,1:0,809,0.08962002880248145
v1_only,catboost_regressor,train,actual,2:1,807,0.08939847125290794
v1_only,catboost_regressor,train,actual,0:1,653,0.0723385399357483
v1_only,catboost_regressor,train,actual,2:0,653,0.0723385399357483
v1_only,catboost_regressor,train,actual,1:2,641,0.0710091946383073
v1_only,catboost_regressor,train,actual,0:0,601,0.06657804364683727
v1_only,catboost_regressor,train,actual,2:2,474,0.05250913924891991
v1_only,catboost_regressor,train,actual,0:2,455,0.05040434252797164
v1_only,catboost_regressor,train,actual,3:1,377,0.04176359809460507
v1_only,catboost_regressor,train,predicted,2:1,3506,0.3883903844023485
v1_only,catboost_regressor,train,predicted,1:1,3061,0.3390938296222444
v1_only,catboost_regressor,train,predicted,1:2,2010,0.22266533732136923
v1_only,catboost_regressor,train,predicted,3:1,353,0.039104907499723056
v1_only,catboost_regressor,train,predicted,1:3,41,0.0045419297662567856
v1_only,catboost_regressor,train,predicted,2:2,41,0.0045419297662567856
v1_only,catboost_regressor,train,predicted,4:1,15,0.001661681621801263
v1_only,catboost_regressor,validation,actual,1:1,213,0.12157534246575342
v1_only,catboost_regressor,validation,actual,1:0,152,0.0867579908675799
v1_only,catboost_regressor,validation,actual,2:1,133,0.07591324200913242
v1_only,catboost_regressor,validation,actual,1:2,120,0.0684931506849315
v1_only,catboost_regressor,validation,actual,2:0,120,0.0684931506849315
v1_only,catboost_regressor,validation,actual,0:1,114,0.06506849315068493
v1_only,catboost_regressor,validation,actual,0:0,112,0.0639269406392694
v1_only,catboost_regressor,validation,actual,2:2,110,0.06278538812785388
v1_only,catboost_regressor,validation,actual,0:2,80,0.045662100456621
v1_only,catboost_regressor,validation,actual,3:1,80,0.045662100456621
v1_only,catboost_regressor,validation,predicted,2:1,738,0.4212328767123288
v1_only,catboost_regressor,validation,predicted,1:1,531,0.3030821917808219
v1_only,catboost_regressor,validation,predicted,1:2,397,0.22659817351598174
v1_only,catboost_regressor,validation,predicted,3:1,68,0.03881278538812785
v1_only,catboost_regressor,validation,predicted,2:2,14,0.007990867579908675
v1_only,catboost_regressor,validation,predicted,4:1,2,0.001141552511415525
v1_only,catboost_regressor,validation,predicted,1:3,2,0.001141552511415525
v1_only,dummy_mean,test,actual,1:1,215,0.12292738707833048
v1_only,dummy_mean,test,actual,1:0,162,0.09262435677530018
v1_only,dummy_mean,test,actual,2:1,147,0.08404802744425385
v1_only,dummy_mean,test,actual,1:2,127,0.07261292166952545
v1_only,dummy_mean,test,actual,0:1,124,0.07089765580331618
v1_only,dummy_mean,test,actual,2:0,111,0.0634648370497427
v1_only,dummy_mean,test,actual,2:2,106,0.06060606060606061
v1_only,dummy_mean,test,actual,0:0,101,0.0577472841623785
v1_only,dummy_mean,test,actual,0:2,101,0.0577472841623785
v1_only,dummy_mean,test,actual,3:1,74,0.04230989136649514
v1_only,dummy_mean,test,predicted,2:1,1749,1.0
v1_only,dummy_mean,train,actual,1:1,1095,0.1213027583914922
v1_only,dummy_mean,train,actual,1:0,809,0.08962002880248145
v1_only,dummy_mean,train,actual,2:1,807,0.08939847125290794
v1_only,dummy_mean,train,actual,0:1,653,0.0723385399357483
v1_only,dummy_mean,train,actual,2:0,653,0.0723385399357483
v1_only,dummy_mean,train,actual,1:2,641,0.0710091946383073
v1_only,dummy_mean,train,actual,0:0,601,0.06657804364683727
v1_only,dummy_mean,train,actual,2:2,474,0.05250913924891991
v1_only,dummy_mean,train,actual,0:2,455,0.05040434252797164
v1_only,dummy_mean,train,actual,3:1,377,0.04176359809460507
v1_only,dummy_mean,train,predicted,2:1,9027,1.0
v1_only,dummy_mean,validation,actual,1:1,213,0.12157534246575342
v1_only,dummy_mean,validation,actual,1:0,152,0.0867579908675799
v1_only,dummy_mean,validation,actual,2:1,133,0.07591324200913242
v1_only,dummy_mean,validation,actual,1:2,120,0.0684931506849315
v1_only,dummy_mean,validation,actual,2:0,120,0.0684931506849315
