feature_set,feature
v1_only,Division
v1_only,HomeTeam
v1_only,AwayTeam
v1_only,SeasonStartYear
v1_only,MatchMonth
v1_only,HomeElo
v1_only,AwayElo
v1_only,HomeEloSynced
v1_only,AwayEloSynced
v1_only,EloDiff
v1_only,EloMean
v1_only,OddHome
v1_only,OddDraw
v1_only,OddAway
v1_only,Over25
v1_only,Under25
v1_only,ImpliedHomeWin
v1_only,ImpliedDraw
v1_only,ImpliedAwayWin
v1_only,ImpliedOver25
v1_only,ImpliedUnder25
v1_only,BookmakerMargin1X2
v1_only,HomeMatchesPlayedBefore
v1_only,AwayMatchesPlayedBefore
v1_only,HomeRollingGoalsFor5
v1_only,HomeRollingGoalsAgainst5
v1_only,AwayRollingGoalsFor5
v1_only,AwayRollingGoalsAgainst5
v1_only,HomeRollingPoints3
v1_only,HomeRollingPoints5
v1_only,AwayRollingPoints3
v1_only,AwayRollingPoints5
v1_only,RollingGoalsForDiff5
v1_only,RollingGoalsAgainstDiff5
v1_only,RollingPointsDiff3
v1_only,RollingPointsDiff5
v1_score_related,Division
v1_score_related,HomeTeam
v1_score_related,AwayTeam
v1_score_related,SeasonStartYear
v1_score_related,MatchMonth
v1_score_related,HomeElo
v1_score_related,AwayElo
v1_score_related,HomeEloSynced
v1_score_related,AwayEloSynced
v1_score_related,EloDiff
v1_score_related,EloMean
v1_score_related,OddHome
v1_score_related,OddDraw
v1_score_related,OddAway
v1_score_related,Over25
v1_score_related,Under25
v1_score_related,ImpliedHomeWin
v1_score_related,ImpliedDraw
v1_score_related,ImpliedAwayWin
v1_score_related,ImpliedOver25
v1_score_related,ImpliedUnder25
v1_score_related,BookmakerMargin1X2
v1_score_related,HomeMatchesPlayedBefore
v1_score_related,AwayMatchesPlayedBefore
v1_score_related,HomeRollingGoalsFor5
v1_score_related,HomeRollingGoalsAgainst5
v1_score_related,AwayRollingGoalsFor5
v1_score_related,AwayRollingGoalsAgainst5
v1_score_related,RollingGoalsForDiff5
v1_score_related,RollingGoalsAgainstDiff5
