feature_set,model,target,split,mae,rmse
v1_only,dummy_mean,Target_HomeGoals,train,1.0491057752483846,1.3019945570371854
v1_only,dummy_mean,Target_AwayGoals,train,0.9259469477539096,1.1689166661217099
v1_only,dummy_mean,Target_HomeGoals,validation,1.0595805809360352,1.3088066162871466
v1_only,dummy_mean,Target_AwayGoals,validation,0.9446130785725015,1.1911997699611805
v1_only,dummy_mean,Target_HomeGoals,test,1.0408773678963112,1.2807987152975318
v1_only,dummy_mean,Target_AwayGoals,test,0.926652480142952,1.1778241053545593
v1_only,ridge_regression,Target_HomeGoals,train,0.915710752379741,1.1669256688643304
v1_only,ridge_regression,Target_AwayGoals,train,0.8380211703380458,1.0662300800990618
v1_only,ridge_regression,Target_HomeGoals,validation,0.9584115316431127,1.2093802424056854
v1_only,ridge_regression,Target_AwayGoals,validation,0.8584279316189029,1.1072318850701661
v1_only,ridge_regression,Target_HomeGoals,test,0.9285085782657051,1.1811209903773605
v1_only,ridge_regression,Target_AwayGoals,test,0.8689224388927383,1.1004291415465248
v1_only,random_forest_reference,Target_HomeGoals,train,0.5680553529104164,0.7468788346521182
v1_only,random_forest_reference,Target_AwayGoals,train,0.5206491347304101,0.6864649484343132
v1_only,random_forest_reference,Target_HomeGoals,validation,0.9605884366258651,1.1986161938203335
v1_only,random_forest_reference,Target_AwayGoals,validation,0.8725817121580084,1.1138439951311767
v1_only,random_forest_reference,Target_HomeGoals,test,0.9417231544073444,1.18190985795284
v1_only,random_forest_reference,Target_AwayGoals,test,0.8696588677212608,1.1036423314028128
v1_only,catboost_regressor,Target_HomeGoals,train,0.9245144484080676,1.1776786635334247
v1_only,catboost_regressor,Target_AwayGoals,train,0.8415383195302728,1.0793202480210429
v1_only,catboost_regressor,Target_HomeGoals,validation,0.9474363458670622,1.1942875533862678
v1_only,catboost_regressor,Target_AwayGoals,validation,0.852953018221829,1.0938821406892356
v1_only,catboost_regressor,Target_HomeGoals,test,0.9237340549850267,1.1700944102253141
v1_only,catboost_regressor,Target_AwayGoals,test,0.8545863212982867,1.091761603861764
v1_score_related,dummy_mean,Target_HomeGoals,train,1.0491057752483846,1.3019945570371854
v1_score_related,dummy_mean,Target_AwayGoals,train,0.9259469477539096,1.1689166661217099
v1_score_related,dummy_mean,Target_HomeGoals,validation,1.0595805809360352,1.3088066162871466
v1_score_related,dummy_mean,Target_AwayGoals,validation,0.9446130785725015,1.1911997699611805
v1_score_related,dummy_mean,Target_HomeGoals,test,1.0408773678963112,1.2807987152975318
v1_score_related,dummy_mean,Target_AwayGoals,test,0.926652480142952,1.1778241053545593
v1_score_related,ridge_regression,Target_HomeGoals,train,0.9159452659461718,1.1670524442445847
v1_score_related,ridge_regression,Target_AwayGoals,train,0.8380352642358667,1.0664818987831832
v1_score_related,ridge_regression,Target_HomeGoals,validation,0.958135027787125,1.2094069179634712
v1_score_related,ridge_regression,Target_AwayGoals,validation,0.8588047042285369,1.1076138873290071
v1_score_related,ridge_regression,Target_HomeGoals,test,0.9285916944104384,1.1808982521000018
v1_score_related,ridge_regression,Target_AwayGoals,test,0.8695648746022795,1.101458673124461
v1_score_related,random_forest_reference,Target_HomeGoals,train,0.5774117977322358,0.7588274297332624
v1_score_related,random_forest_reference,Target_AwayGoals,train,0.5289698361259738,0.6964367901656663
v1_score_related,random_forest_reference,Target_HomeGoals,validation,0.9613044092406471,1.2017310050025722
v1_score_related,random_forest_reference,Target_AwayGoals,validation,0.874599567890361,1.1163486718566575
v1_score_related,random_forest_reference,Target_HomeGoals,test,0.944190728945108,1.1858874651906235
v1_score_related,random_forest_reference,Target_AwayGoals,test,0.8722757939100259,1.1048598021462428
v1_score_related,catboost_regressor,Target_HomeGoals,train,0.9231317181896213,1.1759942453532364
v1_score_related,catboost_regressor,Target_AwayGoals,train,0.8403831247290682,1.0770815105416651
v1_score_related,catboost_regressor,Target_HomeGoals,validation,0.9470246989827897,1.1916952448351739
v1_score_related,catboost_regressor,Target_AwayGoals,validation,0.8507721050891858,1.092152434522522
v1_score_related,catboost_regressor,Target_HomeGoals,test,0.9244504205401063,1.1711337698658077
v1_score_related,catboost_regressor,Target_AwayGoals,test,0.8535263207192733,1.0883132166728784
