feature,importance
HomeTeam,7.8111560704810765
ImpliedHomeWin,7.781362410985609
AwayTeam,6.4206350946324795
OddDraw,4.767997934604514
ImpliedAwayWin,4.546315466278944
OddAway,4.503003973506938
EloDiff,3.6821756149618663
HomeMatchesPlayedBefore,3.5298576304291047
OddHome,3.509793740383455
AwayMatchesPlayedBefore,3.326620415320591
Division,3.2047284225020225
BookmakerMargin1X2,3.0731165899995796
ImpliedDraw,2.9846458776584504
MatchMonth,2.825378543834092
AwayElo,2.619103471049969
RollingGoalsAgainstDiff5,2.4668408871772276
HomeEloSynced,2.186539148690457
HomeElo,2.11896253516113
AwayRollingGoalsAgainst5,1.9271470350269126
RollingPointsDiff5,1.8956959677088725
HomeRollingGoalsAgainst5,1.848230821619959
HomeRollingPoints5,1.8455666056441256
AwayRollingPoints5,1.8067322310971297
SeasonStartYear,1.800360034648225
HomeRollingGoalsFor5,1.7684529978562544
AwayRollingPoints3,1.7359708849516027
ImpliedOver25,1.6350335525560766
Over25,1.617405099956384
RollingGoalsForDiff5,1.5480952448487892
HomeRollingPoints3,1.5247915574420297
AwayRollingGoalsFor5,1.512368497342452
EloMean,1.3918531142138924
RollingPointsDiff3,1.3420872674517819
AwayEloSynced,1.256676459904917
ImpliedUnder25,1.1637649192532358
Under25,1.0215338808198602
