feature,importance
ImpliedHomeWin,6.321085347451882
ImpliedAwayWin,6.311574153567986
HomeTeam,4.600100462476006
OddAway,3.675955346193162
ImpliedDraw,3.2413986771900083
OddHome,3.2339432502674943
AwayTeam,3.2115390047786474
EloDiff,2.5665388540211693
OddDraw,2.488758630422863
HomeMatchesPlayedBefore,2.2477403856443146
RollingYellowCardsForDiff5,2.019799560225661
RollingCornersAgainstDiff5,1.7727653143428548
VenueRollingPointsDiff5,1.7063048787875932
AwayRollingCornersFor5,1.704811378200762
AwayMatchesPlayedBefore,1.681316228352419
BookmakerMargin1X2,1.6743875637471326
RollingCornersForDiff5,1.6451658672924467
RollingYellowCardsAgainstDiff5,1.6375420889310504
HomeOnlyRollingPoints5,1.6102545926623644
HomeEloSynced,1.5890248708080619
Division,1.5459437122930242
HomeRollingCornersAgainst5,1.518621441453973
AwayRollingCornersAgainst5,1.4977884283180545
HomeRollingCornersFor5,1.4714737844989039
MatchMonth,1.466744259512958
AwayRollingYellowCardsAgainst5,1.3757732155610278
VenueRollingGoalsForDiff5,1.332207441799833
HomeOnlyRollingGoalsAgainst5,1.327450711081399
HomeRollingYellowCardsFor5,1.3159194463388202
AwayRollingOver25Rate5,1.2987153852085649
VenueRollingGoalsAgainstDiff5,1.2610720706094123
SeasonStartYear,1.2427266604836698
Over25,1.2420103854752715
AwayEloSynced,1.2332267022913503
HomeRollingYellowCardsAgainst5,1.183722222781594
HomeRollingPoints5,1.16285495922309
AwayRollingYellowCardsFor5,1.1576915038838191
AwayRollingBTTSRate5,1.1129277287026125
ImpliedOver25,1.10393141436309
HomeOnlyRollingGoalsFor5,1.1020323836435377
AwayRollingPoints5,1.0872220767785183
RollingGoalsForDiff5,1.0726434672427496
AwayRollingGoalsFor5,1.0599901433419578
EloMean,1.0115873080700466
HomeElo,0.9814812883129626
HomeRollingOver25Rate5,0.9774343787954417
RollingOver25RateDiff5,0.9625353392282159
RollingBTTSRateDiff5,0.9247524294308823
AwayOnlyRollingPoints5,0.9196644789053497
RollingPointsDiff5,0.8727404568181067
AwayOnlyRollingGoalsAgainst5,0.8605318664905077
AwayElo,0.8291028147282548
AwayRollingGoalsAgainst5,0.7946293523629037
HomeRollingGoalsAgainst5,0.790619791871654
HomeRollingGoalsFor5,0.7531262301239723
ImpliedUnder25,0.7525023037755385
RollingGoalsAgainstDiff5,0.7428763386049634
Under25,0.6958089085460829
AwayOnlyRollingGoalsFor5,0.6939691101449018
HomeRollingPoints3,0.6427638021968711
AwayRollingPoints3,0.6019777981017896
HomeRollingBTTSRate5,0.563197167627593
RollingPointsDiff3,0.5160028356128031
