feature,importance
numeric__HomeEloSynced,1.9975176253758253
numeric__AwayEloSynced,1.5921178345371922
numeric__EloDiff,1.1717114502440167
numeric__HomeElo,0.8701126147746181
categorical__HomeTeam_Union Berlin,0.6567156497399196
categorical__AwayTeam_Nurnberg,0.6374329705547128
numeric__AwayElo,0.6333714403265741
categorical__AwayTeam_Hannover,0.6305053191237242
categorical__AwayTeam_Spal,0.5779887563083936
numeric__ImpliedOver25,0.5492485227772178
categorical__AwayTeam_Bournemouth,0.5354807250539876
categorical__HomeTeam_Hannover,0.5133878260117349
categorical__HomeTeam_Paderborn,0.5116709375613965
categorical__HomeTeam_Chievo,0.4912165403262521
categorical__AwayTeam_Greuther Furth,0.4875883802471735
categorical__HomeTeam_Nottm Forest,0.4673548487875085
categorical__AwayTeam_Chievo,0.4587808733875842
categorical__AwayTeam_Cremonese,0.4387370965040113
categorical__AwayTeam_Huddersfield,0.4273445709857888
categorical__HomeTeam_Crotone,0.4151800597101678
categorical__AwayTeam_Crotone,0.41239027365220643
categorical__HomeTeam_Huddersfield,0.4118661792519423
categorical__HomeTeam_Troyes,0.40979133939123075
categorical__HomeTeam_Guingamp,0.40251150164670796
categorical__HomeTeam_Frosinone,0.40040138981119866
categorical__HomeTeam_Sheffield United,0.39513489478377567
categorical__HomeTeam_Almeria,0.38371185764968013
categorical__AwayTeam_Almeria,0.38304288003433146
categorical__HomeTeam_Benevento,0.3778542188996366
numeric__ImpliedUnder25,0.3678062819379549
categorical__HomeTeam_Juventus,0.3651719547363303
categorical__AwayTeam_Reims,0.36458938295874105
categorical__AwayTeam_Ajaccio,0.3572321971803811
categorical__HomeTeam_Liverpool,0.3562015325619486
categorical__AwayTeam_Nottm Forest,0.35609709093544967
categorical__HomeTeam_Bochum,0.35605109117564027
categorical__AwayTeam_Brescia,0.3511277579527423
categorical__HomeTeam_Lille,0.35072379008775556
categorical__HomeTeam_Ath Madrid,0.3495938376360495
categorical__HomeTeam_Lens,0.3405864241007042
categorical__HomeTeam_Ajaccio,0.3359127839250446
categorical__AwayTeam_Mallorca,0.3352110818038249
categorical__HomeTeam_Cardiff,0.33075157615277934
categorical__AwayTeam_Amiens,0.3306385788845803
categorical__HomeTeam_Werder Bremen,0.32700435458721616
categorical__AwayTeam_Wolfsburg,0.326556643061618
categorical__AwayTeam_Napoli,0.32144285654620525
categorical__HomeTeam_Tottenham,0.31758166588977604
categorical__AwayTeam_Guingamp,0.3170464057591415
categorical__HomeTeam_Nurnberg,0.31590142620396433
categorical__HomeTeam_Lecce,0.31119689806766365
categorical__AwayTeam_Clermont,0.3105408592133359
categorical__AwayTeam_Atalanta,0.31009503064594396
categorical__HomeTeam_Valencia,0.302719095887383
categorical__AwayTeam_Milan,0.29514822682339975
categorical__AwayTeam_Cadiz,0.29497767102862976
categorical__AwayTeam_Leeds,0.29384466745521987
categorical__HomeTeam_Norwich,0.2915649585635871
categorical__AwayTeam_Burnley,0.28958539963165214
categorical__HomeTeam_Chelsea,0.28857653284981993
categorical__HomeTeam_Brentford,0.28617842728387305
categorical__HomeTeam_RB Leipzig,0.28599982039215216
categorical__HomeTeam_Freiburg,0.278543039885499
categorical__HomeTeam_Paris SG,0.27807592923320307
categorical__HomeTeam_Schalke 04,0.27416282789001317
categorical__AwayTeam_Metz,0.2735989311166494
categorical__HomeTeam_Toulouse,0.2711547486414783
categorical__AwayTeam_Bochum,0.26843576337647596
categorical__HomeTeam_Dortmund,0.26704060361624876
categorical__AwayTeam_Lazio,0.26654845557659895
categorical__AwayTeam_Cardiff,0.26645435342877616
categorical__HomeTeam_Rennes,0.26301720519244626
categorical__AwayTeam_Huesca,0.26239093676643793
categorical__AwayTeam_Newcastle,0.2619250145942444
categorical__HomeTeam_Man City,0.2597352051014125
categorical__AwayTeam_Genoa,0.25936251462268406
categorical__HomeTeam_Fortuna Dusseldorf,0.257824735397654
categorical__AwayTeam_Norwich,0.25709368078694445
categorical__AwayTeam_Mainz,0.2556546620274701
categorical__HomeTeam_Inter,0.25398194250685174
categorical__AwayTeam_Caen,0.2532774313702469
categorical__AwayTeam_Union Berlin,0.2503263682108651
categorical__AwayTeam_Troyes,0.24735766829437025
categorical__AwayTeam_West Brom,0.24660437262210497
categorical__HomeTeam_Bielefeld,0.24477510424702106
categorical__HomeTeam_Brighton,0.24366815753426999
categorical__AwayTeam_Dijon,0.24354379137692647
categorical__HomeTeam_Southampton,0.24120882922557338
categorical__HomeTeam_Caen,0.24117014216255497
categorical__AwayTeam_Monza,0.23741684676512206
categorical__AwayTeam_Schalke 04,0.23167756099729167
categorical__HomeTeam_Roma,0.2313989971759193
categorical__AwayTeam_Real Madrid,0.22665591592643752
categorical__HomeTeam_West Brom,0.22496539800881465
categorical__AwayTeam_Espanol,0.22333278339927823
categorical__AwayTeam_Paderborn,0.22253326523229058
categorical__AwayTeam_Stuttgart,0.22223812477505045
categorical__HomeTeam_Girona,0.2204151171408388
numeric__ImpliedAwayWin,0.21815977736255454
categorical__AwayTeam_Verona,0.2179996092679717
categorical__AwayTeam_Brentford,0.2177633955687334
categorical__AwayTeam_Ath Bilbao,0.2158234366577505
categorical__HomeTeam_Hoffenheim,0.2157910554583055
categorical__AwayTeam_Nimes,0.21472236264698974
categorical__HomeTeam_Ein Frankfurt,0.21444261860047578
categorical__AwayTeam_Vallecano,0.21170901631250896
categorical__AwayTeam_Salernitana,0.20861412774155372
categorical__HomeTeam_Watford,0.2083363255877717
categorical__AwayTeam_Nice,0.20653747524000465
categorical__HomeTeam_Valladolid,0.20632145583342507
categorical__HomeTeam_Sampdoria,0.2051884728684662
categorical__AwayTeam_Lens,0.20464599229890665
categorical__AwayTeam_Getafe,0.20335587937344043
categorical__HomeTeam_Stuttgart,0.20327155290804863
categorical__AwayTeam_Empoli,0.20239282274065518
numeric__ImpliedHomeWin,0.19999848362746567
categorical__AwayTeam_Cagliari,0.19967426498748853
categorical__HomeTeam_Bayern Munich,0.19889109110204617
categorical__HomeTeam_Lazio,0.1986479256728159
categorical__HomeTeam_Man United,0.19851093582363885
categorical__AwayTeam_Fiorentina,0.19770629336356704
categorical__HomeTeam_Brest,0.19615068581697362
categorical__AwayTeam_Leverkusen,0.19551612565553111
categorical__AwayTeam_Liverpool,0.19381370006619328
categorical__HomeTeam_Milan,0.19361405742576468
categorical__HomeTeam_Brescia,0.1929448883585394
categorical__AwayTeam_Alaves,0.19074474853129017
categorical__AwayTeam_Marseille,0.1901621082154957
categorical__AwayTeam_Lecce,0.18931985431344708
categorical__HomeTeam_Empoli,0.18916162996977018
categorical__AwayTeam_Sociedad,0.1885490937665054
categorical__AwayTeam_Crystal Palace,0.18816405934518285
categorical__AwayTeam_Lorient,0.1866492744846435
categorical__HomeTeam_Reims,0.18558178428601166
categorical__AwayTeam_Ath Madrid,0.18492852899572162
categorical__HomeTeam_Verona,0.18417301151607104
categorical__AwayTeam_Auxerre,0.18395862609093752
categorical__AwayTeam_Levante,0.18298101830590807
categorical__HomeTeam_Newcastle,0.1814307762690411
categorical__HomeTeam_Crystal Palace,0.1801683130259041
categorical__AwayTeam_Dortmund,0.17937875492177413
categorical__AwayTeam_Werder Bremen,0.1791922249287982
categorical__HomeTeam_Lorient,0.17860560006810547
categorical__HomeTeam_Leverkusen,0.17648206823550994
categorical__AwayTeam_Sassuolo,0.1755495243123459
categorical__HomeTeam_Leicester,0.1748334119230125
categorical__HomeTeam_Auxerre,0.17394952990428356
categorical__HomeTeam_Granada,0.17378549745070823
categorical__HomeTeam_Bordeaux,0.17256048272777078
categorical__AwayTeam_Celta,0.17178975677351113
categorical__AwayTeam_Granada,0.17121012712498437
categorical__AwayTeam_Eibar,0.1691243771416715
categorical__HomeTeam_Sassuolo,0.16900073601638751
categorical__AwayTeam_Freiburg,0.16796190235466138
categorical__HomeTeam_Espanol,0.16727211627834646
categorical__AwayTeam_Brighton,0.1665971677200302
categorical__AwayTeam_Aston Villa,0.16578774681872807
categorical__AwayTeam_Osasuna,0.16537324959087424
categorical__AwayTeam_RB Leipzig,0.16485565819875964
categorical__HomeTeam_Monza,0.16412997686697797
categorical__HomeTeam_Udinese,0.16341166011189634
categorical__HomeTeam_Celta,0.16210306784810213
categorical__HomeTeam_Fiorentina,0.1620628764502166
categorical__AwayTeam_Girona,0.1618613594678637
categorical__HomeTeam_Spal,0.16067719136797595
categorical__HomeTeam_Nimes,0.16002456422930952
categorical__AwayTeam_Inter,0.1595423213103848
categorical__HomeTeam_Atalanta,0.15886080260263244
categorical__AwayTeam_Barcelona,0.1556640741024595
categorical__AwayTeam_Benevento,0.15484431084725572
categorical__HomeTeam_Real Madrid,0.1545592171615063
numeric__EloMean,0.15419391892191223
categorical__AwayTeam_Sheffield United,0.15348834354297922
categorical__AwayTeam_Betis,0.15331371950610626
categorical__HomeTeam_Napoli,0.15221278617576953
categorical__AwayTeam_Torino,0.15211590116547935
categorical__HomeTeam_Bologna,0.15105405701770797
categorical__AwayTeam_Sampdoria,0.15038004420830794
categorical__HomeTeam_Fulham,0.1479336251228076
categorical__HomeTeam_Salernitana,0.14727646650303597
categorical__HomeTeam_Angers,0.14597157887015386
categorical__HomeTeam_Spezia,0.14566601215481195
categorical__HomeTeam_Cremonese,0.1453323279179152
categorical__HomeTeam_Ath Bilbao,0.14518360304487368
categorical__HomeTeam_Betis,0.14429140881413535
categorical__HomeTeam_Greuther Furth,0.14108779740478206
categorical__AwayTeam_Sevilla,0.141027010806964
categorical__HomeTeam_Eibar,0.13872509329495025
categorical__HomeTeam_Wolfsburg,0.13848580859290416
categorical__HomeTeam_Huesca,0.13838047170162746
categorical__HomeTeam_Venezia,0.1377018667786379
categorical__AwayTeam_Frosinone,0.13671483919060834
categorical__AwayTeam_Hoffenheim,0.13541081482613881
categorical__AwayTeam_Lille,0.13460375819873618
categorical__HomeTeam_Parma,0.13332016190440757
categorical__AwayTeam_Augsburg,0.1329908158630472
categorical__AwayTeam_Montpellier,0.13044450436670718
categorical__HomeTeam_Levante,0.12935764904733227
categorical__AwayTeam_Ein Frankfurt,0.1287823091358026
categorical__HomeTeam_Arsenal,0.12808721205068294
categorical__HomeTeam_Aston Villa,0.12056762648632974
categorical__HomeTeam_Clermont,0.12050690943662312
categorical__AwayTeam_Toulouse,0.11984366945430307
categorical__HomeTeam_Metz,0.11894498654102621
categorical__AwayTeam_Fulham,0.11787565926025885
categorical__HomeTeam_Leeds,0.11622050430384541
categorical__AwayTeam_Leicester,0.11514044176409226
categorical__HomeTeam_Monaco,0.11503955107559148
categorical__AwayTeam_Villarreal,0.11293820476132393
