feature,importance
numeric__ImpliedAwayWin,0.03980250076873405
numeric__OddHome,0.03886737753755756
numeric__ImpliedHomeWin,0.03856133512093258
numeric__OddAway,0.03828392284120345
numeric__EloDiff,0.03691605496801399
numeric__HomeElo,0.0246972567332277
numeric__AwayEloSynced,0.024565484397002527
numeric__ImpliedDraw,0.02430153788224462
numeric__AwayElo,0.02360853231859551
numeric__HomeEloSynced,0.023296172845569136
numeric__OddDraw,0.022792209165304656
numeric__AwayMatchesPlayedBefore,0.022317808684810682
numeric__HomeMatchesPlayedBefore,0.021481667508129635
numeric__BookmakerMargin1X2,0.019727132732917606
numeric__EloMean,0.018909203649219095
numeric__RollingCornersForDiff5,0.018368135077663165
numeric__RollingCornersAgainstDiff5,0.01742580435538722
numeric__Under25,0.01730514078621521
numeric__ImpliedOver25,0.01717996940718248
numeric__ImpliedUnder25,0.017099543921693074
numeric__Over25,0.016646079280773118
numeric__VenueRollingPointsDiff5,0.01632328088543738
numeric__HomeRollingCornersFor5,0.016086830192332216
numeric__AwayRollingCornersAgainst5,0.015569031218971326
numeric__AwayRollingCornersFor5,0.015341639022369052
numeric__HomeRollingCornersAgainst5,0.015171023419460299
numeric__VenueRollingGoalsForDiff5,0.014525521454980846
numeric__RollingPointsDiff5,0.014113742500210955
numeric__RollingGoalsForDiff5,0.014012568494207012
numeric__RollingYellowCardsAgainstDiff5,0.013588870389987955
numeric__RollingYellowCardsForDiff5,0.013511886661072564
numeric__RollingGoalsAgainstDiff5,0.013476310890338239
numeric__VenueRollingGoalsAgainstDiff5,0.013325270926296831
numeric__AwayRollingYellowCardsFor5,0.01280814432115509
numeric__AwayRollingYellowCardsAgainst5,0.012385905702753197
numeric__HomeRollingYellowCardsAgainst5,0.012271333669517628
numeric__AwayOnlyRollingPoints5,0.012252097259231324
numeric__HomeRollingYellowCardsFor5,0.01221536377367096
numeric__RollingPointsDiff3,0.012046410913071745
numeric__HomeOnlyRollingGoalsFor5,0.011981850775086395
numeric__HomeRollingPoints5,0.011955394093736969
numeric__HomeOnlyRollingPoints5,0.011910612599031254
numeric__AwayOnlyRollingGoalsAgainst5,0.011613070115484707
numeric__AwayRollingGoalsFor5,0.011610267125699328
numeric__HomeRollingGoalsAgainst5,0.011541389130797667
numeric__MatchMonth,0.01152410722698371
numeric__HomeRollingGoalsFor5,0.011162564156821915
numeric__AwayRollingPoints5,0.011084220165106932
numeric__AwayOnlyRollingGoalsFor5,0.010954407284801062
numeric__HomeOnlyRollingGoalsAgainst5,0.010906064625459682
numeric__AwayRollingGoalsAgainst5,0.010683770163582093
numeric__HomeRollingPoints3,0.00948624277861161
numeric__AwayRollingPoints3,0.008742804449847968
numeric__RollingOver25RateDiff5,0.007945701763168599
numeric__RollingBTTSRateDiff5,0.0077754964231493
numeric__SeasonStartYear,0.007772396095077559
numeric__AwayRollingBTTSRate5,0.006693779036863366
numeric__HomeRollingOver25Rate5,0.006620330939758515
numeric__HomeRollingBTTSRate5,0.006412703128235244
numeric__AwayRollingOver25Rate5,0.006248149701883839
categorical__Division_SP1,0.0018234802523094396
categorical__Division_I1,0.0017936060042087712
categorical__Division_D1,0.0017053789372147665
categorical__Division_F1,0.0015951791917116454
categorical__Division_E0,0.0015740720641297893
categorical__AwayTeam_Reims,0.0002129243422451918
categorical__HomeTeam_Man City,0.00019950321298055728
categorical__AwayTeam_Man City,0.00017125245992528708
categorical__HomeTeam_Udinese,0.00016994257803972703
categorical__HomeTeam_Valencia,0.00016187234790982164
categorical__AwayTeam_Getafe,0.00016007976585864732
categorical__HomeTeam_Man United,0.00015880381896951935
categorical__AwayTeam_Newcastle,0.00015801476001186385
categorical__AwayTeam_Ath Bilbao,0.00015407603244939
categorical__AwayTeam_Lyon,0.000152142743121735
categorical__HomeTeam_Villarreal,0.00014364552939354877
categorical__HomeTeam_Tottenham,0.00014335547944433453
categorical__HomeTeam_Atalanta,0.00013926835044437383
categorical__AwayTeam_Fiorentina,0.00013514823031745145
categorical__AwayTeam_Atalanta,0.00013160255777169586
categorical__HomeTeam_Chelsea,0.00013107591241737782
categorical__HomeTeam_Ein Frankfurt,0.00013032039385961881
categorical__HomeTeam_Brighton,0.00012893209502953817
categorical__HomeTeam_Lyon,0.00012768321723849644
categorical__HomeTeam_Angers,0.00012727422561503824
categorical__AwayTeam_Angers,0.0001264679734842898
categorical__AwayTeam_Bayern Munich,0.0001237764595882837
categorical__HomeTeam_Ath Bilbao,0.00012365173872770204
categorical__HomeTeam_West Ham,0.00011866212314360982
categorical__AwayTeam_Lazio,0.00011640164947413228
categorical__AwayTeam_Sassuolo,0.00011628434739652648
categorical__HomeTeam_Southampton,0.00011445793576347869
categorical__AwayTeam_Milan,0.00010969621879482201
categorical__AwayTeam_Man United,0.00010871060877003337
categorical__HomeTeam_Brest,0.00010674790841876647
categorical__HomeTeam_Newcastle,0.00010506263826654388
categorical__HomeTeam_Liverpool,0.00010426501650195932
categorical__HomeTeam_Marseille,0.00010306103122370213
categorical__AwayTeam_Lens,0.00010293212394104785
categorical__AwayTeam_Napoli,0.0001005917757378296
categorical__AwayTeam_MGladbach,0.00010030521355652478
categorical__HomeTeam_Everton,9.907818741004586e-05
categorical__AwayTeam_Juventus,9.872973445102602e-05
categorical__AwayTeam_Lille,9.868779081717867e-05
categorical__AwayTeam_Verona,9.751691359290535e-05
categorical__AwayTeam_Barcelona,9.746199260525361e-05
categorical__HomeTeam_Barcelona,9.718295187258812e-05
categorical__AwayTeam_Dortmund,9.639813994285474e-05
categorical__HomeTeam_Ath Madrid,9.594732525925943e-05
