feature,importance
numeric__HomeEloSynced,1.9461383864983912
numeric__AwayEloSynced,1.5588812718644085
numeric__EloDiff,1.1283770230711279
numeric__HomeElo,0.8339477348103443
categorical__HomeTeam_Union Berlin,0.648210942405852
categorical__AwayTeam_Nurnberg,0.6327861656357531
categorical__AwayTeam_Hannover,0.6286589563639655
numeric__AwayElo,0.6139306707156603
categorical__AwayTeam_Spal,0.568028027844233
numeric__ImpliedOver25,0.5424119651094955
categorical__AwayTeam_Bournemouth,0.5258813715319782
categorical__HomeTeam_Hannover,0.514751115668816
categorical__HomeTeam_Chievo,0.5113065389572552
categorical__HomeTeam_Paderborn,0.5004391411788477
categorical__AwayTeam_Greuther Furth,0.47594264874748377
categorical__AwayTeam_Chievo,0.45857273544991856
categorical__HomeTeam_Nottm Forest,0.44632512627089094
categorical__HomeTeam_Crotone,0.4254751472935728
categorical__AwayTeam_Cremonese,0.4246200337175175
categorical__HomeTeam_Huddersfield,0.41420298584233367
categorical__AwayTeam_Crotone,0.41341634878990013
categorical__HomeTeam_Frosinone,0.4008226230282543
categorical__HomeTeam_Sheffield United,0.39958671309520327
categorical__AwayTeam_Almeria,0.39505898605571027
categorical__AwayTeam_Huddersfield,0.39452844831331263
categorical__HomeTeam_Almeria,0.38759409249971516
categorical__HomeTeam_Guingamp,0.3866030205722863
categorical__HomeTeam_Troyes,0.38599125850202
categorical__HomeTeam_Juventus,0.3747257041955971
categorical__AwayTeam_Reims,0.37255578858452637
categorical__HomeTeam_Ath Madrid,0.3684750954613551
categorical__HomeTeam_Liverpool,0.36351068142729326
categorical__HomeTeam_Benevento,0.3597580715841582
numeric__ImpliedUnder25,0.3559916644993133
categorical__HomeTeam_Ajaccio,0.35226066569165476
categorical__AwayTeam_Nottm Forest,0.35182999841365215
categorical__HomeTeam_Lille,0.34614568260076917
categorical__HomeTeam_Bochum,0.34556688962153803
categorical__AwayTeam_Brescia,0.3440368649480778
categorical__AwayTeam_Amiens,0.3414527996647325
categorical__AwayTeam_Ajaccio,0.3404378426679228
categorical__AwayTeam_Clermont,0.3391800207314746
categorical__HomeTeam_Lens,0.33369592425347633
categorical__AwayTeam_Guingamp,0.3287919439197204
categorical__AwayTeam_Napoli,0.32411356240353156
categorical__HomeTeam_Tottenham,0.32227422352497426
categorical__AwayTeam_Mallorca,0.3222701480873498
categorical__AwayTeam_Atalanta,0.3103843414596023
categorical__AwayTeam_Leeds,0.30640903162806304
categorical__HomeTeam_Werder Bremen,0.3056596623210171
categorical__HomeTeam_Cardiff,0.30275680386335735
categorical__AwayTeam_Wolfsburg,0.3004153846904083
categorical__HomeTeam_Nurnberg,0.29547041668138013
categorical__HomeTeam_RB Leipzig,0.2916490535063862
categorical__AwayTeam_Milan,0.29084518932161335
categorical__HomeTeam_Chelsea,0.28825781003180156
categorical__HomeTeam_Schalke 04,0.2862699967003834
categorical__HomeTeam_Brentford,0.27970884938099533
categorical__HomeTeam_Lecce,0.2780951490897158
categorical__AwayTeam_Cadiz,0.27535024001769487
categorical__HomeTeam_Valencia,0.2751797093337454
categorical__AwayTeam_Burnley,0.27430663508651615
categorical__AwayTeam_Genoa,0.27071405894621275
categorical__AwayTeam_West Brom,0.2697058259349362
categorical__HomeTeam_Inter,0.26903070458012857
categorical__AwayTeam_Norwich,0.2679057332457771
categorical__HomeTeam_Norwich,0.26644507911078175
categorical__HomeTeam_Freiburg,0.26516202446158593
categorical__AwayTeam_Cardiff,0.26459659260664486
categorical__AwayTeam_Monza,0.2629652114696483
categorical__HomeTeam_Toulouse,0.26290617137387423
categorical__HomeTeam_Dortmund,0.2609847547430384
categorical__HomeTeam_Rennes,0.2581964911646515
categorical__AwayTeam_Lazio,0.25758601687624644
categorical__AwayTeam_Huesca,0.25746212193344303
categorical__AwayTeam_Caen,0.2533590665531029
categorical__HomeTeam_Caen,0.253132492699092
categorical__AwayTeam_Union Berlin,0.2530154489390366
