feature_set,feature
full_v2,Division
full_v2,HomeTeam
full_v2,AwayTeam
full_v2,SeasonStartYear
full_v2,MatchMonth
full_v2,HomeElo
full_v2,AwayElo
full_v2,HomeEloSynced
full_v2,AwayEloSynced
full_v2,EloDiff
full_v2,EloMean
full_v2,OddHome
full_v2,OddDraw
full_v2,OddAway
full_v2,Over25
full_v2,Under25
full_v2,ImpliedHomeWin
full_v2,ImpliedDraw
full_v2,ImpliedAwayWin
full_v2,ImpliedOver25
full_v2,ImpliedUnder25
full_v2,BookmakerMargin1X2
full_v2,HomeMatchesPlayedBefore
full_v2,AwayMatchesPlayedBefore
full_v2,HomeRollingGoalsFor5
full_v2,HomeRollingGoalsAgainst5
full_v2,AwayRollingGoalsFor5
full_v2,AwayRollingGoalsAgainst5
full_v2,HomeRollingPoints3
full_v2,HomeRollingPoints5
full_v2,AwayRollingPoints3
full_v2,AwayRollingPoints5
full_v2,RollingGoalsForDiff5
full_v2,RollingGoalsAgainstDiff5
full_v2,RollingPointsDiff3
full_v2,RollingPointsDiff5
full_v2,HomeRollingBTTSRate5
full_v2,AwayRollingBTTSRate5
full_v2,RollingBTTSRateDiff5
full_v2,HomeRollingOver25Rate5
full_v2,AwayRollingOver25Rate5
full_v2,RollingOver25RateDiff5
full_v2,HomeRollingCornersFor5
full_v2,HomeRollingCornersAgainst5
full_v2,AwayRollingCornersFor5
full_v2,AwayRollingCornersAgainst5
full_v2,RollingCornersForDiff5
full_v2,RollingCornersAgainstDiff5
full_v2,HomeRollingYellowCardsFor5
full_v2,HomeRollingYellowCardsAgainst5
full_v2,AwayRollingYellowCardsFor5
full_v2,AwayRollingYellowCardsAgainst5
full_v2,RollingYellowCardsForDiff5
full_v2,RollingYellowCardsAgainstDiff5
full_v2,HomeOnlyRollingPoints5
full_v2,HomeOnlyRollingGoalsFor5
full_v2,HomeOnlyRollingGoalsAgainst5
full_v2,AwayOnlyRollingPoints5
full_v2,AwayOnlyRollingGoalsFor5
full_v2,AwayOnlyRollingGoalsAgainst5
full_v2,VenueRollingPointsDiff5
full_v2,VenueRollingGoalsForDiff5
full_v2,VenueRollingGoalsAgainstDiff5
