model,split,accuracy,balanced_accuracy,macro_f1,home_recall,draw_recall,away_recall,draw_boost,draw_threshold,C,class_weight,experiment_type
logistic_c_0_05__none,train,0.54824415641963,0.4885833910470079,0.4604413291330591,0.7844937515939812,0.10347864376926465,0.5777777777777777,1.0,none,0.05,none,logistic_tuning
logistic_c_0_05__none,validation,0.5342465753424658,0.47259394960881734,0.42005005989207644,0.8185430463576159,0.028077753779697623,0.5711610486891385,1.0,none,0.05,none,logistic_tuning
logistic_c_0_05__balanced,train,0.5304087736789631,0.5185728135593884,0.5167048899101161,0.566947207345065,0.4222809335094672,0.5664902998236332,1.0,none,0.05,balanced,logistic_tuning
logistic_c_0_05__balanced,validation,0.509703196347032,0.48443811733695136,0.48153694702198147,0.6172185430463576,0.27429805615550756,0.5617977528089888,1.0,none,0.05,balanced,logistic_tuning
logistic_c_0_05__draw_1_2,train,0.5479118200952697,0.5021214615717945,0.4962582043350485,0.7408824279520531,0.2289740202553941,0.5365079365079365,1.0,none,0.05,draw_1_2,logistic_tuning
logistic_c_0_05__draw_1_2,validation,0.5319634703196348,0.477380178214361,0.4517546401588033,0.7907284768211921,0.10583153347732181,0.5355805243445693,1.0,none,0.05,draw_1_2,logistic_tuning
logistic_c_0_05__draw_1_4,train,0.5406004209593442,0.5103476082816965,0.511888558317705,0.6845192552920173,0.3615147512109203,0.48500881834215165,1.0,none,0.05,draw_1_4,logistic_tuning
logistic_c_0_05__draw_1_4,validation,0.5211187214611872,0.4783632102199143,0.4737583510785724,0.7350993377483444,0.2224622030237581,0.47752808988764045,1.0,none,0.05,draw_1_4,logistic_tuning
logistic_c_0_05__draw_1_6,train,0.522432701894317,0.506942032759715,0.5067636024623151,0.618719714358582,0.47424042272126815,0.42786596119929454,1.0,none,0.05,draw_1_6,logistic_tuning
logistic_c_0_05__draw_1_6,validation,0.514269406392694,0.48465555362163776,0.48835769883979374,0.6768211920529801,0.35205183585313177,0.4250936329588015,1.0,none,0.05,draw_1_6,logistic_tuning
logistic_c_0_1__none,train,0.5518998559875927,0.49520818735570993,0.4734483743413828,0.7778627901045652,0.13210039630118892,0.5756613756613757,1.0,none,0.1,none,logistic_tuning
logistic_c_0_1__none,validation,0.5285388127853882,0.46875327464687566,0.4232182976819188,0.8052980132450331,0.04103671706263499,0.5599250936329588,1.0,none,0.1,none,logistic_tuning
logistic_c_0_1__balanced,train,0.5351722609947934,0.5232569808221851,0.5211243355037125,0.5707727620504973,0.4240422721268164,0.5749559082892416,1.0,none,0.1,balanced,logistic_tuning
logistic_c_0_1__balanced,validation,0.5079908675799086,0.48415783676066243,0.48214584558458035,0.6119205298013245,0.2937365010799136,0.5468164794007491,1.0,none,0.1,balanced,logistic_tuning
