feature_set,feature
v1_btts_over,Division
v1_btts_over,HomeTeam
v1_btts_over,AwayTeam
v1_btts_over,SeasonStartYear
v1_btts_over,MatchMonth
v1_btts_over,HomeElo
v1_btts_over,AwayElo
v1_btts_over,HomeEloSynced
v1_btts_over,AwayEloSynced
v1_btts_over,EloDiff
v1_btts_over,EloMean
v1_btts_over,OddHome
v1_btts_over,OddDraw
v1_btts_over,OddAway
v1_btts_over,Over25
v1_btts_over,Under25
v1_btts_over,ImpliedHomeWin
v1_btts_over,ImpliedDraw
v1_btts_over,ImpliedAwayWin
v1_btts_over,ImpliedOver25
v1_btts_over,ImpliedUnder25
v1_btts_over,BookmakerMargin1X2
v1_btts_over,HomeMatchesPlayedBefore
v1_btts_over,AwayMatchesPlayedBefore
v1_btts_over,HomeRollingGoalsFor5
v1_btts_over,HomeRollingGoalsAgainst5
v1_btts_over,AwayRollingGoalsFor5
v1_btts_over,AwayRollingGoalsAgainst5
v1_btts_over,HomeRollingPoints3
v1_btts_over,HomeRollingPoints5
v1_btts_over,AwayRollingPoints3
v1_btts_over,AwayRollingPoints5
v1_btts_over,RollingGoalsForDiff5
v1_btts_over,RollingGoalsAgainstDiff5
v1_btts_over,RollingPointsDiff3
v1_btts_over,RollingPointsDiff5
v1_btts_over,HomeRollingBTTSRate5
v1_btts_over,AwayRollingBTTSRate5
v1_btts_over,RollingBTTSRateDiff5
v1_btts_over,HomeRollingOver25Rate5
v1_btts_over,AwayRollingOver25Rate5
v1_btts_over,RollingOver25RateDiff5
