feature_set,feature
v1_corners_yellow,Division
v1_corners_yellow,HomeTeam
v1_corners_yellow,AwayTeam
v1_corners_yellow,SeasonStartYear
v1_corners_yellow,MatchMonth
v1_corners_yellow,HomeElo
v1_corners_yellow,AwayElo
v1_corners_yellow,HomeEloSynced
v1_corners_yellow,AwayEloSynced
v1_corners_yellow,EloDiff
v1_corners_yellow,EloMean
v1_corners_yellow,OddHome
v1_corners_yellow,OddDraw
v1_corners_yellow,OddAway
v1_corners_yellow,Over25
v1_corners_yellow,Under25
v1_corners_yellow,ImpliedHomeWin
v1_corners_yellow,ImpliedDraw
v1_corners_yellow,ImpliedAwayWin
v1_corners_yellow,ImpliedOver25
v1_corners_yellow,ImpliedUnder25
v1_corners_yellow,BookmakerMargin1X2
v1_corners_yellow,HomeMatchesPlayedBefore
v1_corners_yellow,AwayMatchesPlayedBefore
v1_corners_yellow,HomeRollingGoalsFor5
v1_corners_yellow,HomeRollingGoalsAgainst5
v1_corners_yellow,AwayRollingGoalsFor5
v1_corners_yellow,AwayRollingGoalsAgainst5
v1_corners_yellow,HomeRollingPoints3
v1_corners_yellow,HomeRollingPoints5
v1_corners_yellow,AwayRollingPoints3
v1_corners_yellow,AwayRollingPoints5
v1_corners_yellow,RollingGoalsForDiff5
v1_corners_yellow,RollingGoalsAgainstDiff5
v1_corners_yellow,RollingPointsDiff3
v1_corners_yellow,RollingPointsDiff5
v1_corners_yellow,HomeRollingCornersFor5
v1_corners_yellow,HomeRollingCornersAgainst5
v1_corners_yellow,AwayRollingCornersFor5
v1_corners_yellow,AwayRollingCornersAgainst5
v1_corners_yellow,RollingCornersForDiff5
v1_corners_yellow,RollingCornersAgainstDiff5
v1_corners_yellow,HomeRollingYellowCardsFor5
v1_corners_yellow,HomeRollingYellowCardsAgainst5
v1_corners_yellow,AwayRollingYellowCardsFor5
v1_corners_yellow,AwayRollingYellowCardsAgainst5
v1_corners_yellow,RollingYellowCardsForDiff5
v1_corners_yellow,RollingYellowCardsAgainstDiff5
