feature_set,feature
v1_only,Division
v1_only,HomeTeam
v1_only,AwayTeam
v1_only,SeasonStartYear
v1_only,MatchMonth
v1_only,HomeElo
v1_only,AwayElo
v1_only,HomeEloSynced
v1_only,AwayEloSynced
v1_only,EloDiff
v1_only,EloMean
v1_only,OddHome
v1_only,OddDraw
v1_only,OddAway
v1_only,Over25
v1_only,Under25
v1_only,ImpliedHomeWin
v1_only,ImpliedDraw
v1_only,ImpliedAwayWin
v1_only,ImpliedOver25
v1_only,ImpliedUnder25
v1_only,BookmakerMargin1X2
v1_only,HomeMatchesPlayedBefore
v1_only,AwayMatchesPlayedBefore
v1_only,HomeRollingGoalsFor5
v1_only,HomeRollingGoalsAgainst5
v1_only,AwayRollingGoalsFor5
v1_only,AwayRollingGoalsAgainst5
v1_only,HomeRollingPoints3
v1_only,HomeRollingPoints5
v1_only,AwayRollingPoints3
v1_only,AwayRollingPoints5
v1_only,RollingGoalsForDiff5
v1_only,RollingGoalsAgainstDiff5
v1_only,RollingPointsDiff3
v1_only,RollingPointsDiff5
