feature,importance
numeric__ImpliedHomeWin,0.05713825991206645
numeric__ImpliedAwayWin,0.05610920135366655
numeric__OddHome,0.05491988343424124
numeric__OddAway,0.05466433993422453
numeric__EloDiff,0.05239637621557386
numeric__AwayEloSynced,0.035520175465895566
numeric__HomeElo,0.03474985539401455
numeric__AwayElo,0.03473393528555848
numeric__OddDraw,0.033553196403865206
numeric__HomeEloSynced,0.03313004835125196
numeric__AwayMatchesPlayedBefore,0.03257141113072627
numeric__ImpliedDraw,0.03251062677886922
numeric__HomeMatchesPlayedBefore,0.03193437419412268
numeric__BookmakerMargin1X2,0.028462110230928404
numeric__EloMean,0.028058978095222294
numeric__Under25,0.025101573785326153
numeric__ImpliedUnder25,0.024861678806793984
numeric__Over25,0.02461136198540156
numeric__ImpliedOver25,0.02417012447988391
numeric__RollingPointsDiff5,0.02152604836215493
numeric__RollingGoalsForDiff5,0.021347135695750974
numeric__RollingGoalsAgainstDiff5,0.019671167984228587
numeric__HomeRollingGoalsAgainst5,0.018029008525042935
numeric__AwayRollingPoints5,0.01791685085857425
numeric__HomeRollingPoints5,0.01784662251345902
numeric__AwayRollingGoalsFor5,0.01777015196701379
numeric__RollingPointsDiff3,0.017571844594005133
numeric__MatchMonth,0.017307946055770452
numeric__HomeRollingGoalsFor5,0.017208775967989216
numeric__AwayRollingGoalsAgainst5,0.016777800298958485
numeric__AwayRollingPoints3,0.014477574058689137
numeric__HomeRollingPoints3,0.014221485333126985
numeric__SeasonStartYear,0.011549791716498094
categorical__Division_I1,0.003341177461478247
categorical__Division_SP1,0.003124047011698958
categorical__Division_E0,0.0028831267236828716
categorical__Division_F1,0.0026666535439111416
categorical__Division_D1,0.0026413814981191813
categorical__HomeTeam_Man City,0.0006131701013376137
categorical__AwayTeam_Man City,0.0004777488399916175
categorical__AwayTeam_Reims,0.000467878152795529
categorical__HomeTeam_Ein Frankfurt,0.0004242473248108905
categorical__AwayTeam_Atalanta,0.000418332770835207
categorical__AwayTeam_Napoli,0.00041094996280041505
categorical__HomeTeam_Chelsea,0.0004077951915481353
categorical__HomeTeam_Valencia,0.00040525063703733766
categorical__HomeTeam_Man United,0.00040389122704744527
categorical__AwayTeam_Getafe,0.00040047716261835134
categorical__HomeTeam_Lyon,0.00039735268349798603
categorical__AwayTeam_Lille,0.0003817506393903142
categorical__HomeTeam_Ath Madrid,0.00035122027082954305
categorical__HomeTeam_Reims,0.00034401167882826126
categorical__AwayTeam_Ath Bilbao,0.00033858442776028857
categorical__HomeTeam_Rennes,0.0003346715401584119
categorical__AwayTeam_Milan,0.00031615184659859237
categorical__AwayTeam_Nice,0.00030987490938484897
categorical__AwayTeam_Lyon,0.0003061273480316127
categorical__HomeTeam_Ath Bilbao,0.00030591863134670405
categorical__AwayTeam_Bayern Munich,0.0003013074173777468
categorical__HomeTeam_Atalanta,0.00029855247760037103
categorical__AwayTeam_Torino,0.0002968722611675668
