feature,importance
OddAway,9.146539527206592
HomeTeam,7.3451272128391585
OddHome,6.9290824301469485
AwayTeam,6.312714699270668
ImpliedDraw,5.457896028790925
ImpliedAwayWin,5.094565084787795
ImpliedHomeWin,3.97065263407478
OddDraw,3.0455961749579576
Division,2.924042854758504
EloDiff,2.8567378654028355
AwayMatchesPlayedBefore,2.649706846800142
HomeMatchesPlayedBefore,2.0820831118260315
AwayRollingOver25Rate5,2.0291274580687246
MatchMonth,1.9775046819221687
BookmakerMargin1X2,1.8582814895496864
SeasonStartYear,1.7872654992253187
HomeRollingPoints5,1.7732023881893282
Over25,1.7642306642555832
HomeRollingGoalsAgainst5,1.7255076458618064
ImpliedOver25,1.7088174083793592
HomeElo,1.7067051995381037
AwayRollingGoalsFor5,1.4822965715579823
AwayRollingBTTSRate5,1.4766065867692968
RollingGoalsAgainstDiff5,1.4541880428080156
AwayEloSynced,1.4313122929171045
HomeEloSynced,1.4266616341956044
AwayRollingPoints5,1.4224550595698786
AwayElo,1.392837093100713
HomeRollingBTTSRate5,1.3768290994225652
HomeRollingPoints3,1.3362697560036794
RollingPointsDiff5,1.2988800288028624
RollingPointsDiff3,1.263369393321846
EloMean,1.2312825591082817
RollingOver25RateDiff5,1.198478305435523
AwayRollingPoints3,1.1874151061752891
RollingBTTSRateDiff5,1.0948972996855877
HomeRollingOver25Rate5,1.066335084465638
HomeRollingGoalsFor5,1.0054867593476633
Under25,0.9788952646418556
ImpliedUnder25,0.9331386718821808
RollingGoalsForDiff5,0.9096398775879317
AwayRollingGoalsAgainst5,0.8873386073480655
