feature,importance
numeric__HomeEloSynced,1.999456897091911
numeric__AwayEloSynced,1.5986171892348018
numeric__EloDiff,1.1609210713496638
numeric__HomeElo,0.8581413363682602
categorical__AwayTeam_Nurnberg,0.6569810415240841
categorical__HomeTeam_Union Berlin,0.6484998379376117
categorical__AwayTeam_Hannover,0.6443200979640129
numeric__AwayElo,0.631496040894237
categorical__AwayTeam_Spal,0.5656070896635285
numeric__ImpliedOver25,0.5572289373723245
categorical__HomeTeam_Chievo,0.5279897664965166
categorical__HomeTeam_Hannover,0.5195030429569315
categorical__AwayTeam_Bournemouth,0.5158811808598165
categorical__AwayTeam_Greuther Furth,0.48840064468178873
categorical__HomeTeam_Paderborn,0.48807202935006194
categorical__AwayTeam_Chievo,0.47723361927618874
categorical__HomeTeam_Nottm Forest,0.44028375661922864
categorical__HomeTeam_Crotone,0.43237575632981323
categorical__AwayTeam_Cremonese,0.42668790021888375
categorical__HomeTeam_Huddersfield,0.4216533309682249
categorical__AwayTeam_Crotone,0.4181132223722132
categorical__AwayTeam_Huddersfield,0.40915556742669185
categorical__HomeTeam_Frosinone,0.4026234555198771
categorical__AwayTeam_Almeria,0.39480867309162954
categorical__HomeTeam_Sheffield United,0.392648058620012
categorical__HomeTeam_Troyes,0.38781332495050974
categorical__HomeTeam_Guingamp,0.3829674177833697
categorical__HomeTeam_Almeria,0.380956216608282
categorical__HomeTeam_Benevento,0.3779054628888174
categorical__AwayTeam_Reims,0.3749295930691716
categorical__HomeTeam_Juventus,0.374663371340717
numeric__ImpliedUnder25,0.37254817743514584
categorical__HomeTeam_Liverpool,0.3668635565083184
categorical__HomeTeam_Ath Madrid,0.36183336687462964
categorical__AwayTeam_Nottm Forest,0.3601339166247091
categorical__HomeTeam_Ajaccio,0.34645279250298394
categorical__HomeTeam_Lille,0.3442020407557866
categorical__HomeTeam_Bochum,0.34208739296102
categorical__AwayTeam_Ajaccio,0.34122755491322243
categorical__AwayTeam_Brescia,0.3408455417400764
categorical__HomeTeam_Lens,0.33943600224769344
categorical__AwayTeam_Clermont,0.3383013939466422
categorical__AwayTeam_Guingamp,0.337799194983164
categorical__AwayTeam_Amiens,0.32898544941688973
categorical__AwayTeam_Mallorca,0.3273663645878895
categorical__AwayTeam_Napoli,0.3232579069818075
categorical__HomeTeam_Tottenham,0.31978136862334156
categorical__AwayTeam_Leeds,0.31200637487227895
categorical__AwayTeam_Atalanta,0.3116577980560218
categorical__HomeTeam_Cardiff,0.31149392183576624
categorical__HomeTeam_Werder Bremen,0.307541257309663
categorical__HomeTeam_Nurnberg,0.29724111342075626
categorical__AwayTeam_Wolfsburg,0.29607762735017434
categorical__AwayTeam_Milan,0.29344432284543454
categorical__HomeTeam_RB Leipzig,0.2889814723138192
categorical__AwayTeam_West Brom,0.28660305963836513
categorical__HomeTeam_Chelsea,0.28376868763113544
categorical__HomeTeam_Schalke 04,0.2827310932561093
categorical__HomeTeam_Valencia,0.2816385123756786
categorical__AwayTeam_Norwich,0.2778665650455478
categorical__HomeTeam_Brentford,0.2772953272241772
categorical__HomeTeam_Lecce,0.2767255246060756
categorical__AwayTeam_Cadiz,0.2729870502577605
categorical__AwayTeam_Burnley,0.27246305036117874
categorical__HomeTeam_Inter,0.27218733847825277
categorical__HomeTeam_Dortmund,0.2687847373684669
categorical__HomeTeam_Norwich,0.26859889124346364
categorical__HomeTeam_Freiburg,0.2677598899385733
categorical__AwayTeam_Genoa,0.26501262685104143
categorical__AwayTeam_Monza,0.2626082150654749
categorical__AwayTeam_Union Berlin,0.26239156567102
categorical__AwayTeam_Cardiff,0.26188459642363676
categorical__HomeTeam_Toulouse,0.26085961816689424
categorical__HomeTeam_Caen,0.25980937449488967
categorical__AwayTeam_Lazio,0.25822334454955337
categorical__HomeTeam_Paris SG,0.2571958810031037
categorical__AwayTeam_Metz,0.25675596160745595
categorical__HomeTeam_Rennes,0.2564452229582444
categorical__AwayTeam_Schalke 04,0.2547507970056726
categorical__HomeTeam_West Brom,0.2545875921602147
categorical__AwayTeam_Dijon,0.2532378802861413
categorical__AwayTeam_Caen,0.2519415970101306
categorical__AwayTeam_Espanol,0.24937838248871944
categorical__HomeTeam_Bayern Munich,0.24887407996051267
categorical__AwayTeam_Real Madrid,0.24782468483692333
categorical__AwayTeam_Huesca,0.2467148470273098
categorical__HomeTeam_Man City,0.24671116145216207
categorical__AwayTeam_Newcastle,0.24657939296303688
categorical__AwayTeam_Mainz,0.24329851356635787
categorical__AwayTeam_Bochum,0.24187307556012552
categorical__AwayTeam_Troyes,0.23891193839042946
categorical__HomeTeam_Southampton,0.23245972831729214
numeric__ImpliedAwayWin,0.2308816287164146
categorical__HomeTeam_Fortuna Dusseldorf,0.23075965310262977
categorical__AwayTeam_Stuttgart,0.22971208013235542
categorical__HomeTeam_Brighton,0.22880330236529348
categorical__AwayTeam_Getafe,0.22436632900477238
categorical__HomeTeam_Roma,0.2242267172107617
categorical__HomeTeam_Bielefeld,0.2211577207420663
categorical__AwayTeam_Brentford,0.2189828021582538
categorical__HomeTeam_Ein Frankfurt,0.2168978632901418
categorical__AwayTeam_Lens,0.21621311236008056
categorical__HomeTeam_Man United,0.21572875429460966
categorical__AwayTeam_Vallecano,0.21403255568981763
categorical__AwayTeam_Leverkusen,0.2135287274594948
categorical__HomeTeam_Brest,0.2134982648550375
categorical__AwayTeam_Lorient,0.21345323574379504
categorical__AwayTeam_Ath Bilbao,0.2133861838089349
categorical__AwayTeam_Verona,0.21307160450711657
categorical__AwayTeam_Paderborn,0.21210857406838793
categorical__HomeTeam_Sampdoria,0.20936573936928574
numeric__ImpliedHomeWin,0.20794756216185584
categorical__HomeTeam_Stuttgart,0.20777961350561344
categorical__AwayTeam_Liverpool,0.20557562159616172
categorical__HomeTeam_Milan,0.20452308512041642
categorical__AwayTeam_Marseille,0.20438924016614599
categorical__HomeTeam_Hoffenheim,0.20385284425800976
categorical__AwayTeam_Salernitana,0.2033313180455861
categorical__HomeTeam_Watford,0.20320643147938341
categorical__HomeTeam_Girona,0.20178657641311373
categorical__HomeTeam_Nimes,0.20142887430609102
categorical__AwayTeam_Cagliari,0.20123581426736692
categorical__HomeTeam_Reims,0.20091931896063867
categorical__AwayTeam_Fiorentina,0.19990208090272832
categorical__AwayTeam_Nice,0.19738640049374223
categorical__AwayTeam_Empoli,0.19707121493786497
categorical__HomeTeam_Leicester,0.19438159341518524
categorical__AwayTeam_Nimes,0.19351311409874825
categorical__HomeTeam_Valladolid,0.19218029259814753
categorical__AwayTeam_Auxerre,0.19173139117071095
categorical__HomeTeam_Napoli,0.19103722028347914
categorical__AwayTeam_Dortmund,0.18846614667463657
categorical__AwayTeam_RB Leipzig,0.18802119864412833
categorical__AwayTeam_Alaves,0.1876987632562015
categorical__AwayTeam_Sociedad,0.1871839361017843
categorical__HomeTeam_Lazio,0.18564144208475655
categorical__AwayTeam_Lecce,0.1848244317792882
categorical__AwayTeam_Ath Madrid,0.1846383010630098
categorical__AwayTeam_Crystal Palace,0.1837355425551086
categorical__AwayTeam_Sassuolo,0.18373428197187214
categorical__HomeTeam_Lorient,0.18341387171717258
categorical__HomeTeam_Auxerre,0.1805419757541524
categorical__HomeTeam_Sassuolo,0.18024208956125407
