feature,importance
numeric__ImpliedAwayWin,0.05368798166635156
numeric__ImpliedHomeWin,0.05260525097118241
numeric__OddHome,0.05037843015026824
numeric__OddAway,0.04916657093539689
numeric__EloDiff,0.04685429934474626
numeric__AwayElo,0.03484424765616026
numeric__AwayEloSynced,0.032730058192646315
numeric__HomeElo,0.0327126652392409
numeric__HomeEloSynced,0.032170821002641285
numeric__ImpliedDraw,0.031961161460702034
numeric__OddDraw,0.031838080490894795
numeric__HomeMatchesPlayedBefore,0.03166923402820362
numeric__AwayMatchesPlayedBefore,0.030467097576261273
numeric__EloMean,0.02728583115557954
numeric__BookmakerMargin1X2,0.02610507199465379
numeric__ImpliedUnder25,0.024202664819184462
numeric__Under25,0.023955800052187327
numeric__ImpliedOver25,0.023903676842111532
numeric__Over25,0.02327587922957062
numeric__RollingPointsDiff5,0.0205722452237519
numeric__RollingGoalsForDiff5,0.020008174961294516
numeric__RollingGoalsAgainstDiff5,0.01804836350682497
numeric__AwayRollingGoalsFor5,0.017662543446989105
numeric__HomeRollingPoints5,0.01731825435614779
numeric__AwayRollingPoints5,0.017057708531749642
numeric__HomeRollingGoalsAgainst5,0.016794084506880382
numeric__RollingPointsDiff3,0.016661920932632864
numeric__MatchMonth,0.01635099624645552
numeric__HomeRollingGoalsFor5,0.01617764888361246
numeric__AwayRollingGoalsAgainst5,0.015492236829726698
numeric__AwayRollingPoints3,0.013462286990940226
numeric__HomeRollingPoints3,0.01305717597496027
numeric__RollingBTTSRateDiff5,0.011658170147273174
numeric__RollingOver25RateDiff5,0.011048669704570782
numeric__SeasonStartYear,0.01093381144373399
numeric__HomeRollingBTTSRate5,0.00963765369901494
numeric__AwayRollingOver25Rate5,0.009411663161820434
numeric__AwayRollingBTTSRate5,0.009405212352716484
numeric__HomeRollingOver25Rate5,0.00923552291584698
categorical__Division_I1,0.0031015960621771552
categorical__Division_SP1,0.0030716491679623746
categorical__Division_E0,0.002727831445093527
categorical__Division_F1,0.002623398765489311
categorical__Division_D1,0.002467735640579426
categorical__AwayTeam_Reims,0.0005777264296180102
categorical__HomeTeam_Chelsea,0.0004211533268882805
categorical__HomeTeam_Man City,0.0003993249924052321
