feature,importance
OddHome,6.90231428292806
HomeTeam,5.969491698571587
ImpliedAwayWin,5.145026910023259
AwayTeam,4.995305582827538
OddAway,4.8901540841927105
EloDiff,3.2741278962515996
ImpliedDraw,3.0050516816391455
OddDraw,2.937022364359833
ImpliedHomeWin,2.604858871960747
HomeRollingCornersFor5,2.4264724421008985
BookmakerMargin1X2,2.3455134604280414
RollingCornersForDiff5,2.272015644549951
HomeRollingCornersAgainst5,2.177969548856172
Division,2.164734092010931
HomeRollingYellowCardsFor5,1.986255820491461
RollingYellowCardsForDiff5,1.9224803319531842
HomeMatchesPlayedBefore,1.8793639350892704
RollingYellowCardsAgainstDiff5,1.8639596804905454
RollingGoalsForDiff5,1.8452355469090285
AwayRollingYellowCardsFor5,1.8341215346256736
AwayRollingYellowCardsAgainst5,1.8164502126568483
AwayRollingCornersAgainst5,1.7985271419185143
HomeEloSynced,1.7269509573601431
ImpliedOver25,1.6932990618092059
MatchMonth,1.6141256947122362
RollingGoalsAgainstDiff5,1.585163388313311
RollingCornersAgainstDiff5,1.5634807338375536
HomeRollingGoalsAgainst5,1.552961565007036
AwayMatchesPlayedBefore,1.5340310507708959
HomeRollingYellowCardsAgainst5,1.5107560153237467
HomeElo,1.3919688699971875
RollingPointsDiff5,1.3734447938959857
AwayElo,1.3676352770821596
AwayRollingCornersFor5,1.3418571768705814
SeasonStartYear,1.2873665153161933
ImpliedUnder25,1.2830236518699114
Over25,1.2730592859273822
HomeRollingPoints3,1.2321550114738395
AwayRollingGoalsAgainst5,1.2237630944898932
AwayRollingPoints5,1.2237210018067803
EloMean,1.2044879097883041
HomeRollingGoalsFor5,1.1673954431870222
Under25,1.1302916428887118
HomeRollingPoints5,1.038387284962682
AwayRollingGoalsFor5,1.0120089131233758
AwayRollingPoints3,0.9067538278037596
AwayEloSynced,0.9015328850653631
RollingPointsDiff3,0.8039261824817472
