feature,importance
numeric__HomeEloSynced,1.9957406942264402
numeric__AwayEloSynced,1.6153592953104823
numeric__EloDiff,1.1694117026272315
numeric__HomeElo,0.8593147166542886
categorical__HomeTeam_Union Berlin,0.6439838586770062
numeric__AwayElo,0.641216161705759
categorical__AwayTeam_Nurnberg,0.6408011756530062
categorical__AwayTeam_Hannover,0.6329222829871691
categorical__AwayTeam_Spal,0.5790254732235035
numeric__ImpliedOver25,0.5488237922267781
categorical__AwayTeam_Bournemouth,0.5418766860933413
categorical__HomeTeam_Hannover,0.5114227194105988
categorical__HomeTeam_Paderborn,0.5103352273671912
categorical__HomeTeam_Chievo,0.491874301985119
categorical__AwayTeam_Greuther Furth,0.48599594751817965
categorical__AwayTeam_Chievo,0.4539829630026897
categorical__HomeTeam_Nottm Forest,0.4457770770062602
categorical__AwayTeam_Cremonese,0.4377112993230985
categorical__AwayTeam_Crotone,0.42630438635903384
categorical__HomeTeam_Crotone,0.4164508675916439
categorical__AwayTeam_Huddersfield,0.4106664183788619
categorical__HomeTeam_Sheffield United,0.41047474001302614
categorical__HomeTeam_Huddersfield,0.4082012200374428
categorical__HomeTeam_Guingamp,0.40403188390099004
categorical__HomeTeam_Frosinone,0.40277302676862514
categorical__HomeTeam_Troyes,0.3904643449683378
categorical__AwayTeam_Almeria,0.3770459418933139
categorical__HomeTeam_Almeria,0.37466564632449106
categorical__AwayTeam_Reims,0.3710245067554501
categorical__HomeTeam_Liverpool,0.3680156476464036
numeric__ImpliedUnder25,0.36801481245791495
categorical__HomeTeam_Ath Madrid,0.36647438537311333
categorical__HomeTeam_Benevento,0.36619527201829266
categorical__HomeTeam_Juventus,0.36506655992667364
categorical__AwayTeam_Brescia,0.35329488409789106
categorical__AwayTeam_Ajaccio,0.351805071392536
categorical__HomeTeam_Lille,0.3482263052160026
categorical__AwayTeam_Amiens,0.34315817061706055
categorical__HomeTeam_Ajaccio,0.34194674978599854
categorical__AwayTeam_Nottm Forest,0.3390201559904886
categorical__AwayTeam_Mallorca,0.3358140568155951
categorical__HomeTeam_Bochum,0.33109149913441377
categorical__AwayTeam_Guingamp,0.3269095504209196
categorical__HomeTeam_Lens,0.32590155288619616
categorical__AwayTeam_Napoli,0.32504448588333706
categorical__AwayTeam_Clermont,0.32430798618596485
categorical__AwayTeam_Wolfsburg,0.3224014257677769
categorical__HomeTeam_Tottenham,0.31824354637526725
categorical__HomeTeam_Werder Bremen,0.30902782876387547
categorical__HomeTeam_RB Leipzig,0.3044274427143456
categorical__AwayTeam_Atalanta,0.3022887228730538
categorical__HomeTeam_Lecce,0.30098756319372044
categorical__HomeTeam_Nurnberg,0.3005091026742082
categorical__HomeTeam_Cardiff,0.2935344572174499
categorical__AwayTeam_Leeds,0.2933086547336756
categorical__AwayTeam_Milan,0.2929488974893166
categorical__HomeTeam_Schalke 04,0.2927274329623151
categorical__AwayTeam_Cadiz,0.29151159862222403
categorical__HomeTeam_Valencia,0.2905708822529886
categorical__HomeTeam_Chelsea,0.28568232576733343
categorical__HomeTeam_Norwich,0.2817636913425962
categorical__HomeTeam_Brentford,0.278829913000575
categorical__AwayTeam_Huesca,0.2783900797346703
categorical__AwayTeam_Burnley,0.2772359260212878
categorical__HomeTeam_Toulouse,0.2745196425224312
categorical__AwayTeam_Genoa,0.27207504906972996
categorical__AwayTeam_Bochum,0.2711803042850413
categorical__HomeTeam_Paris SG,0.2688778119107311
categorical__AwayTeam_Cardiff,0.2673779461291615
categorical__HomeTeam_Freiburg,0.26418133608583677
categorical__HomeTeam_Inter,0.26241063944577103
categorical__AwayTeam_Lazio,0.2623391575459925
categorical__AwayTeam_West Brom,0.2614653364131651
categorical__AwayTeam_Metz,0.2594251818341364
categorical__AwayTeam_Caen,0.2593679501854625
categorical__HomeTeam_Man City,0.25699062696210806
categorical__HomeTeam_Rennes,0.2553314713211237
categorical__HomeTeam_Dortmund,0.2535029989789947
categorical__HomeTeam_Fortuna Dusseldorf,0.2523693503722331
categorical__AwayTeam_Monza,0.2513455424106449
categorical__HomeTeam_Bayern Munich,0.24974594791692709
categorical__HomeTeam_West Brom,0.2488172895031344
categorical__AwayTeam_Norwich,0.24782550895141342
categorical__AwayTeam_Mainz,0.24709527071976045
categorical__AwayTeam_Newcastle,0.24620203315586506
categorical__AwayTeam_Union Berlin,0.24413872910741638
categorical__AwayTeam_Troyes,0.24149310627632503
categorical__HomeTeam_Bielefeld,0.24040742648215505
categorical__AwayTeam_Real Madrid,0.23931713705466884
categorical__AwayTeam_Dijon,0.23927512930062875
categorical__AwayTeam_Schalke 04,0.23842039346118651
categorical__HomeTeam_Caen,0.23824576437161246
categorical__HomeTeam_Southampton,0.2376990611692472
categorical__HomeTeam_Brighton,0.2367226990506158
categorical__AwayTeam_Espanol,0.23464536952520262
categorical__AwayTeam_Ath Bilbao,0.22554853926057664
categorical__AwayTeam_Nimes,0.2253824000459352
categorical__AwayTeam_Stuttgart,0.22487260185662183
categorical__AwayTeam_Vallecano,0.22469849395560057
categorical__AwayTeam_Paderborn,0.22398606504775787
categorical__AwayTeam_Brentford,0.22084273236476096
categorical__HomeTeam_Roma,0.22014917720025437
numeric__ImpliedAwayWin,0.21947362274102966
categorical__AwayTeam_Verona,0.2165598431802143
categorical__AwayTeam_Getafe,0.21546936525970517
categorical__HomeTeam_Ein Frankfurt,0.21190414883258132
categorical__HomeTeam_Sampdoria,0.21134335594010778
categorical__HomeTeam_Hoffenheim,0.21096411819681793
categorical__AwayTeam_Lens,0.21011150926457514
categorical__HomeTeam_Stuttgart,0.20778992604695393
categorical__HomeTeam_Girona,0.20593550890436974
categorical__AwayTeam_Lorient,0.20532662924482392
categorical__AwayTeam_Fiorentina,0.20524042070941453
categorical__AwayTeam_Salernitana,0.20506628136371585
categorical__AwayTeam_Leverkusen,0.20446014501307266
categorical__HomeTeam_Valladolid,0.20250909412227122
categorical__AwayTeam_Empoli,0.20234130622751004
categorical__AwayTeam_Nice,0.2021109452644192
categorical__AwayTeam_Cagliari,0.20080156084326709
categorical__AwayTeam_Liverpool,0.20021785678705084
categorical__HomeTeam_Watford,0.19972852388096154
numeric__ImpliedHomeWin,0.19913908225901333
categorical__HomeTeam_Man United,0.1981167019932563
categorical__HomeTeam_Milan,0.19757261488351838
categorical__AwayTeam_Auxerre,0.1968149201689587
categorical__HomeTeam_Brest,0.19554246037185163
categorical__AwayTeam_Ath Madrid,0.19535498236810175
categorical__AwayTeam_Marseille,0.1941602219061942
categorical__AwayTeam_Dortmund,0.1924450393879121
categorical__HomeTeam_Lazio,0.19185050791085753
categorical__AwayTeam_Levante,0.19116538857291518
categorical__AwayTeam_Sociedad,0.18799337241310868
categorical__HomeTeam_Brescia,0.18680017165313767
categorical__AwayTeam_Crystal Palace,0.18459703796832513
categorical__HomeTeam_Espanol,0.18337736188702372
categorical__AwayTeam_RB Leipzig,0.18254224315396253
categorical__AwayTeam_Sassuolo,0.18207316451032218
categorical__AwayTeam_Lecce,0.1816940685954568
categorical__AwayTeam_Alaves,0.181162592016091
categorical__HomeTeam_Reims,0.18058241421337043
categorical__AwayTeam_Werder Bremen,0.17997967071381815
categorical__HomeTeam_Leicester,0.17970123888498526
categorical__HomeTeam_Monza,0.17752052174879585
categorical__HomeTeam_Verona,0.17749049967088068
categorical__AwayTeam_Benevento,0.177039207301531
categorical__HomeTeam_Crystal Palace,0.17600556808698067
categorical__HomeTeam_Auxerre,0.17177637763472756
categorical__HomeTeam_Napoli,0.17109801777480274
categorical__AwayTeam_Girona,0.1708051247577954
categorical__AwayTeam_Aston Villa,0.17073805095427175
categorical__HomeTeam_Lorient,0.1704969955870448
categorical__AwayTeam_Celta,0.16969893704847216
categorical__HomeTeam_Empoli,0.16941116437218096
categorical__HomeTeam_Sassuolo,0.1685251536618564
categorical__AwayTeam_Freiburg,0.16674563313703436
categorical__HomeTeam_Bordeaux,0.1661454338831414
categorical__HomeTeam_Newcastle,0.1660299780818584
categorical__AwayTeam_Eibar,0.16539715003923441
categorical__AwayTeam_Barcelona,0.16538819998000312
categorical__HomeTeam_Granada,0.1652489761790833
categorical__HomeTeam_Real Madrid,0.16497094847629915
categorical__AwayTeam_Granada,0.16389503341408282
categorical__AwayTeam_Osasuna,0.1634950238515768
categorical__HomeTeam_Leverkusen,0.1629982847063116
categorical__AwayTeam_Inter,0.1602595392637287
categorical__HomeTeam_Fulham,0.15930903885887898
categorical__HomeTeam_Nimes,0.15922363393261796
categorical__HomeTeam_Celta,0.15910601637479724
categorical__HomeTeam_Spal,0.15710784769362218
categorical__AwayTeam_Frosinone,0.15665184991698303
categorical__AwayTeam_Torino,0.1550698070304153
categorical__AwayTeam_Brighton,0.15447792307997557
categorical__AwayTeam_Betis,0.1542189690595627
categorical__HomeTeam_Udinese,0.1529459643828248
