feature,importance
numeric__OddHome,0.05003595824839227
numeric__ImpliedAwayWin,0.048110150341280356
numeric__ImpliedHomeWin,0.04588422372712576
numeric__OddAway,0.043379315261573625
numeric__EloDiff,0.037369234219171286
numeric__HomeElo,0.029039690447261884
numeric__AwayElo,0.027782653905272306
numeric__ImpliedDraw,0.02711348313063457
numeric__AwayEloSynced,0.02680193003308317
numeric__OddDraw,0.026545922262280492
numeric__HomeEloSynced,0.026516867219716075
numeric__AwayMatchesPlayedBefore,0.025482124136685488
numeric__HomeMatchesPlayedBefore,0.025318921948825124
numeric__BookmakerMargin1X2,0.022800504777607603
numeric__EloMean,0.022691693217683512
numeric__RollingCornersForDiff5,0.021490460996155553
numeric__ImpliedUnder25,0.0208356890998451
numeric__ImpliedOver25,0.020435036748663597
numeric__Under25,0.02000900817112751
numeric__RollingCornersAgainstDiff5,0.019940699746569333
numeric__Over25,0.019700487912578786
numeric__AwayRollingCornersFor5,0.018768571770231727
numeric__HomeRollingCornersFor5,0.018444391307202723
numeric__RollingPointsDiff5,0.018157069268300623
numeric__AwayRollingCornersAgainst5,0.018057230474922213
numeric__HomeRollingCornersAgainst5,0.01781829343925871
numeric__RollingGoalsForDiff5,0.01660827964276632
numeric__RollingYellowCardsForDiff5,0.01617873695799029
numeric__RollingGoalsAgainstDiff5,0.01591339005018503
numeric__RollingYellowCardsAgainstDiff5,0.015700884186177745
numeric__HomeRollingYellowCardsAgainst5,0.015549256267829336
numeric__HomeRollingYellowCardsFor5,0.014839598660915974
numeric__AwayRollingGoalsFor5,0.014809995634973724
numeric__AwayRollingYellowCardsFor5,0.014614739278913824
numeric__RollingPointsDiff3,0.01431510023223619
numeric__HomeRollingGoalsAgainst5,0.014158612353127004
numeric__AwayRollingYellowCardsAgainst5,0.01396642684235393
numeric__HomeRollingPoints5,0.01392600691368397
numeric__HomeRollingGoalsFor5,0.013718158621299686
numeric__AwayRollingPoints5,0.013690564246769581
numeric__MatchMonth,0.013476364491606463
numeric__AwayRollingGoalsAgainst5,0.01266060531939493
numeric__HomeRollingPoints3,0.011178045543016074
numeric__AwayRollingPoints3,0.011172315496694037
numeric__SeasonStartYear,0.009321088252234705
categorical__Division_I1,0.0022997237770467686
categorical__Division_SP1,0.0022305333350345078
categorical__Division_D1,0.002062441004369556
categorical__Division_E0,0.0020207144483929055
categorical__Division_F1,0.0019988683296539235
categorical__AwayTeam_Man City,0.00035247179379459053
categorical__AwayTeam_Reims,0.0003337637563209015
categorical__HomeTeam_Valencia,0.0003050615566629912
categorical__HomeTeam_Ein Frankfurt,0.00030091994086759545
categorical__HomeTeam_Man City,0.0002689963154544217
categorical__AwayTeam_Napoli,0.0002679743515003951
categorical__HomeTeam_Ath Madrid,0.00025444379020693486
categorical__HomeTeam_Chelsea,0.00024394145991259687
categorical__AwayTeam_Getafe,0.0002436506516643922
categorical__AwayTeam_Milan,0.00023911308455354065
categorical__HomeTeam_Man United,0.0002273999672178989
categorical__AwayTeam_Torino,0.00021961663281336113
categorical__AwayTeam_Barcelona,0.00021840288657545582
categorical__AwayTeam_Atalanta,0.00021412331461930694
categorical__AwayTeam_Paris SG,0.00020864563363815958
categorical__HomeTeam_Liverpool,0.00020750940318958503
categorical__HomeTeam_Lyon,0.00020446683723328876
categorical__AwayTeam_Angers,0.00020277252264905502
categorical__AwayTeam_Dortmund,0.00020175520750666056
categorical__AwayTeam_Sevilla,0.00020016749823268475
categorical__AwayTeam_Fiorentina,0.00019141288748785053
categorical__HomeTeam_Everton,0.00018720937019366875
categorical__AwayTeam_Sociedad,0.00018656632529115048
categorical__AwayTeam_Verona,0.0001771558469311302
categorical__HomeTeam_Atalanta,0.0001723363823544125
categorical__AwayTeam_Ath Bilbao,0.0001716269899364305
categorical__AwayTeam_Lyon,0.0001711937824023071
categorical__HomeTeam_Bayern Munich,0.00017009225558628943
categorical__AwayTeam_Betis,0.00016756183130897429
categorical__AwayTeam_Bayern Munich,0.0001675128853267637
categorical__HomeTeam_Hoffenheim,0.00016685756743904954
categorical__HomeTeam_Barcelona,0.00016536421473984698
categorical__HomeTeam_Paris SG,0.00016467971360998302
categorical__HomeTeam_Bordeaux,0.0001645332150429124
categorical__AwayTeam_Lazio,0.00016160678801223395
categorical__HomeTeam_Angers,0.0001607875342115038
categorical__AwayTeam_Nice,0.00015802243659713053
categorical__AwayTeam_Marseille,0.00015770152514070149
categorical__HomeTeam_Brighton,0.00015603101913788225
categorical__HomeTeam_Ath Bilbao,0.00015441366857135697
categorical__HomeTeam_Brest,0.00015428751174962068
categorical__AwayTeam_Juventus,0.00015217116233911583
categorical__HomeTeam_West Ham,0.0001514410941180814
categorical__AwayTeam_Ath Madrid,0.0001508702084372174
categorical__HomeTeam_Southampton,0.0001497065611352929
categorical__AwayTeam_Southampton,0.00014929041174818741
categorical__AwayTeam_Valladolid,0.00014908465412517794
categorical__AwayTeam_Newcastle,0.00014722961752757256
categorical__HomeTeam_Real Madrid,0.00014686519419041273
categorical__AwayTeam_Inter,0.00014647059156515344
categorical__HomeTeam_Nice,0.00014569419229814513
categorical__HomeTeam_Schalke 04,0.00014530547621020024
categorical__HomeTeam_Milan,0.00014384024792256188
categorical__HomeTeam_Leicester,0.00014288683922943847
categorical__HomeTeam_Monaco,0.00014260488168188704
categorical__AwayTeam_Brest,0.00014194697484475817
categorical__HomeTeam_Newcastle,0.00014176091924817955
categorical__HomeTeam_Marseille,0.00014166633234619276
categorical__HomeTeam_MGladbach,0.0001390535359585742
categorical__AwayTeam_Valencia,0.0001381542810198844
categorical__AwayTeam_Lille,0.00013780717870489568
categorical__AwayTeam_Villarreal,0.00013760342417547125
categorical__AwayTeam_Udinese,0.00013639236371590133
categorical__HomeTeam_Lille,0.00013613240252570175
categorical__AwayTeam_Man United,0.00013476672434778607
categorical__AwayTeam_Real Madrid,0.00013462074585784481
categorical__HomeTeam_Dortmund,0.00013307740267544187
categorical__AwayTeam_Augsburg,0.00013289551409603964
categorical__HomeTeam_Hertha,0.00013205355467969628
categorical__HomeTeam_RB Leipzig,0.00013130826362050947
categorical__HomeTeam_Sassuolo,0.00013077451389169193
categorical__AwayTeam_Montpellier,0.00013012248704610013
categorical__AwayTeam_Strasbourg,0.00012991044839869064
categorical__HomeTeam_Union Berlin,0.00012889398038138132
categorical__HomeTeam_Getafe,0.0001280583490560689
categorical__AwayTeam_Rennes,0.00012781692297764876
categorical__AwayTeam_Arsenal,0.00012719650048513965
categorical__AwayTeam_Metz,0.00012603077428190705
categorical__AwayTeam_Lens,0.00012597191364569087
categorical__HomeTeam_Reims,0.00012578071198969103
categorical__HomeTeam_Crystal Palace,0.000125406324284881
categorical__HomeTeam_Juventus,0.000125027537884922
categorical__HomeTeam_Villarreal,0.00012274423893422214
categorical__HomeTeam_Inter,0.0001226867894041515
categorical__AwayTeam_Nantes,0.0001226561720309662
categorical__HomeTeam_Tottenham,0.0001219354798713143
categorical__HomeTeam_Augsburg,0.00012071241748927685
categorical__HomeTeam_Levante,0.0001205784902918193
categorical__AwayTeam_Sassuolo,0.00012049517883531983
categorical__AwayTeam_Freiburg,0.00011823055611381016
