feature_set,model,split,label,precision,recall,f1-score,support
v1_only,dummy_most_frequent,train,No,0.0,0.0,0.0,4266.0
v1_only,dummy_most_frequent,train,Yes,0.5274177467597209,1.0,0.6906005221932114,4761.0
v1_only,dummy_most_frequent,train,accuracy,0.5274177467597209,0.5274177467597209,0.5274177467597209,0.5274177467597209
v1_only,dummy_most_frequent,train,macro avg,0.26370887337986043,0.5,0.3453002610966057,9027.0
v1_only,dummy_most_frequent,train,weighted avg,0.27816947959710103,0.5274177467597209,0.3642349713262302,9027.0
v1_only,dummy_most_frequent,validation,No,0.0,0.0,0.0,791.0
v1_only,dummy_most_frequent,validation,Yes,0.5485159817351598,1.0,0.7084408403980833,961.0
v1_only,dummy_most_frequent,validation,accuracy,0.5485159817351598,0.5485159817351598,0.5485159817351598,0.5485159817351598
v1_only,dummy_most_frequent,validation,macro avg,0.2742579908675799,0.5,0.35422042019904165,1752.0
v1_only,dummy_most_frequent,validation,weighted avg,0.30086978221888616,0.5485159817351598,0.38859112307223637,1752.0
v1_only,dummy_most_frequent,test,No,0.0,0.0,0.0,814.0
v1_only,dummy_most_frequent,test,Yes,0.5345911949685535,1.0,0.6967213114754098,935.0
v1_only,dummy_most_frequent,test,accuracy,0.5345911949685535,0.5345911949685535,0.5345911949685535,0.5345911949685535
v1_only,dummy_most_frequent,test,macro avg,0.2672955974842767,0.5,0.3483606557377049,1749.0
v1_only,dummy_most_frequent,test,weighted avg,0.28578774573790594,0.5345911949685535,0.37246107846169707,1749.0
v1_only,logistic_regression,train,No,0.5989806866952789,0.523441162681669,0.5586690017513135,4266.0
v1_only,logistic_regression,train,Yes,0.6163427061709756,0.6859903381642513,0.6493041749502982,4761.0
v1_only,logistic_regression,train,accuracy,0.609172482552343,0.609172482552343,0.609172482552343,0.609172482552343
v1_only,logistic_regression,train,macro avg,0.6076616964331273,0.6047157504229601,0.6039865883508059,9027.0
v1_only,logistic_regression,train,weighted avg,0.6081377238863492,0.609172482552343,0.606471600577099,9027.0
v1_only,logistic_regression,validation,No,0.5326370757180157,0.515802781289507,0.5240847784200385,791.0
v1_only,logistic_regression,validation,Yes,0.6115618661257607,0.627471383975026,0.6194144838212635,961.0
v1_only,logistic_regression,validation,accuracy,0.577054794520548,0.577054794520548,0.577054794520548,0.577054794520548
v1_only,logistic_regression,validation,macro avg,0.5720994709218882,0.5716370826322665,0.571749631120651,1752.0
v1_only,logistic_regression,validation,weighted avg,0.5759285846117617,0.577054794520548,0.576374645366715,1752.0
v1_only,logistic_regression,test,No,0.549618320610687,0.5307125307125307,0.54,814.0
v1_only,logistic_regression,test,Yes,0.6033229491173416,0.6213903743315508,0.6122233930453108,935.0
v1_only,logistic_regression,test,accuracy,0.5791881074899943,0.5791881074899943,0.5791881074899943,0.5791881074899943
v1_only,logistic_regression,test,macro avg,0.5764706348640143,0.5760514525220407,0.5761116965226554,1749.0
v1_only,logistic_regression,test,weighted avg,0.5783283421394018,0.5791881074899943,0.5786099899927762,1749.0
v1_only,random_forest_reference,train,No,0.890792780443226,0.9139709329582747,0.9022330209418026,4266.0
v1_only,random_forest_reference,train,Yes,0.9210752688172043,0.8996009241755933,0.9102114546806928,4761.0
v1_only,random_forest_reference,train,accuracy,0.9063919353051956,0.9063919353051956,0.9063919353051956,0.9063919353051956
v1_only,random_forest_reference,train,macro avg,0.9059340246302151,0.906785928566934,0.9062222378112477,9027.0
v1_only,random_forest_reference,train,weighted avg,0.906764302227707,0.9063919353051956,0.9064409884870398,9027.0
v1_only,random_forest_reference,validation,No,0.5625,0.5233881163084703,0.5422396856581533,791.0
v1_only,random_forest_reference,validation,Yes,0.6289370078740157,0.6649323621227887,0.6464339908952959,961.0
v1_only,random_forest_reference,validation,accuracy,0.601027397260274,0.601027397260274,0.601027397260274,0.601027397260274
v1_only,random_forest_reference,validation,macro avg,0.5957185039370079,0.5941602392156295,0.5943368382767246,1752.0
v1_only,random_forest_reference,validation,weighted avg,0.5989417605975622,0.601027397260274,0.5993919272865175,1752.0
v1_only,random_forest_reference,test,No,0.5667574931880109,0.5110565110565111,0.537467700258398,814.0
v1_only,random_forest_reference,test,Yes,0.6078817733990147,0.6598930481283423,0.6328205128205128,935.0
v1_only,random_forest_reference,test,accuracy,0.5906232132647227,0.5906232132647227,0.5906232132647227,0.5906232132647227
v1_only,random_forest_reference,test,macro avg,0.5873196332935129,0.5854747795924267,0.5851441065394554,1749.0
v1_only,random_forest_reference,test,weighted avg,0.588742171288233,0.5906232132647227,0.5884424742695915,1749.0
v1_only,catboost_classifier,train,No,0.5709100337049521,0.5161744022503516,0.5421642250400098,4266.0
v1_only,catboost_classifier,train,Yes,0.6007736943907157,0.6523839529510607,0.6255160608196556,4761.0
v1_only,catboost_classifier,train,accuracy,0.5880137365680735,0.5880137365680735,0.5880137365680735,0.5880137365680735
v1_only,catboost_classifier,train,macro avg,0.5858418640478339,0.5842791776007061,0.5838401429298328,9027.0
v1_only,catboost_classifier,train,weighted avg,0.5866606583338344,0.5880137365680735,0.5861254624551969,9027.0
v1_only,catboost_classifier,validation,No,0.5833333333333334,0.504424778761062,0.5410169491525424,791.0
v1_only,catboost_classifier,validation,Yes,0.6329588014981273,0.7034339229968782,0.6663380975850173,961.0
v1_only,catboost_classifier,validation,accuracy,0.6135844748858448,0.6135844748858448,0.6135844748858448,0.6135844748858448
v1_only,catboost_classifier,validation,macro avg,0.6081460674157304,0.60392935087897,0.6036775233687799,1752.0
v1_only,catboost_classifier,validation,weighted avg,0.6105536957228123,0.6135844748858448,0.609757601917159,1752.0
v1_only,catboost_classifier,test,No,0.5816793893129771,0.4680589680589681,0.5187202178352621,814.0
v1_only,catboost_classifier,test,Yes,0.6042047531992687,0.706951871657754,0.6515524889107935,935.0
v1_only,catboost_classifier,test,accuracy,0.5957690108633504,0.5957690108633504,0.5957690108633504,0.5957690108633504
v1_only,catboost_classifier,test,macro avg,0.5929420712561229,0.587505419858361,0.5851363533730278,1749.0
v1_only,catboost_classifier,test,weighted avg,0.5937212505100512,0.5957690108633504,0.5897311803599172,1749.0
v1_over25_related,dummy_most_frequent,train,No,0.0,0.0,0.0,4266.0
v1_over25_related,dummy_most_frequent,train,Yes,0.5274177467597209,1.0,0.6906005221932114,4761.0
v1_over25_related,dummy_most_frequent,train,accuracy,0.5274177467597209,0.5274177467597209,0.5274177467597209,0.5274177467597209
v1_over25_related,dummy_most_frequent,train,macro avg,0.26370887337986043,0.5,0.3453002610966057,9027.0
v1_over25_related,dummy_most_frequent,train,weighted avg,0.27816947959710103,0.5274177467597209,0.3642349713262302,9027.0
v1_over25_related,dummy_most_frequent,validation,No,0.0,0.0,0.0,791.0
v1_over25_related,dummy_most_frequent,validation,Yes,0.5485159817351598,1.0,0.7084408403980833,961.0
v1_over25_related,dummy_most_frequent,validation,accuracy,0.5485159817351598,0.5485159817351598,0.5485159817351598,0.5485159817351598
v1_over25_related,dummy_most_frequent,validation,macro avg,0.2742579908675799,0.5,0.35422042019904165,1752.0
v1_over25_related,dummy_most_frequent,validation,weighted avg,0.30086978221888616,0.5485159817351598,0.38859112307223637,1752.0
v1_over25_related,dummy_most_frequent,test,No,0.0,0.0,0.0,814.0
v1_over25_related,dummy_most_frequent,test,Yes,0.5345911949685535,1.0,0.6967213114754098,935.0
v1_over25_related,dummy_most_frequent,test,accuracy,0.5345911949685535,0.5345911949685535,0.5345911949685535,0.5345911949685535
v1_over25_related,dummy_most_frequent,test,macro avg,0.2672955974842767,0.5,0.3483606557377049,1749.0
v1_over25_related,dummy_most_frequent,test,weighted avg,0.28578774573790594,0.5345911949685535,0.37246107846169707,1749.0
v1_over25_related,logistic_regression,train,No,0.6009125067096082,0.5248476324425692,0.5603103103103103,4266.0
v1_over25_related,logistic_regression,train,Yes,0.6176193171099793,0.6876706574249107,0.6507652554164182,4761.0
v1_over25_related,logistic_regression,train,accuracy,0.6107233853993574,0.6107233853993574,0.6107233853993574,0.6107233853993574
v1_over25_related,logistic_regression,train,macro avg,0.6092659119097937,0.60625914493374,0.6055377828633642,9027.0
v1_over25_related,logistic_regression,train,weighted avg,0.6097239750065139,0.6107233853993574,0.6080178536414479,9027.0
v1_over25_related,logistic_regression,validation,No,0.5348837209302325,0.5233881163084703,0.529073482428115,791.0
v1_over25_related,logistic_regression,validation,Yes,0.614519427402863,0.6253902185223725,0.6199071686436307,961.0
v1_over25_related,logistic_regression,validation,accuracy,0.579337899543379,0.579337899543379,0.579337899543379,0.579337899543379
v1_over25_related,logistic_regression,validation,macro avg,0.5747015741665478,0.5743891674154213,0.5744903255358729,1752.0
v1_over25_related,logistic_regression,validation,weighted avg,0.5785651786472406,0.579337899543379,0.5788972109972421,1752.0
v1_over25_related,logistic_regression,test,No,0.5451127819548872,0.5343980343980343,0.5397022332506204,814.0
v1_over25_related,logistic_regression,test,Yes,0.601472134595163,0.611764705882353,0.6065747613997879,935.0
v1_over25_related,logistic_regression,test,accuracy,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758
v1_over25_related,logistic_regression,test,macro avg,0.5732924582750252,0.5730813701401937,0.5731384973252042,1749.0
v1_over25_related,logistic_regression,test,weighted avg,0.5752419956305064,0.5757575757575758,0.5754516979844521,1749.0
v1_over25_related,random_forest_reference,train,No,0.9118121114437026,0.9282700421940928,0.9199674758973168,4266.0
v1_over25_related,random_forest_reference,train,Yes,0.9346712211784799,0.9195547153959253,0.9270513499205929,4761.0
v1_over25_related,random_forest_reference,train,accuracy,0.9236734241719287,0.9236734241719287,0.9236734241719287,0.9236734241719287
v1_over25_related,random_forest_reference,train,macro avg,0.9232416663110912,0.923912378795009,0.9235094129089548,9027.0
v1_over25_related,random_forest_reference,train,weighted avg,0.9238684115929521,0.9236734241719287,0.9237036367730027,9027.0
v1_over25_related,random_forest_reference,validation,No,0.5557083906464925,0.5107458912768648,0.5322793148880105,791.0
v1_over25_related,random_forest_reference,validation,Yes,0.6224390243902439,0.663891779396462,0.6424974823766365,961.0
v1_over25_related,random_forest_reference,validation,accuracy,0.5947488584474886,0.5947488584474886,0.5947488584474886,0.5947488584474886
v1_over25_related,random_forest_reference,validation,macro avg,0.5890737075183682,0.5873188353366634,0.5873883986323235,1752.0
v1_over25_related,random_forest_reference,validation,weighted avg,0.5923112097262556,0.5947488584474886,0.5927357412330845,1752.0
v1_over25_related,random_forest_reference,test,No,0.5720164609053497,0.5122850122850123,0.5405055087491899,814.0
v1_over25_related,random_forest_reference,test,Yes,0.6107843137254902,0.6663101604278074,0.6373401534526855,935.0
v1_over25_related,random_forest_reference,test,accuracy,0.5946255002858777,0.5946255002858777,0.5946255002858777,0.5946255002858777
v1_over25_related,random_forest_reference,test,macro avg,0.59140038731542,0.5892975863564098,0.5889228311009377,1749.0
v1_over25_related,random_forest_reference,test,weighted avg,0.5927414136708337,0.5946255002858777,0.592272457175587,1749.0
v1_over25_related,catboost_classifier,train,No,0.5767526713578316,0.5187529301453352,0.5462174503270394,4266.0
v1_over25_related,catboost_classifier,train,Yes,0.6044315992292871,0.6588951900861164,0.6304893980504472,4761.0
v1_over25_related,catboost_classifier,train,accuracy,0.5926664451091171,0.5926664451091171,0.5926664451091171,0.5926664451091171
v1_over25_related,catboost_classifier,train,macro avg,0.5905921352935594,0.5888240601157257,0.5883534241887434,9027.0
v1_over25_related,catboost_classifier,train,weighted avg,0.5913510291285194,0.5926664451091171,0.5906639711103722,9027.0
v1_over25_related,catboost_classifier,validation,No,0.5794117647058824,0.49810366624525915,0.5356900067980965,791.0
v1_over25_related,catboost_classifier,validation,Yes,0.6296641791044776,0.7023933402705516,0.6640432857845548,961.0
v1_over25_related,catboost_classifier,validation,accuracy,0.6101598173515982,0.6101598173515982,0.6101598173515982,0.6101598173515982
v1_over25_related,catboost_classifier,validation,macro avg,0.60453797190518,0.6002485032579054,0.5998666462913257,1752.0
v1_over25_related,catboost_classifier,validation,weighted avg,0.60697601712429,0.6101598173515982,0.6060938316302805,1752.0
v1_over25_related,catboost_classifier,test,No,0.5785498489425982,0.4705159705159705,0.518970189701897,814.0
v1_over25_related,catboost_classifier,test,Yes,0.6034958601655934,0.7016042780748664,0.6488625123639961,935.0
v1_over25_related,catboost_classifier,test,accuracy,0.5940537449971413,0.5940537449971413,0.5940537449971413,0.5940537449971413
v1_over25_related,catboost_classifier,test,macro avg,0.5910228545540959,0.5860601242954184,0.5839163510329466,1749.0
v1_over25_related,catboost_classifier,test,weighted avg,0.5918857668919982,0.5940537449971413,0.5884094816910694,1749.0
