feature_set,model,split,true_label,predicted_label,count
v1_only,dummy_most_frequent,train,No,No,0
v1_only,dummy_most_frequent,train,No,Yes,4266
v1_only,dummy_most_frequent,train,Yes,No,0
v1_only,dummy_most_frequent,train,Yes,Yes,4761
v1_only,dummy_most_frequent,validation,No,No,0
v1_only,dummy_most_frequent,validation,No,Yes,791
v1_only,dummy_most_frequent,validation,Yes,No,0
v1_only,dummy_most_frequent,validation,Yes,Yes,961
v1_only,dummy_most_frequent,test,No,No,0
v1_only,dummy_most_frequent,test,No,Yes,814
v1_only,dummy_most_frequent,test,Yes,No,0
v1_only,dummy_most_frequent,test,Yes,Yes,935
v1_only,logistic_regression,train,No,No,2233
v1_only,logistic_regression,train,No,Yes,2033
v1_only,logistic_regression,train,Yes,No,1495
v1_only,logistic_regression,train,Yes,Yes,3266
v1_only,logistic_regression,validation,No,No,408
v1_only,logistic_regression,validation,No,Yes,383
v1_only,logistic_regression,validation,Yes,No,358
v1_only,logistic_regression,validation,Yes,Yes,603
v1_only,logistic_regression,test,No,No,432
v1_only,logistic_regression,test,No,Yes,382
v1_only,logistic_regression,test,Yes,No,354
v1_only,logistic_regression,test,Yes,Yes,581
v1_only,random_forest_reference,train,No,No,3899
v1_only,random_forest_reference,train,No,Yes,367
v1_only,random_forest_reference,train,Yes,No,478
v1_only,random_forest_reference,train,Yes,Yes,4283
v1_only,random_forest_reference,validation,No,No,414
v1_only,random_forest_reference,validation,No,Yes,377
v1_only,random_forest_reference,validation,Yes,No,322
v1_only,random_forest_reference,validation,Yes,Yes,639
v1_only,random_forest_reference,test,No,No,416
v1_only,random_forest_reference,test,No,Yes,398
v1_only,random_forest_reference,test,Yes,No,318
v1_only,random_forest_reference,test,Yes,Yes,617
v1_only,catboost_classifier,train,No,No,2202
v1_only,catboost_classifier,train,No,Yes,2064
v1_only,catboost_classifier,train,Yes,No,1655
v1_only,catboost_classifier,train,Yes,Yes,3106
v1_only,catboost_classifier,validation,No,No,399
v1_only,catboost_classifier,validation,No,Yes,392
v1_only,catboost_classifier,validation,Yes,No,285
v1_only,catboost_classifier,validation,Yes,Yes,676
v1_only,catboost_classifier,test,No,No,381
v1_only,catboost_classifier,test,No,Yes,433
v1_only,catboost_classifier,test,Yes,No,274
v1_only,catboost_classifier,test,Yes,Yes,661
v1_over25_related,dummy_most_frequent,train,No,No,0
v1_over25_related,dummy_most_frequent,train,No,Yes,4266
v1_over25_related,dummy_most_frequent,train,Yes,No,0
v1_over25_related,dummy_most_frequent,train,Yes,Yes,4761
v1_over25_related,dummy_most_frequent,validation,No,No,0
v1_over25_related,dummy_most_frequent,validation,No,Yes,791
v1_over25_related,dummy_most_frequent,validation,Yes,No,0
v1_over25_related,dummy_most_frequent,validation,Yes,Yes,961
v1_over25_related,dummy_most_frequent,test,No,No,0
v1_over25_related,dummy_most_frequent,test,No,Yes,814
v1_over25_related,dummy_most_frequent,test,Yes,No,0
v1_over25_related,dummy_most_frequent,test,Yes,Yes,935
v1_over25_related,logistic_regression,train,No,No,2239
v1_over25_related,logistic_regression,train,No,Yes,2027
v1_over25_related,logistic_regression,train,Yes,No,1487
v1_over25_related,logistic_regression,train,Yes,Yes,3274
v1_over25_related,logistic_regression,validation,No,No,414
v1_over25_related,logistic_regression,validation,No,Yes,377
v1_over25_related,logistic_regression,validation,Yes,No,360
v1_over25_related,logistic_regression,validation,Yes,Yes,601
v1_over25_related,logistic_regression,test,No,No,435
v1_over25_related,logistic_regression,test,No,Yes,379
v1_over25_related,logistic_regression,test,Yes,No,363
v1_over25_related,logistic_regression,test,Yes,Yes,572
v1_over25_related,random_forest_reference,train,No,No,3960
v1_over25_related,random_forest_reference,train,No,Yes,306
v1_over25_related,random_forest_reference,train,Yes,No,383
v1_over25_related,random_forest_reference,train,Yes,Yes,4378
v1_over25_related,random_forest_reference,validation,No,No,404
v1_over25_related,random_forest_reference,validation,No,Yes,387
v1_over25_related,random_forest_reference,validation,Yes,No,323
v1_over25_related,random_forest_reference,validation,Yes,Yes,638
v1_over25_related,random_forest_reference,test,No,No,417
v1_over25_related,random_forest_reference,test,No,Yes,397
v1_over25_related,random_forest_reference,test,Yes,No,312
v1_over25_related,random_forest_reference,test,Yes,Yes,623
v1_over25_related,catboost_classifier,train,No,No,2213
v1_over25_related,catboost_classifier,train,No,Yes,2053
v1_over25_related,catboost_classifier,train,Yes,No,1624
v1_over25_related,catboost_classifier,train,Yes,Yes,3137
v1_over25_related,catboost_classifier,validation,No,No,394
v1_over25_related,catboost_classifier,validation,No,Yes,397
v1_over25_related,catboost_classifier,validation,Yes,No,286
v1_over25_related,catboost_classifier,validation,Yes,Yes,675
v1_over25_related,catboost_classifier,test,No,No,383
v1_over25_related,catboost_classifier,test,No,Yes,431
v1_over25_related,catboost_classifier,test,Yes,No,279
v1_over25_related,catboost_classifier,test,Yes,Yes,656
