feature_set,feature
v1_only,Division
v1_only,HomeTeam
v1_only,AwayTeam
v1_only,SeasonStartYear
v1_only,MatchMonth
v1_only,HomeElo
v1_only,AwayElo
v1_only,HomeEloSynced
v1_only,AwayEloSynced
v1_only,EloDiff
v1_only,EloMean
v1_only,OddHome
v1_only,OddDraw
v1_only,OddAway
v1_only,Over25
v1_only,Under25
v1_only,ImpliedHomeWin
v1_only,ImpliedDraw
v1_only,ImpliedAwayWin
v1_only,ImpliedOver25
v1_only,ImpliedUnder25
v1_only,BookmakerMargin1X2
v1_only,HomeMatchesPlayedBefore
v1_only,AwayMatchesPlayedBefore
v1_only,HomeRollingGoalsFor5
v1_only,HomeRollingGoalsAgainst5
v1_only,AwayRollingGoalsFor5
v1_only,AwayRollingGoalsAgainst5
v1_only,HomeRollingPoints3
v1_only,HomeRollingPoints5
v1_only,AwayRollingPoints3
v1_only,AwayRollingPoints5
v1_only,RollingGoalsForDiff5
v1_only,RollingGoalsAgainstDiff5
v1_only,RollingPointsDiff3
v1_only,RollingPointsDiff5
v1_over25_related,Division
v1_over25_related,HomeTeam
v1_over25_related,AwayTeam
v1_over25_related,SeasonStartYear
v1_over25_related,MatchMonth
v1_over25_related,HomeElo
v1_over25_related,AwayElo
v1_over25_related,HomeEloSynced
v1_over25_related,AwayEloSynced
v1_over25_related,EloDiff
v1_over25_related,EloMean
v1_over25_related,OddHome
v1_over25_related,OddDraw
v1_over25_related,OddAway
v1_over25_related,Over25
v1_over25_related,Under25
v1_over25_related,ImpliedHomeWin
v1_over25_related,ImpliedDraw
v1_over25_related,ImpliedAwayWin
v1_over25_related,ImpliedOver25
v1_over25_related,ImpliedUnder25
v1_over25_related,BookmakerMargin1X2
v1_over25_related,HomeMatchesPlayedBefore
v1_over25_related,AwayMatchesPlayedBefore
v1_over25_related,HomeRollingGoalsFor5
v1_over25_related,HomeRollingGoalsAgainst5
v1_over25_related,AwayRollingGoalsFor5
v1_over25_related,AwayRollingGoalsAgainst5
v1_over25_related,HomeRollingPoints3
v1_over25_related,HomeRollingPoints5
v1_over25_related,AwayRollingPoints3
v1_over25_related,AwayRollingPoints5
v1_over25_related,RollingGoalsForDiff5
v1_over25_related,RollingGoalsAgainstDiff5
v1_over25_related,RollingPointsDiff3
v1_over25_related,RollingPointsDiff5
v1_over25_related,HomeRollingBTTSRate5
v1_over25_related,AwayRollingBTTSRate5
v1_over25_related,RollingBTTSRateDiff5
v1_over25_related,HomeRollingOver25Rate5
v1_over25_related,AwayRollingOver25Rate5
v1_over25_related,RollingOver25RateDiff5
