feature_set,model,split,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,experiment_type,threshold,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes
v1_only,dummy_most_frequent,validation,0.5485159817351598,0.5,0.7084408403980833,0.5485159817351598,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_only,dummy_most_frequent,test,0.5345911949685535,0.5,0.6967213114754098,0.5345911949685535,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_only,logistic_regression,validation,0.577054794520548,0.5716370826322665,0.6194144838212635,0.6115618661257607,0.627471383975026,0.515802781289507,0.627471383975026,previous_reference,0.5,,,,
v1_only,logistic_regression,test,0.5791881074899943,0.5760514525220407,0.6122233930453108,0.6033229491173416,0.6213903743315508,0.5307125307125307,0.6213903743315508,previous_reference,0.5,,,,
v1_only,random_forest_reference,validation,0.601027397260274,0.5941602392156295,0.6464339908952959,0.6289370078740157,0.6649323621227887,0.5233881163084703,0.6649323621227887,previous_reference,0.5,,,,
v1_only,random_forest_reference,test,0.5906232132647227,0.5854747795924267,0.6328205128205128,0.6078817733990147,0.6598930481283423,0.5110565110565111,0.6598930481283423,previous_reference,0.5,,,,
v1_only,catboost_classifier,validation,0.6135844748858448,0.60392935087897,0.6663380975850173,0.6329588014981273,0.7034339229968782,0.504424778761062,0.7034339229968782,previous_reference,0.5,,,,
v1_only,catboost_classifier,test,0.5957690108633504,0.587505419858361,0.6515524889107935,0.6042047531992687,0.706951871657754,0.4680589680589681,0.706951871657754,previous_reference,0.5,,,,
,logistic_c_0_05__balanced__default_threshold,train,0.6045197740112994,0.6047649369835966,0.6155502907602843,0.6316022099447514,0.6002940558706155,0.6092358180965776,0.6002940558706155,selected_logistic_tuned,0.5,2599.0,1667.0,1903.0,2858.0
,logistic_c_0_05__balanced__default_threshold,validation,0.5896118721461188,0.5910227046994609,0.6064586754241926,0.6397228637413395,0.5764828303850156,0.6055625790139064,0.5764828303850156,selected_logistic_tuned,0.5,479.0,312.0,407.0,554.0
,logistic_c_0_05__balanced__default_threshold,test,0.584333905088622,0.5839644457291516,0.6025150355385457,0.616331096196868,0.5893048128342246,0.5786240786240786,0.5893048128342246,selected_logistic_tuned,0.5,471.0,343.0,384.0,551.0
,logistic_c_0_05__balanced__threshold_tuned,train,0.6045197740112994,0.6047649369835966,0.6155502907602843,0.6316022099447514,0.6002940558706155,0.6092358180965776,0.6002940558706155,selected_threshold_tuned,0.5,2599.0,1667.0,1903.0,2858.0
,logistic_c_0_05__balanced__threshold_tuned,validation,0.5896118721461188,0.5910227046994609,0.6064586754241926,0.6397228637413395,0.5764828303850156,0.6055625790139064,0.5764828303850156,selected_threshold_tuned,0.5,479.0,312.0,407.0,554.0
,logistic_c_0_05__balanced__threshold_tuned,test,0.584333905088622,0.5839644457291516,0.6025150355385457,0.616331096196868,0.5893048128342246,0.5786240786240786,0.5893048128342246,selected_threshold_tuned,0.5,471.0,343.0,384.0,551.0
