model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
logistic_c_0_05__none,train,0.5,0.6035227650382187,0.5983848640102378,0.6480479889861344,0.6092825443786982,0.692081495484142,0.5046882325363338,0.692081495484142,2153,2113,1466,3295,0.05,none,logistic_tuning
logistic_c_0_05__none,validation,0.5,0.5953196347031964,0.5873918471461591,0.6446115288220552,0.6218568665377177,0.6690946930280958,0.5056890012642224,0.6690946930280958,400,391,318,643,0.05,none,logistic_tuning
logistic_c_0_05__balanced,train,0.5,0.6045197740112994,0.6047649369835966,0.6155502907602843,0.6316022099447514,0.6002940558706155,0.6092358180965776,0.6002940558706155,2599,1667,1903,2858,0.05,balanced,logistic_tuning
logistic_c_0_05__balanced,validation,0.5,0.5896118721461188,0.5910227046994609,0.6064586754241926,0.6397228637413395,0.5764828303850156,0.6055625790139064,0.5764828303850156,479,312,407,554,0.05,balanced,logistic_tuning
logistic_c_0_05__no_1_2,train,0.5,0.5994239503711088,0.6031510860481213,0.5849403122130394,0.6449000253100481,0.5351816845200588,0.6711204875761838,0.5351816845200588,2863,1403,2213,2548,0.05,no_1_2,logistic_tuning
logistic_c_0_05__no_1_2,validation,0.5,0.5747716894977168,0.582638844124391,0.564072557050907,0.6443850267379679,0.5015608740894901,0.6637168141592921,0.5015608740894901,525,266,479,482,0.05,no_1_2,logistic_tuning
logistic_c_0_05__yes_1_2,train,0.5,0.5946604630552786,0.5816725114480612,0.6805203876713525,0.5823371189479976,0.8185255198487713,0.34481950304735115,0.8185255198487713,1471,2795,864,3897,0.05,yes_1_2,logistic_tuning
logistic_c_0_05__yes_1_2,validation,0.5,0.591324200913242,0.5672004641183134,0.6865148861646234,0.5925925925925926,0.8158168574401665,0.3185840707964602,0.8158168574401665,252,539,177,784,0.05,yes_1_2,logistic_tuning
logistic_c_0_05__yes_1_4,train,0.5,0.577157416638972,0.5586208531519723,0.6910562525293403,0.5621543323676587,0.8966603654694392,0.2205813408345054,0.8966603654694392,941,3325,492,4269,0.05,yes_1_4,logistic_tuning
logistic_c_0_05__yes_1_4,validation,0.5,0.5861872146118722,0.5518949524502368,0.7058823529411765,0.5784574468085106,0.9053069719042663,0.19848293299620734,0.9053069719042663,157,634,91,870,0.05,yes_1_4,logistic_tuning
logistic_c_0_1__none,train,0.5,0.6080646948044754,0.6032390457984484,0.6503952569169961,0.6141071095353611,0.6912413358538122,0.5152367557430848,0.6912413358538122,2198,2068,1470,3291,0.1,none,logistic_tuning
logistic_c_0_1__none,validation,0.5,0.5833333333333334,0.5761302688544776,0.6313131313131313,0.6133464180569186,0.6503642039542143,0.5018963337547409,0.6503642039542143,397,394,336,625,0.1,none,logistic_tuning
logistic_c_0_1__balanced,train,0.5,0.6089509250027695,0.6089901068544796,0.6213258957305299,0.6349484762113572,0.6082755723587482,0.609704641350211,0.6082755723587482,2601,1665,1865,2896,0.1,balanced,logistic_tuning
logistic_c_0_1__balanced,validation,0.5,0.5833333333333334,0.5854113195930808,0.597574421168688,0.6354044548651817,0.5639958376690947,0.606826801517067,0.5639958376690947,480,311,419,542,0.1,balanced,logistic_tuning
logistic_c_0_1__no_1_2,train,0.5,0.6052952254348067,0.6086684001605875,0.5938675481591246,0.6493020937188435,0.547153959252258,0.670182841068917,0.547153959252258,2859,1407,2156,2605,0.1,no_1_2,logistic_tuning
logistic_c_0_1__no_1_2,validation,0.5,0.5781963470319634,0.5866551514107066,0.5650382577987051,0.6504065040650406,0.4994797086368366,0.6738305941845765,0.4994797086368366,533,258,481,480,0.1,no_1_2,logistic_tuning
logistic_c_0_1__yes_1_2,train,0.5,0.6018610834164174,0.5896077216696489,0.6829569513055752,0.588745247148289,0.8130644822516279,0.3661509610876699,0.8130644822516279,1562,2704,890,3871,0.1,yes_1_2,logistic_tuning
logistic_c_0_1__yes_1_2,validation,0.5,0.5924657534246576,0.5704774446129782,0.6821015138023152,0.5961089494163424,0.7970863683662851,0.3438685208596713,0.7970863683662851,272,519,195,766,0.1,yes_1_2,logistic_tuning
logistic_c_0_1__yes_1_4,train,0.5,0.5836933643513903,0.5660965456854524,0.6920681743690593,0.567378745129652,0.886998529720647,0.24519456165025785,0.886998529720647,1046,3220,538,4223,0.1,yes_1_4,logistic_tuning
logistic_c_0_1__yes_1_4,validation,0.5,0.577054794520548,0.5448003094122089,0.6946847960444994,0.5750341064120055,0.8772112382934444,0.21238938053097345,0.8772112382934444,168,623,118,843,0.1,yes_1_4,logistic_tuning
