feature_set,model,split,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall
v1_only,dummy_most_frequent,train,0.5274177467597209,0.5,0.6906005221932114,0.5274177467597209,1.0,0.0,1.0
v1_only,dummy_most_frequent,validation,0.5485159817351598,0.5,0.7084408403980833,0.5485159817351598,1.0,0.0,1.0
v1_only,dummy_most_frequent,test,0.5345911949685535,0.5,0.6967213114754098,0.5345911949685535,1.0,0.0,1.0
v1_only,logistic_regression,train,0.609172482552343,0.6047157504229601,0.6493041749502982,0.6163427061709756,0.6859903381642513,0.523441162681669,0.6859903381642513
v1_only,logistic_regression,validation,0.577054794520548,0.5716370826322665,0.6194144838212635,0.6115618661257607,0.627471383975026,0.515802781289507,0.627471383975026
v1_only,logistic_regression,test,0.5791881074899943,0.5760514525220407,0.6122233930453108,0.6033229491173416,0.6213903743315508,0.5307125307125307,0.6213903743315508
v1_only,random_forest_reference,train,0.9063919353051956,0.906785928566934,0.9102114546806928,0.9210752688172043,0.8996009241755933,0.9139709329582747,0.8996009241755933
v1_only,random_forest_reference,validation,0.601027397260274,0.5941602392156295,0.6464339908952959,0.6289370078740157,0.6649323621227887,0.5233881163084703,0.6649323621227887
v1_only,random_forest_reference,test,0.5906232132647227,0.5854747795924267,0.6328205128205128,0.6078817733990147,0.6598930481283423,0.5110565110565111,0.6598930481283423
v1_only,catboost_classifier,train,0.5880137365680735,0.5842791776007061,0.6255160608196556,0.6007736943907157,0.6523839529510607,0.5161744022503516,0.6523839529510607
v1_only,catboost_classifier,validation,0.6135844748858448,0.60392935087897,0.6663380975850173,0.6329588014981273,0.7034339229968782,0.504424778761062,0.7034339229968782
v1_only,catboost_classifier,test,0.5957690108633504,0.587505419858361,0.6515524889107935,0.6042047531992687,0.706951871657754,0.4680589680589681,0.706951871657754
v1_over25_related,dummy_most_frequent,train,0.5274177467597209,0.5,0.6906005221932114,0.5274177467597209,1.0,0.0,1.0
v1_over25_related,dummy_most_frequent,validation,0.5485159817351598,0.5,0.7084408403980833,0.5485159817351598,1.0,0.0,1.0
v1_over25_related,dummy_most_frequent,test,0.5345911949685535,0.5,0.6967213114754098,0.5345911949685535,1.0,0.0,1.0
v1_over25_related,logistic_regression,train,0.6107233853993574,0.60625914493374,0.6507652554164182,0.6176193171099793,0.6876706574249107,0.5248476324425692,0.6876706574249107
v1_over25_related,logistic_regression,validation,0.579337899543379,0.5743891674154213,0.6199071686436307,0.614519427402863,0.6253902185223725,0.5233881163084703,0.6253902185223725
v1_over25_related,logistic_regression,test,0.5757575757575758,0.5730813701401937,0.6065747613997879,0.601472134595163,0.611764705882353,0.5343980343980343,0.611764705882353
v1_over25_related,random_forest_reference,train,0.9236734241719287,0.923912378795009,0.9270513499205929,0.9346712211784799,0.9195547153959253,0.9282700421940928,0.9195547153959253
v1_over25_related,random_forest_reference,validation,0.5947488584474886,0.5873188353366634,0.6424974823766365,0.6224390243902439,0.663891779396462,0.5107458912768648,0.663891779396462
v1_over25_related,random_forest_reference,test,0.5946255002858777,0.5892975863564098,0.6373401534526855,0.6107843137254902,0.6663101604278074,0.5122850122850123,0.6663101604278074
v1_over25_related,catboost_classifier,train,0.5926664451091171,0.5888240601157257,0.6304893980504472,0.6044315992292871,0.6588951900861164,0.5187529301453352,0.6588951900861164
v1_over25_related,catboost_classifier,validation,0.6101598173515982,0.6002485032579054,0.6640432857845548,0.6296641791044776,0.7023933402705516,0.49810366624525915,0.7023933402705516
v1_over25_related,catboost_classifier,test,0.5940537449971413,0.5860601242954184,0.6488625123639961,0.6034958601655934,0.7016042780748664,0.4705159705159705,0.7016042780748664
