feature,importance
ImpliedOver25,24.042416524697174
Under25,20.103003123540613
Over25,12.981060307634806
ImpliedUnder25,6.1391984341407415
MatchMonth,4.042259667855884
AwayRollingGoalsFor5,3.71156551881088
ImpliedAwayWin,3.5449046859048945
SeasonStartYear,2.640097935670195
RollingGoalsForDiff5,2.582607101370086
HomeRollingPoints5,2.241644068470074
HomeElo,2.2213411972668817
EloDiff,2.204373586882491
AwayMatchesPlayedBefore,1.7132373845711777
OddDraw,1.3322800351398798
AwayEloSynced,1.204644226778884
AwayRollingPoints3,1.1517420349908265
Division,1.0052893236288474
ImpliedDraw,0.9901000403767733
AwayRollingGoalsAgainst5,0.943804385958212
HomeEloSynced,0.8227590651799653
OddHome,0.6821001479633632
RollingGoalsAgainstDiff5,0.620516369108387
HomeRollingPoints3,0.6148981260031892
AwayElo,0.5285997641348474
AwayRollingPoints5,0.4570312746373511
ImpliedHomeWin,0.447721845029929
RollingPointsDiff3,0.354472170616068
EloMean,0.25333194428820077
BookmakerMargin1X2,0.14376045319866504
HomeRollingGoalsAgainst5,0.13510260731673587
HomeMatchesPlayedBefore,0.13055033606076424
HomeRollingGoalsFor5,0.013586312773245138
AwayTeam,0.0
HomeTeam,0.0
OddAway,0.0
RollingPointsDiff5,0.0
