feature,importance
categorical__HomeTeam_Nurnberg,0.8600382219974796
categorical__HomeTeam_Bielefeld,0.8368543619436153
categorical__AwayTeam_Paderborn,0.8260857312698392
categorical__HomeTeam_Dortmund,0.7914964062701757
categorical__AwayTeam_Crotone,0.7853551789080536
categorical__AwayTeam_Parma,0.7301098457365811
categorical__HomeTeam_Watford,0.7006018130878959
categorical__AwayTeam_Leeds,0.6850581988986242
categorical__AwayTeam_Greuther Furth,0.6778389027540903
categorical__AwayTeam_Nimes,0.6676161079372165
categorical__AwayTeam_Ajaccio,0.6425439736637878
categorical__HomeTeam_Sheffield United,0.6386219058513474
categorical__AwayTeam_Caen,0.6018343942607124
categorical__AwayTeam_Cardiff,0.5496962283018875
categorical__AwayTeam_Bielefeld,0.5387330493385536
categorical__HomeTeam_Troyes,0.5280844873193667
categorical__HomeTeam_Crystal Palace,0.502905101988221
categorical__AwayTeam_Reims,0.46626760036049
categorical__AwayTeam_Sheffield United,0.4604360823208377
categorical__AwayTeam_Benevento,0.45698387863284917
categorical__AwayTeam_Troyes,0.4505008240071685
categorical__HomeTeam_Fortuna Dusseldorf,0.43804260728523514
categorical__AwayTeam_Getafe,0.4366433540093955
categorical__AwayTeam_Osasuna,0.436411458916173
categorical__HomeTeam_Brescia,0.435420972492509
categorical__AwayTeam_Almeria,0.4312201584177341
categorical__HomeTeam_Nottm Forest,0.4301764398739569
categorical__AwayTeam_Verona,0.4285387343020215
categorical__AwayTeam_Toulouse,0.42676973235745425
categorical__AwayTeam_Man City,0.4241992083767437
categorical__HomeTeam_Almeria,0.417391326495326
categorical__HomeTeam_Chelsea,0.41061139985418676
categorical__HomeTeam_Sassuolo,0.40769419432334286
categorical__HomeTeam_Fiorentina,0.4017157774762616
categorical__AwayTeam_Nice,0.40058928043113595
categorical__HomeTeam_Cardiff,0.39863592187403185
categorical__HomeTeam_Monaco,0.3979381782376011
categorical__HomeTeam_Amiens,0.3944366711059365
categorical__HomeTeam_Udinese,0.39319223220564764
categorical__HomeTeam_Norwich,0.3924489033057837
categorical__AwayTeam_Sassuolo,0.3898931552071889
categorical__AwayTeam_Cagliari,0.3853813130924289
categorical__AwayTeam_Cadiz,0.37575342760504266
categorical__HomeTeam_Paderborn,0.3752477904574406
categorical__HomeTeam_Ath Bilbao,0.3725482337267936
categorical__AwayTeam_Torino,0.36995716193643124
categorical__HomeTeam_Montpellier,0.3645894985807944
categorical__HomeTeam_Vallecano,0.3577787107179188
categorical__AwayTeam_Metz,0.3564269789817574
categorical__AwayTeam_Wolves,0.3525768633299868
categorical__AwayTeam_Southampton,0.35233432505531115
numeric__ImpliedUnder25,0.35098420215958365
categorical__AwayTeam_Spezia,0.35055199198440257
categorical__HomeTeam_Lens,0.34342507806635253
categorical__AwayTeam_Leicester,0.3429346886516196
categorical__HomeTeam_Greuther Furth,0.3428997220966566
categorical__HomeTeam_Villarreal,0.3408130723709207
categorical__HomeTeam_Leicester,0.3347884777511579
categorical__HomeTeam_Wolves,0.3333068558880815
categorical__HomeTeam_Girona,0.3299158449462846
categorical__HomeTeam_Granada,0.3298400307545118
categorical__AwayTeam_Venezia,0.3278537102256315
categorical__AwayTeam_Lille,0.3274496703883116
categorical__HomeTeam_Reims,0.32732425934766857
categorical__HomeTeam_Hoffenheim,0.3261073009435198
categorical__HomeTeam_Everton,0.3224021219027139
categorical__AwayTeam_Granada,0.32142469222261605
categorical__AwayTeam_Sevilla,0.3208392508235507
categorical__AwayTeam_Ein Frankfurt,0.3138053774004523
categorical__AwayTeam_Hannover,0.30938469583090034
categorical__AwayTeam_Alaves,0.3075106774752663
categorical__AwayTeam_Espanol,0.3066939494804441
categorical__HomeTeam_Salernitana,0.30344518606569776
categorical__HomeTeam_Real Madrid,0.3032545092314743
categorical__HomeTeam_Brighton,0.3027192260557229
categorical__AwayTeam_Tottenham,0.29796822797912087
categorical__HomeTeam_Man City,0.29786017069817233
categorical__HomeTeam_Milan,0.2942636980819691
categorical__AwayTeam_Guingamp,0.2891051925071711
categorical__AwayTeam_Fortuna Dusseldorf,0.28794707456922297
categorical__AwayTeam_Juventus,0.2866724447122716
categorical__HomeTeam_Sevilla,0.2851824837094272
categorical__HomeTeam_Cremonese,0.28419796875681447
categorical__AwayTeam_Bordeaux,0.28221407849532637
categorical__AwayTeam_Levante,0.2821591571189084
categorical__HomeTeam_Mallorca,0.28192205831879247
categorical__AwayTeam_Bournemouth,0.27978839416868573
categorical__HomeTeam_Lazio,0.27858710929847674
