feature,importance
numeric__ImpliedUnder25,0.042849134841178416
numeric__Under25,0.04090454128639439
numeric__ImpliedOver25,0.03980393714431741
numeric__Over25,0.03932804600227272
numeric__BookmakerMargin1X2,0.03546902670748658
numeric__EloDiff,0.03524484713893023
numeric__ImpliedDraw,0.034647910876611565
numeric__OddDraw,0.03406923320294813
numeric__HomeMatchesPlayedBefore,0.03374082000975503
numeric__EloMean,0.03320044093577037
numeric__AwayMatchesPlayedBefore,0.03317905812068577
numeric__HomeElo,0.032931899935648434
numeric__HomeEloSynced,0.03279946267130122
numeric__AwayElo,0.03214508290576121
numeric__AwayEloSynced,0.03207599005889506
numeric__OddAway,0.03179903240035006
numeric__ImpliedAwayWin,0.03134066020860429
numeric__ImpliedHomeWin,0.03090422678570468
numeric__OddHome,0.030826399474178107
numeric__RollingGoalsAgainstDiff5,0.022024990529190852
numeric__MatchMonth,0.021825867827528482
numeric__RollingGoalsForDiff5,0.021716669992590663
numeric__RollingPointsDiff5,0.021691733030163265
numeric__AwayRollingGoalsFor5,0.020176660130563462
numeric__HomeRollingGoalsAgainst5,0.019607547085879785
numeric__HomeRollingGoalsFor5,0.019570688352857166
numeric__AwayRollingGoalsAgainst5,0.01940415968327617
numeric__HomeRollingPoints5,0.018978451922194745
numeric__RollingPointsDiff3,0.01881606348333192
numeric__AwayRollingPoints5,0.018266627570940597
numeric__AwayRollingPoints3,0.0150734189936133
numeric__HomeRollingPoints3,0.015038919004695676
numeric__SeasonStartYear,0.012448714564470914
categorical__Division_D1,0.004284986054408763
categorical__Division_SP1,0.004224347739271585
categorical__Division_I1,0.0032797176183357165
categorical__Division_E0,0.0028554244954006112
categorical__Division_F1,0.0027530518065635497
categorical__HomeTeam_Dortmund,0.0013056095248914486
categorical__HomeTeam_Hoffenheim,0.0007775766796730302
categorical__AwayTeam_Getafe,0.0005984821415356602
categorical__AwayTeam_Bayern Munich,0.0005968958060421124
categorical__HomeTeam_Crystal Palace,0.0005916430386441088
categorical__HomeTeam_Fiorentina,0.0005710970520604142
categorical__AwayTeam_Espanol,0.0005577818717398684
categorical__HomeTeam_Sevilla,0.0005381012036919394
categorical__AwayTeam_Nimes,0.0005380225759521603
categorical__HomeTeam_Chelsea,0.0005298083832551808
categorical__HomeTeam_Sociedad,0.0005174506866386106
categorical__HomeTeam_Southampton,0.0005140784674271104
categorical__AwayTeam_Bologna,0.0005028043691807543
categorical__HomeTeam_Everton,0.0004885320914539933
categorical__AwayTeam_Granada,0.0004844172275236502
categorical__HomeTeam_Man City,0.000474924489067536
categorical__HomeTeam_Real Madrid,0.00047401729624932604
categorical__HomeTeam_Ath Bilbao,0.00047030106225351317
categorical__HomeTeam_Napoli,0.0004651576284036653
categorical__AwayTeam_Everton,0.0004556405507419607
categorical__HomeTeam_Wolves,0.0004544048132450464
categorical__HomeTeam_Udinese,0.0004540746755775919
categorical__AwayTeam_Hertha,0.00042899399018390825
categorical__AwayTeam_Sevilla,0.00042338452228138894
categorical__HomeTeam_Leicester,0.0004170880295553828
categorical__AwayTeam_Parma,0.00041603680199531803
categorical__HomeTeam_Watford,0.000413879021350363
categorical__AwayTeam_Torino,0.00041341839295227844
categorical__HomeTeam_Sassuolo,0.00040383821587006516
categorical__AwayTeam_Man City,0.0004029553827315355
categorical__HomeTeam_Montpellier,0.000401390922088342
categorical__HomeTeam_Ein Frankfurt,0.00040082226185678886
categorical__HomeTeam_Vallecano,0.00040021307247519556
categorical__AwayTeam_Bordeaux,0.00039898273407296527
categorical__AwayTeam_Villarreal,0.00039754938197101815
categorical__AwayTeam_Marseille,0.00039665433996950657
categorical__HomeTeam_Brighton,0.00039235817141532766
categorical__AwayTeam_Ein Frankfurt,0.0003877174434033911
categorical__HomeTeam_Atalanta,0.0003875643250371628
categorical__AwayTeam_Newcastle,0.0003875479641129217
categorical__AwayTeam_Betis,0.0003845932630784637
categorical__AwayTeam_Wolves,0.00038237185522330906
categorical__AwayTeam_Osasuna,0.00037363399747149424
categorical__AwayTeam_Leicester,0.0003718464752311886
categorical__AwayTeam_Valladolid,0.0003683307798446361
categorical__AwayTeam_Ath Bilbao,0.00036060165930797686
categorical__AwayTeam_Inter,0.000360028142795536
