feature,importance
Over25,15.988125490028857
ImpliedOver25,12.688789451273433
Under25,12.61983271670053
ImpliedUnder25,11.905807814734674
Division,3.817885869376456
MatchMonth,3.1813001547444877
OddAway,2.403522034779534
BookmakerMargin1X2,2.3864146802769164
AwayEloSynced,2.371382046195171
ImpliedDraw,2.3385394982051033
RollingPointsDiff5,2.317763483031286
AwayRollingPoints5,2.308542029515383
AwayTeam,1.9983017354296242
OddDraw,1.9451595325040438
HomeRollingPoints5,1.6866925032616273
EloDiff,1.6617237721682223
AwayRollingGoalsAgainst5,1.6465673211318423
RollingPointsDiff3,1.5977883356485174
EloMean,1.527593757643308
SeasonStartYear,1.494153937589501
HomeElo,1.4664403927429868
AwayRollingPoints3,1.4379708113594822
HomeEloSynced,1.4200152179896022
HomeRollingBTTSRate5,1.3944912267071177
ImpliedAwayWin,1.1822181574034176
HomeRollingPoints3,1.1520883547593124
RollingOver25RateDiff5,0.8920905517163865
HomeMatchesPlayedBefore,0.7520521434759632
OddHome,0.49199242857568587
RollingGoalsAgainstDiff5,0.4380410328369862
AwayElo,0.41440158904061225
HomeRollingGoalsFor5,0.37287203451087925
ImpliedHomeWin,0.3088398926053212
HomeRollingOver25Rate5,0.2153914178001457
HomeRollingGoalsAgainst5,0.1752085842375691
HomeTeam,0.0
AwayMatchesPlayedBefore,0.0
AwayRollingGoalsFor5,0.0
RollingGoalsForDiff5,0.0
AwayRollingBTTSRate5,0.0
RollingBTTSRateDiff5,0.0
AwayRollingOver25Rate5,0.0
