feature,importance
categorical__HomeTeam_Nurnberg,0.9383418398582147
categorical__AwayTeam_Paderborn,0.870579384641157
categorical__AwayTeam_Crotone,0.8517943246859491
categorical__HomeTeam_Dortmund,0.8125680317168448
categorical__HomeTeam_Bielefeld,0.7955525013924976
categorical__AwayTeam_Greuther Furth,0.7679911669548064
categorical__AwayTeam_Parma,0.7168640199744223
categorical__HomeTeam_Watford,0.6954775206402325
categorical__AwayTeam_Ajaccio,0.6749434535368913
categorical__AwayTeam_Leeds,0.6667798146527041
categorical__AwayTeam_Nimes,0.6446157961599284
categorical__AwayTeam_Caen,0.6375567793906349
categorical__HomeTeam_Sheffield United,0.6014637645735194
categorical__AwayTeam_Cardiff,0.5657431628352999
categorical__AwayTeam_Bielefeld,0.513873655156673
categorical__HomeTeam_Crystal Palace,0.5114219933013107
categorical__HomeTeam_Troyes,0.506466843278922
categorical__AwayTeam_Reims,0.4897445465766276
categorical__AwayTeam_Benevento,0.47871793940556373
categorical__AwayTeam_Almeria,0.47062947434216584
categorical__AwayTeam_Verona,0.4641369000488098
categorical__HomeTeam_Brescia,0.46130089632782456
categorical__AwayTeam_Osasuna,0.4574408185995593
categorical__HomeTeam_Nottm Forest,0.4527445499016344
categorical__HomeTeam_Almeria,0.44200211522814753
categorical__AwayTeam_Man City,0.44011221934558725
categorical__AwayTeam_Sheffield United,0.4389932825306275
categorical__AwayTeam_Getafe,0.4370393206342146
categorical__AwayTeam_Troyes,0.4328673565037373
categorical__HomeTeam_Sassuolo,0.43136764623791385
categorical__HomeTeam_Fortuna Dusseldorf,0.4309207320710491
categorical__AwayTeam_Cagliari,0.42850334923190614
categorical__AwayTeam_Toulouse,0.426401882536823
categorical__HomeTeam_Paderborn,0.4257115793198325
categorical__HomeTeam_Monaco,0.4190215053280805
categorical__HomeTeam_Fiorentina,0.4109161215590903
categorical__AwayTeam_Nice,0.41089481167101777
categorical__AwayTeam_Sassuolo,0.4073632414321224
categorical__HomeTeam_Cardiff,0.40655606853505144
categorical__HomeTeam_Chelsea,0.40120750454402704
categorical__HomeTeam_Udinese,0.40005156688008225
categorical__HomeTeam_Ath Bilbao,0.3892851121023111
categorical__HomeTeam_Montpellier,0.38235276744701396
categorical__AwayTeam_Cadiz,0.3758156132935171
categorical__AwayTeam_Torino,0.3749301995755553
categorical__HomeTeam_Amiens,0.3748506994452312
categorical__AwayTeam_Leicester,0.36848589755776595
categorical__AwayTeam_Southampton,0.36688873333286615
categorical__HomeTeam_Norwich,0.3657130444165466
categorical__HomeTeam_Greuther Furth,0.3618151235897239
categorical__AwayTeam_Wolves,0.36064632935415725
numeric__ImpliedUnder25,0.3605026309175543
categorical__AwayTeam_Spezia,0.3529118836482059
categorical__AwayTeam_Hannover,0.3516236224954018
categorical__HomeTeam_Vallecano,0.34991540814167404
categorical__HomeTeam_Leicester,0.3485090803731786
categorical__HomeTeam_Villarreal,0.34508159188824883
categorical__AwayTeam_Metz,0.34501933643753957
categorical__HomeTeam_Wolves,0.34275331554015576
categorical__AwayTeam_Sevilla,0.3421589185112502
categorical__HomeTeam_Granada,0.3418010399360773
categorical__HomeTeam_Man City,0.3409240816135778
categorical__AwayTeam_Alaves,0.3399309166243949
categorical__AwayTeam_Venezia,0.337201111866422
categorical__HomeTeam_Lens,0.33709681787427975
categorical__HomeTeam_Everton,0.33295945068541843
categorical__HomeTeam_Reims,0.330887317967204
