feature,importance
numeric__Under25,0.04028280425974777
numeric__ImpliedUnder25,0.038815823177221244
numeric__ImpliedOver25,0.0381776853514185
numeric__Over25,0.03721309398348934
numeric__BookmakerMargin1X2,0.033468612354855876
numeric__EloDiff,0.03313816544055014
numeric__OddDraw,0.03199594066485928
numeric__ImpliedDraw,0.03172084790777127
numeric__EloMean,0.03166047429648217
numeric__AwayMatchesPlayedBefore,0.03078360700725892
numeric__AwayEloSynced,0.03074820959478968
numeric__HomeMatchesPlayedBefore,0.03063691632979549
numeric__AwayElo,0.030499059115657968
numeric__HomeEloSynced,0.03045599493266448
numeric__ImpliedAwayWin,0.030428746999291358
numeric__HomeElo,0.030008495815728325
numeric__OddAway,0.029793417141794603
numeric__ImpliedHomeWin,0.028581696828377818
numeric__OddHome,0.028301926095337777
numeric__RollingGoalsForDiff5,0.020657700167336764
numeric__RollingGoalsAgainstDiff5,0.02024199733648509
numeric__RollingPointsDiff5,0.020093013021884418
numeric__MatchMonth,0.020083494978476
numeric__HomeRollingGoalsFor5,0.019084001524709276
numeric__HomeRollingGoalsAgainst5,0.01827079485358784
numeric__AwayRollingGoalsFor5,0.017896473028442054
numeric__AwayRollingGoalsAgainst5,0.017771152875948194
numeric__AwayRollingPoints5,0.017656362439253594
numeric__HomeRollingPoints5,0.017584530834311062
numeric__RollingPointsDiff3,0.01740244508257233
numeric__AwayRollingPoints3,0.014466141120404983
numeric__HomeRollingPoints3,0.013288003855264541
numeric__RollingOver25RateDiff5,0.013229504065375822
numeric__RollingBTTSRateDiff5,0.012733657173672874
numeric__SeasonStartYear,0.011423331104466554
numeric__HomeRollingBTTSRate5,0.010899428893111018
numeric__AwayRollingOver25Rate5,0.010745957826257284
numeric__HomeRollingOver25Rate5,0.010581098367337097
numeric__AwayRollingBTTSRate5,0.010310881956119726
categorical__Division_D1,0.004014802615042659
categorical__Division_SP1,0.0036767802897730044
categorical__Division_I1,0.0030739842328838187
categorical__Division_E0,0.0026416576718866
categorical__Division_F1,0.002598840079663691
categorical__HomeTeam_Dortmund,0.0009690045532973481
categorical__AwayTeam_Getafe,0.000591897850657211
categorical__HomeTeam_Crystal Palace,0.0005786048243457868
categorical__HomeTeam_Hoffenheim,0.0005614929573901159
categorical__AwayTeam_Granada,0.0005469969920069065
categorical__AwayTeam_Espanol,0.000523379288276381
categorical__AwayTeam_Parma,0.0005037028937622249
categorical__HomeTeam_Napoli,0.0004965486659355717
categorical__HomeTeam_Udinese,0.0004919771603279499
categorical__AwayTeam_Villarreal,0.00047425801779306083
categorical__HomeTeam_Watford,0.00047147824193960133
categorical__HomeTeam_Fiorentina,0.0004637258711768351
categorical__AwayTeam_Bayern Munich,0.00045904275993803486
categorical__AwayTeam_Everton,0.0004386104447486792
categorical__AwayTeam_Nimes,0.00043020703472278606
categorical__AwayTeam_Bologna,0.0004255536352304758
categorical__HomeTeam_Villarreal,0.0004178570773647666
categorical__HomeTeam_Sociedad,0.00041781324976179394
categorical__HomeTeam_Sevilla,0.0004138410159842169
categorical__HomeTeam_Ath Bilbao,0.00041306950226542403
categorical__HomeTeam_Montpellier,0.0004118108929205566
categorical__HomeTeam_Wolves,0.0004023434302037592
categorical__HomeTeam_Chelsea,0.00039999768294982796
categorical__AwayTeam_Sassuolo,0.00038934991280533993
categorical__HomeTeam_Leicester,0.0003875058739181192
categorical__AwayTeam_Man City,0.0003869634949758857
categorical__AwayTeam_Wolves,0.0003845786486723843
categorical__AwayTeam_Cagliari,0.000380085836191479
categorical__AwayTeam_Leicester,0.00036756782891676125
categorical__AwayTeam_Hertha,0.00036363207566868564
categorical__HomeTeam_Brighton,0.00035542189953298924
