market,threshold,target,total_matches,yes_count,no_count,yes_rate,no_rate
goals,1.5,Over1.5,12528,9700,2828,0.7742656449553001,0.22573435504469988
goals,2.5,Over2.5,12528,6657,5871,0.5313697318007663,0.4686302681992337
goals,3.5,Over3.5,12528,3883,8645,0.30994572158365263,0.6900542784163474
goals,4.5,Over4.5,12528,1916,10612,0.1529374201787995,0.8470625798212005
corners,8.5,Over8.5,12528,7855,4673,0.6269955300127714,0.3730044699872286
corners,9.5,Over9.5,12528,6372,6156,0.5086206896551724,0.49137931034482757
corners,10.5,Over10.5,12528,4895,7633,0.3907247765006386,0.6092752234993615
corners,11.5,Over11.5,12528,3564,8964,0.28448275862068967,0.7155172413793104
yellow_cards,2.5,Over2.5,12528,9548,2980,0.76213282247765,0.23786717752234993
yellow_cards,3.5,Over3.5,12528,7311,5217,0.5835727969348659,0.4164272030651341
yellow_cards,4.5,Over4.5,12528,4994,7534,0.3986270753512133,0.6013729246487867
yellow_cards,5.5,Over5.5,12528,3047,9481,0.24321519795657726,0.7567848020434227
