feature,importance
Division,22.819237282435036
AwayTeam,8.00321992292841
MatchMonth,5.084586534914598
OddDraw,4.446440965249191
SeasonStartYear,4.142227733101321
ImpliedDraw,3.6914216814378062
HomeMatchesPlayedBefore,3.1346038512754952
OddAway,2.7775901939122325
AwayMatchesPlayedBefore,2.430758895682446
HomeTeam,2.3706422385923807
AwayRollingPoints5,2.308935134310028
BookmakerMargin1X2,2.2881426640953673
ImpliedHomeWin,2.2672373394903316
EloDiff,2.07206846721082
ImpliedOver25,2.03053820494682
OddHome,1.9692383878370667
RollingPointsDiff3,1.9400735615652527
Under25,1.7698510386235882
ImpliedAwayWin,1.686539047744677
EloMean,1.665344366755562
HomeRollingGoalsFor5,1.5806012245430154
Over25,1.5485549056110715
RollingGoalsForDiff5,1.5283741029996736
HomeRollingPoints3,1.4954470812884944
RollingPointsDiff5,1.488549451388853
HomeEloSynced,1.473072663131727
HomeRollingPoints5,1.4464676325531773
AwayRollingGoalsAgainst5,1.4222961620037302
AwayRollingPoints3,1.306440810474121
HomeElo,1.264178833122746
ImpliedUnder25,1.2593696749059384
HomeRollingGoalsAgainst5,1.2209514474328864
AwayElo,1.1316317545794001
AwayEloSynced,1.07001343029788
RollingGoalsAgainstDiff5,0.9943492745131319
AwayRollingGoalsFor5,0.8710040390456725
