feature,importance
categorical__HomeTeam_Cremonese,1.4378977078138182
categorical__HomeTeam_Paderborn,1.1672223536924349
numeric__ImpliedUnder25,1.0686459202350687
categorical__AwayTeam_Eibar,1.0588165511880434
numeric__HomeEloSynced,1.0103472377711857
categorical__AwayTeam_West Ham,0.838073371637056
categorical__HomeTeam_Nottm Forest,0.8326036115466011
numeric__ImpliedOver25,0.8266578242466253
categorical__HomeTeam_Burnley,0.8166578585328015
categorical__AwayTeam_Werder Bremen,0.7416378360285613
categorical__AwayTeam_Espanol,0.7265747140756921
categorical__HomeTeam_Mallorca,0.7064408140758246
categorical__AwayTeam_Bielefeld,0.6844079684079828
categorical__AwayTeam_Granada,0.6806031482587488
categorical__AwayTeam_Getafe,0.673016718639406
categorical__AwayTeam_West Brom,0.6635972017987152
numeric__AwayEloSynced,0.6554242321913539
categorical__AwayTeam_Aston Villa,0.6528208772642177
categorical__Division_E0,0.6495690902737342
categorical__HomeTeam_Valencia,0.6463806369441468
categorical__AwayTeam_Lille,0.6405064973176632
categorical__AwayTeam_Monza,0.6373475344009149
categorical__AwayTeam_Celta,0.6292587293299572
numeric__EloDiff,0.6215138498234436
categorical__HomeTeam_West Ham,0.6073889230835556
categorical__AwayTeam_Auxerre,0.6033962371997562
categorical__Division_I1,0.5962835371910192
categorical__Division_SP1,0.5962182760343088
categorical__AwayTeam_Cardiff,0.5860351636543132
categorical__HomeTeam_Leicester,0.5485341288985008
categorical__HomeTeam_Brescia,0.5423942148380148
categorical__AwayTeam_Nottm Forest,0.5371858360244633
categorical__HomeTeam_Venezia,0.5355605788710579
categorical__AwayTeam_Villarreal,0.5340993128169145
categorical__AwayTeam_Brest,0.5286436505333666
categorical__AwayTeam_Lazio,0.5281704382889416
categorical__HomeTeam_Union Berlin,0.5243126777369088
categorical__AwayTeam_Osasuna,0.5218686984186516
categorical__AwayTeam_Paderborn,0.5166748883530294
categorical__HomeTeam_Fulham,0.5158358799086583
categorical__HomeTeam_Nimes,0.507200740845636
numeric__HomeElo,0.4829707771872022
categorical__HomeTeam_Lorient,0.46516027391817844
categorical__AwayTeam_Udinese,0.4597730216234875
categorical__HomeTeam_Getafe,0.4583762421404621
categorical__HomeTeam_Freiburg,0.4567963193915262
categorical__AwayTeam_Man City,0.44593931366776934
categorical__HomeTeam_Almeria,0.43961139573881935
categorical__AwayTeam_Huesca,0.435862949891304
categorical__AwayTeam_Lyon,0.4350738340018499
categorical__AwayTeam_Strasbourg,0.41909519617834345
categorical__AwayTeam_Burnley,0.40607862910685005
categorical__HomeTeam_Huesca,0.3964605371855699
categorical__AwayTeam_Nice,0.39434837765360115
categorical__AwayTeam_Hertha,0.392708794171972
categorical__AwayTeam_Freiburg,0.3910538512423791
categorical__HomeTeam_Parma,0.38085570857447437
categorical__AwayTeam_Leganes,0.37638338144470146
categorical__HomeTeam_Udinese,0.3734555020935432
