feature,importance
numeric__BookmakerMargin1X2,0.0379497524222053
numeric__OddDraw,0.035991632042350986
numeric__ImpliedDraw,0.03414987636764156
numeric__EloDiff,0.03391003856104286
numeric__AwayMatchesPlayedBefore,0.032652741811141486
numeric__HomeMatchesPlayedBefore,0.03234475602438397
numeric__EloMean,0.03183812753112684
numeric__HomeElo,0.0317445858140446
numeric__HomeEloSynced,0.03153529165864096
numeric__ImpliedAwayWin,0.03128663382782727
numeric__ImpliedHomeWin,0.031017619382377803
numeric__AwayElo,0.030430038121811435
numeric__OddAway,0.029962809594960064
numeric__OddHome,0.029844327429821835
numeric__AwayEloSynced,0.02955654751752454
numeric__ImpliedUnder25,0.028890740572486372
numeric__ImpliedOver25,0.028686133230467807
numeric__Over25,0.027966982390343884
numeric__Under25,0.027510837692962295
categorical__Division_E0,0.025706191936320896
categorical__Division_SP1,0.02333050046429293
categorical__Division_I1,0.022760339390458812
numeric__MatchMonth,0.02050518248859617
numeric__RollingGoalsForDiff5,0.01980394418497731
numeric__RollingGoalsAgainstDiff5,0.019338912536999306
numeric__RollingPointsDiff5,0.019088937436932785
numeric__HomeRollingGoalsFor5,0.017770472600964298
numeric__HomeRollingGoalsAgainst5,0.017518382268358577
numeric__AwayRollingGoalsAgainst5,0.01710865054649972
numeric__AwayRollingPoints5,0.017099709257278665
numeric__RollingPointsDiff3,0.016861421038986912
numeric__HomeRollingPoints5,0.016850219161988096
numeric__AwayRollingGoalsFor5,0.016679090841603395
numeric__SeasonStartYear,0.014374168778642444
numeric__AwayRollingPoints3,0.014072434561270847
numeric__HomeRollingPoints3,0.013498417649740111
categorical__Division_F1,0.008262047420281183
categorical__Division_D1,0.004832543870042766
categorical__AwayTeam_West Ham,0.0024407383802422748
categorical__HomeTeam_Valencia,0.0014839004872049641
categorical__HomeTeam_Burnley,0.0013922258254587864
categorical__AwayTeam_Celta,0.0013760808716503194
categorical__HomeTeam_Leicester,0.0013172287328095333
categorical__HomeTeam_West Ham,0.001186928758410916
categorical__AwayTeam_Getafe,0.001174454823630735
categorical__AwayTeam_Lazio,0.0010698837465807352
categorical__AwayTeam_Brest,0.0009618651834501147
categorical__AwayTeam_Sevilla,0.0008960066854313753
categorical__AwayTeam_Espanol,0.000883516303564208
categorical__HomeTeam_Freiburg,0.0008417782877125118
categorical__HomeTeam_Fiorentina,0.0007946880524625697
categorical__AwayTeam_Strasbourg,0.0007859826438044596
categorical__AwayTeam_Liverpool,0.0007676863443132588
categorical__AwayTeam_Lille,0.0007667039773806487
categorical__AwayTeam_Roma,0.0007360742510460038
categorical__HomeTeam_Juventus,0.0007131758654426995
categorical__HomeTeam_Cremonese,0.0007051011304555515
categorical__HomeTeam_Udinese,0.0006931855159874831
categorical__AwayTeam_Brighton,0.0006882703471845106
categorical__HomeTeam_Reims,0.0006860160561043384
categorical__AwayTeam_Leicester,0.000681448639241531
categorical__HomeTeam_Lyon,0.0006554154126867073
categorical__AwayTeam_Aston Villa,0.0006448482111198838
categorical__HomeTeam_Fulham,0.0006437728918666633
categorical__AwayTeam_Nice,0.0006138427724848923
categorical__AwayTeam_Juventus,0.0005952674361312549
categorical__HomeTeam_Getafe,0.0005647658276829295
categorical__HomeTeam_Liverpool,0.0005632599212674196
categorical__AwayTeam_Dortmund,0.0005418266924707532
categorical__HomeTeam_Wolves,0.0005410999805834694
categorical__AwayTeam_Sassuolo,0.0005316810132498105
categorical__HomeTeam_Verona,0.0005216643131395733
categorical__HomeTeam_Sevilla,0.0005168845447283598
categorical__HomeTeam_Roma,0.0005154913485254133
categorical__AwayTeam_Eibar,0.0005149184138329382
categorical__AwayTeam_Burnley,0.0005137225699854048
categorical__AwayTeam_Montpellier,0.0005116216354928643
categorical__AwayTeam_Real Madrid,0.0005057084263959206
categorical__HomeTeam_Southampton,0.0005015511140347269
categorical__AwayTeam_Granada,0.0004876494524615643
categorical__AwayTeam_Werder Bremen,0.00048688346576080007
