feature,importance
Division,17.476862336139792
AwayTeam,5.213689093080006
OddDraw,4.016985953902656
ImpliedDraw,3.3940978507807547
ImpliedHomeWin,2.8694098561097237
AwayRollingYellowCardsAgainst5,2.8144592352707214
AwayRollingTotalYellowCards5,2.7896982532892265
MatchMonth,2.745097057886383
ImpliedAwayWin,2.6996901345983573
AwayRollingPoints5,2.599072306425797
AwayRollingYellowCardsOver35Rate5,2.4397109070191436
HomeMatchesPlayedBefore,2.36765331855433
HomeRollingYellowCardsAgainst5,2.2554518096735054
HomeEloSynced,2.2492052144422483
HomeRollingGoalsFor5,2.246601071712657
EloDiff,2.0266238241138685
RollingYellowCardsForDiff5,1.9968823017492763
HomeTeam,1.891557564503213
AwayRollingYellowCardsFor3,1.800927294117685
BookmakerMargin1X2,1.7830949846502688
RollingYellowCardsAgainstDiff3,1.7602238217443384
HomeRollingTotalYellowCards5,1.7530537407151385
HomeRollingYellowCardsAgainst3,1.663962566063543
AwayRollingYellowCardsFor5,1.5090458341983761
OddAway,1.5040704353450027
AwayElo,1.1861971389918726
AwayMatchesPlayedBefore,1.1743587313530293
HomeRollingYellowCardsFor3,1.1364532932753402
Under25,1.0965547086449114
SeasonStartYear,1.0716740419880835
HomeRollingPoints5,1.0565724265689032
RollingPointsDiff3,1.0025810173162617
RollingYellowCardsForDiff3,0.9853552479065779
HomeElo,0.9844855022250529
AwayRollingGoalsAgainst5,0.9688297208168778
AwayRollingYellowCardsAgainst3,0.9685706133208143
Over25,0.962525919705697
EloMean,0.9416490631546356
HomeRollingPoints3,0.9250977906182438
AwayRollingPoints3,0.8868717095656354
OddHome,0.8835577897378056
ImpliedOver25,0.8623682621748426
ImpliedUnder25,0.8268349031321157
RollingPointsDiff5,0.8069990636296127
RollingGoalsAgainstDiff5,0.7854473910566159
HomeRollingYellowCardsOver35Rate5,0.739892669890546
HomeRollingGoalsAgainst5,0.6884511740886109
AwayEloSynced,0.6704018648570124
RollingTotalYellowCardsDiff5,0.6263851267721526
HomeRollingYellowCardsFor5,0.6010228895740215
RollingYellowCardsAgainstDiff5,0.5274715484998957
AwayRollingGoalsFor5,0.46686733764990207
RollingGoalsForDiff5,0.23282480405745914
RollingYellowCardsOver35RateDiff5,0.06657148334143906
