feature,importance
categorical__HomeTeam_Cremonese,1.4263510702978477
categorical__HomeTeam_Paderborn,1.1234249901803415
numeric__ImpliedUnder25,1.0227329714861517
categorical__AwayTeam_Eibar,0.9640189404600904
numeric__HomeEloSynced,0.8992644874675216
categorical__HomeTeam_Nottm Forest,0.8297893060094618
numeric__ImpliedOver25,0.7995527089022998
categorical__HomeTeam_Burnley,0.7924000289682906
categorical__AwayTeam_West Ham,0.7627493654418713
categorical__AwayTeam_Werder Bremen,0.7231688107148672
categorical__AwayTeam_Espanol,0.7122955162489825
categorical__HomeTeam_Mallorca,0.6710732783045478
categorical__AwayTeam_Bielefeld,0.6438546930035816
categorical__AwayTeam_Granada,0.6399029266290069
categorical__AwayTeam_Monza,0.6298376084442818
categorical__HomeTeam_Valencia,0.6266663308344138
categorical__AwayTeam_Celta,0.618869119573917
numeric__AwayEloSynced,0.6161176618721103
categorical__AwayTeam_Aston Villa,0.6138837979044577
categorical__HomeTeam_West Ham,0.6129226950240115
categorical__AwayTeam_Lille,0.6101443639587615
categorical__AwayTeam_West Brom,0.5843681365870841
numeric__EloDiff,0.5737967517117715
categorical__AwayTeam_Getafe,0.5711273078089012
categorical__AwayTeam_Cardiff,0.5536875307312642
categorical__HomeTeam_Leicester,0.5512327650150722
categorical__HomeTeam_Venezia,0.5445387775863829
categorical__Division_E0,0.542471267957149
categorical__Division_I1,0.5254272713866988
categorical__HomeTeam_Union Berlin,0.5192526504216515
categorical__AwayTeam_Brest,0.5187583491865663
categorical__AwayTeam_Villarreal,0.5077310646307883
categorical__AwayTeam_Auxerre,0.5052126116795547
categorical__HomeTeam_Fulham,0.4987531196295996
categorical__Division_SP1,0.48951147311928284
categorical__AwayTeam_Lazio,0.48782831920969777
categorical__HomeTeam_Brescia,0.48518321516892604
categorical__AwayTeam_Nottm Forest,0.4815542772189881
categorical__HomeTeam_Nimes,0.470215864313251
categorical__HomeTeam_Lorient,0.4667293926662951
categorical__AwayTeam_Man City,0.46618346884484524
categorical__AwayTeam_Osasuna,0.4555304027608684
categorical__AwayTeam_Lyon,0.45092295060827975
categorical__HomeTeam_Freiburg,0.44896011011204096
categorical__HomeTeam_Getafe,0.43917545855567547
categorical__AwayTeam_Paderborn,0.4387625342487362
numeric__HomeElo,0.433486824449296
categorical__AwayTeam_Udinese,0.4321961147731999
categorical__HomeTeam_Almeria,0.4246005438817641
categorical__AwayTeam_Strasbourg,0.4193574801502422
categorical__HomeTeam_Parma,0.39653780796280025
categorical__AwayTeam_Nice,0.37861060023661763
categorical__AwayTeam_Huesca,0.376662980106323
categorical__HomeTeam_Ajaccio,0.3755227177354617
categorical__AwayTeam_Hertha,0.374533726005044
numeric__ImpliedDraw,0.37303863187341535
categorical__HomeTeam_Benevento,0.3628511367820077
categorical__HomeTeam_Angers,0.35878153238728006
categorical__AwayTeam_Elche,0.35562781491324286
