feature,importance
numeric__AwayRollingTotalYellowCards5,0.02796533993992429
numeric__ImpliedDraw,0.026903385667904615
numeric__OddDraw,0.026877664550928815
numeric__BookmakerMargin1X2,0.026123366848191134
numeric__ImpliedAwayWin,0.025225239721933735
numeric__EloDiff,0.025216928283056633
numeric__OddAway,0.02436946019020831
numeric__AwayMatchesPlayedBefore,0.024308779903927772
numeric__ImpliedHomeWin,0.023787091335188467
numeric__OddHome,0.023608460340713552
numeric__HomeMatchesPlayedBefore,0.023451285896395804
numeric__HomeElo,0.023341598170440705
numeric__HomeEloSynced,0.023233149595381676
numeric__EloMean,0.02275214079696069
numeric__HomeRollingTotalYellowCards5,0.022684374918478332
numeric__AwayElo,0.02260709107604858
numeric__Under25,0.022491861775977093
numeric__AwayEloSynced,0.02242230008253379
numeric__ImpliedUnder25,0.021874993438049748
numeric__Over25,0.02161475487207147
numeric__ImpliedOver25,0.02148967308253396
numeric__AwayRollingYellowCardsFor5,0.02024425339042013
numeric__HomeRollingYellowCardsAgainst5,0.01912391222544324
numeric__AwayRollingYellowCardsAgainst5,0.018445233522107012
numeric__RollingTotalYellowCardsDiff5,0.016819469340020477
numeric__HomeRollingYellowCardsFor5,0.016291310290973877
numeric__AwayRollingYellowCardsFor3,0.01544159603733842
numeric__RollingGoalsForDiff5,0.015093310683263124
numeric__MatchMonth,0.01508717841162291
numeric__AwayRollingYellowCardsAgainst3,0.014802726183031602
numeric__RollingPointsDiff5,0.01476245618037329
categorical__Division_E0,0.014619275120954074
numeric__AwayRollingYellowCardsOver35Rate5,0.014486797937297992
numeric__RollingGoalsAgainstDiff5,0.014473006461408248
numeric__RollingYellowCardsForDiff5,0.014342988899802626
numeric__HomeRollingYellowCardsAgainst3,0.014323515512280042
numeric__RollingYellowCardsAgainstDiff5,0.014311716972468533
numeric__RollingYellowCardsForDiff3,0.013821670411531314
numeric__HomeRollingGoalsFor5,0.013591817115263067
numeric__HomeRollingGoalsAgainst5,0.013529962010369915
numeric__AwayRollingPoints5,0.013467319015633982
numeric__RollingYellowCardsAgainstDiff3,0.013440597411764784
numeric__RollingPointsDiff3,0.013262891700285103
numeric__AwayRollingGoalsFor5,0.013120866369385744
numeric__HomeRollingPoints5,0.013076460957932945
numeric__AwayRollingGoalsAgainst5,0.013025560517297047
numeric__HomeRollingYellowCardsFor3,0.012877764047809543
numeric__HomeRollingYellowCardsOver35Rate5,0.011336784186792065
numeric__AwayRollingPoints3,0.0112876950534509
categorical__Division_SP1,0.010820217542546025
categorical__Division_I1,0.01062946565149905
numeric__HomeRollingPoints3,0.01051181435885422
numeric__SeasonStartYear,0.00944716168735196
numeric__RollingYellowCardsOver35RateDiff5,0.008519875323466373
categorical__Division_F1,0.005637756405658029
categorical__Division_D1,0.00265914401533011
categorical__AwayTeam_West Ham,0.0007802216031137146
categorical__HomeTeam_West Ham,0.0005747262458389932
categorical__AwayTeam_Celta,0.0004937041866183105
categorical__HomeTeam_Valencia,0.000482564929367865
categorical__HomeTeam_Juventus,0.0004433832623729205
categorical__HomeTeam_Burnley,0.00043350572545171817
categorical__HomeTeam_Leicester,0.0004194777773306937
categorical__AwayTeam_Getafe,0.00040548693552220786
categorical__AwayTeam_Brest,0.0003843975420451172
categorical__AwayTeam_Liverpool,0.0003795108648614612
categorical__AwayTeam_Strasbourg,0.0003737105355088035
categorical__AwayTeam_Nice,0.00035862051137449053
categorical__AwayTeam_Aston Villa,0.00032814937821138763
categorical__HomeTeam_Liverpool,0.0003271892907276581
categorical__HomeTeam_Fiorentina,0.00031850843461240033
categorical__HomeTeam_Roma,0.0003169911866530158
categorical__AwayTeam_Lille,0.00031698856274345793
categorical__HomeTeam_Reims,0.0002975260524215013
categorical__AwayTeam_Roma,0.0002897697704424889
categorical__HomeTeam_Sociedad,0.00028738642036724426
categorical__AwayTeam_Brighton,0.0002593428405600962
categorical__HomeTeam_Lyon,0.0002560507164804513
categorical__AwayTeam_Juventus,0.00024900502453680396
categorical__HomeTeam_Nice,0.0002481781540360179
categorical__AwayTeam_Eibar,0.0002464572968436869
categorical__HomeTeam_Southampton,0.00022939393402265172
categorical__HomeTeam_Wolves,0.00022366457497003655
categorical__HomeTeam_Udinese,0.0002154738711138678
