feature_set,model,split,label,precision,recall,f1-score,support
v1_only,dummy_most_frequent,train,No,0.0,0.0,0.0,3809.0
v1_only,dummy_most_frequent,train,Yes,0.578043646837266,1.0,0.7326079326079326,5218.0
v1_only,dummy_most_frequent,train,accuracy,0.578043646837266,0.578043646837266,0.578043646837266,0.578043646837266
v1_only,dummy_most_frequent,train,macro avg,0.289021823418633,0.5,0.3663039663039663,9027.0
v1_only,dummy_most_frequent,train,weighted avg,0.33413445764892585,0.578043646837266,0.4234793610665993,9027.0
v1_only,dummy_most_frequent,validation,No,0.0,0.0,0.0,664.0
v1_only,dummy_most_frequent,validation,Yes,0.6210045662100456,1.0,0.7661971830985915,1088.0
v1_only,dummy_most_frequent,validation,accuracy,0.6210045662100456,0.6210045662100456,0.6210045662100456,0.6210045662100456
v1_only,dummy_most_frequent,validation,macro avg,0.3105022831050228,0.5,0.38309859154929576,1752.0
v1_only,dummy_most_frequent,validation,weighted avg,0.3856466712537269,0.6210045662100456,0.4758119493214998,1752.0
v1_only,dummy_most_frequent,test,No,0.0,0.0,0.0,744.0
v1_only,dummy_most_frequent,test,Yes,0.5746140651801029,1.0,0.7298474945533769,1005.0
v1_only,dummy_most_frequent,test,accuracy,0.5746140651801029,0.5746140651801029,0.5746140651801029,0.5746140651801029
v1_only,dummy_most_frequent,test,macro avg,0.28730703259005147,0.5,0.36492374727668847,1749.0
v1_only,dummy_most_frequent,test,weighted avg,0.3301813239028036,0.5746140651801029,0.41938063580682894,1749.0
v1_only,logistic_regression,train,No,0.6245353159851301,0.4851667104226831,0.5460992907801419,3809.0
v1_only,logistic_regression,train,Yes,0.676829268292683,0.7870831736297432,0.7278043593833068,5218.0
v1_only,logistic_regression,train,accuracy,0.6596876038551014,0.6596876038551014,0.6596876038551014,0.6596876038551014
v1_only,logistic_regression,train,macro avg,0.6506822921389066,0.6361249420262132,0.6369518250817243,9027.0
v1_only,logistic_regression,train,weighted avg,0.654763502884522,0.6596876038551014,0.6511327512843309,9027.0
v1_only,logistic_regression,validation,No,0.4322916666666667,0.375,0.40161290322580645,664.0
v1_only,logistic_regression,validation,Yes,0.6471088435374149,0.6994485294117647,0.6722614840989399,1088.0
v1_only,logistic_regression,validation,accuracy,0.5764840182648402,0.5764840182648402,0.5764840182648402,0.5764840182648402
v1_only,logistic_regression,validation,macro avg,0.5397002551020408,0.5372242647058824,0.5369371936623732,1752.0
v1_only,logistic_regression,validation,weighted avg,0.5656941144037524,0.5764840182648402,0.5696869077862912,1752.0
v1_only,logistic_regression,test,No,0.47313432835820896,0.4260752688172043,0.44837340876944837,744.0
v1_only,logistic_regression,test,Yes,0.6042632066728453,0.6487562189054726,0.6257197696737045,1005.0
v1_only,logistic_regression,test,accuracy,0.5540308747855918,0.5540308747855918,0.5540308747855918,0.5540308747855918
v1_only,logistic_regression,test,macro avg,0.5386987675155271,0.5374157438613385,0.5370465892215764,1749.0
v1_only,logistic_regression,test,weighted avg,0.5484828261890892,0.5540308747855918,0.5502791221535407,1749.0
v1_only,random_forest_reference,train,No,0.8649214659685864,0.8674192701496456,0.8661685673089526,3809.0
v1_only,random_forest_reference,train,Yes,0.9030151718840023,0.9011115369873515,0.9020623501199041,5218.0
v1_only,random_forest_reference,train,accuracy,0.8868948709427273,0.8868948709427273,0.8868948709427273,0.8868948709427273
v1_only,random_forest_reference,train,macro avg,0.8839683189262943,0.8842654035684985,0.8841154587144284,9027.0
v1_only,random_forest_reference,train,weighted avg,0.8869412906574797,0.8868948709427273,0.8869167404237798,9027.0
v1_only,random_forest_reference,validation,No,0.434010152284264,0.5150602409638554,0.47107438016528924,664.0
v1_only,random_forest_reference,validation,Yes,0.6659751037344398,0.5900735294117647,0.6257309941520468,1088.0
v1_only,random_forest_reference,validation,accuracy,0.5616438356164384,0.5616438356164384,0.5616438356164384,0.5616438356164384
v1_only,random_forest_reference,validation,macro avg,0.5499926280093519,0.55256688518781,0.548402687158668,1752.0
v1_only,random_forest_reference,validation,weighted avg,0.5780614463355147,0.5616438356164384,0.5671168436456501,1752.0
v1_only,random_forest_reference,test,No,0.46270543615676357,0.49193548387096775,0.47687296416938113,744.0
v1_only,random_forest_reference,test,Yes,0.605427974947808,0.5771144278606966,0.5909322465613857,1005.0
v1_only,random_forest_reference,test,accuracy,0.5408805031446541,0.5408805031446541,0.5408805031446541,0.5408805031446541
v1_only,random_forest_reference,test,macro avg,0.5340667055522857,0.5345249558658322,0.5339026053653834,1749.0
v1_only,random_forest_reference,test,weighted avg,0.5447158143643105,0.5408805031446541,0.5424130320961762,1749.0
v1_only,catboost_classifier,train,No,0.6520681265206812,0.49251772118666315,0.5611725994615615,3809.0
v1_only,catboost_classifier,train,Yes,0.6856910569105691,0.8081640475277885,0.7419071076706545,5218.0
v1_only,catboost_classifier,train,accuracy,0.674975074775673,0.674975074775673,0.674975074775673,0.674975074775673
v1_only,catboost_classifier,train,macro avg,0.6688795917156252,0.6503408843572258,0.651539853566108,9027.0
v1_only,catboost_classifier,train,weighted avg,0.6715036478206076,0.674975074775673,0.6656450336960854,9027.0
v1_only,catboost_classifier,validation,No,0.46309963099630996,0.37801204819277107,0.41625207296849087,664.0
v1_only,catboost_classifier,validation,Yes,0.6586776859504132,0.7325367647058824,0.6936466492602262,1088.0
v1_only,catboost_classifier,validation,accuracy,0.5981735159817352,0.5981735159817352,0.5981735159817352,0.5981735159817352
v1_only,catboost_classifier,validation,macro avg,0.5608886584733616,0.5552744064493267,0.5549493611143586,1752.0
v1_only,catboost_classifier,validation,weighted avg,0.5845544961732873,0.5981735159817352,0.5885153714875594,1752.0
v1_only,catboost_classifier,test,No,0.45884413309982486,0.3521505376344086,0.39847908745247146,744.0
v1_only,catboost_classifier,test,Yes,0.5908319185059423,0.6925373134328359,0.6376546037562987,1005.0
v1_only,catboost_classifier,test,accuracy,0.5477415666094911,0.5477415666094911,0.5477415666094911,0.5477415666094911
v1_only,catboost_classifier,test,macro avg,0.5248380258028835,0.5223439255336222,0.5180668456043851,1749.0
v1_only,catboost_classifier,test,weighted avg,0.5346861710261531,0.5477415666094911,0.5359127031673636,1749.0
v1_yellow_related,dummy_most_frequent,train,No,0.0,0.0,0.0,3809.0
v1_yellow_related,dummy_most_frequent,train,Yes,0.578043646837266,1.0,0.7326079326079326,5218.0
