feature_set,model,split,true_label,predicted_label,count
v1_only,dummy_most_frequent,train,No,No,0
v1_only,dummy_most_frequent,train,No,Yes,3809
v1_only,dummy_most_frequent,train,Yes,No,0
v1_only,dummy_most_frequent,train,Yes,Yes,5218
v1_only,dummy_most_frequent,validation,No,No,0
v1_only,dummy_most_frequent,validation,No,Yes,664
v1_only,dummy_most_frequent,validation,Yes,No,0
v1_only,dummy_most_frequent,validation,Yes,Yes,1088
v1_only,dummy_most_frequent,test,No,No,0
v1_only,dummy_most_frequent,test,No,Yes,744
v1_only,dummy_most_frequent,test,Yes,No,0
v1_only,dummy_most_frequent,test,Yes,Yes,1005
v1_only,logistic_regression,train,No,No,1848
v1_only,logistic_regression,train,No,Yes,1961
v1_only,logistic_regression,train,Yes,No,1111
v1_only,logistic_regression,train,Yes,Yes,4107
v1_only,logistic_regression,validation,No,No,249
v1_only,logistic_regression,validation,No,Yes,415
v1_only,logistic_regression,validation,Yes,No,327
v1_only,logistic_regression,validation,Yes,Yes,761
v1_only,logistic_regression,test,No,No,317
v1_only,logistic_regression,test,No,Yes,427
v1_only,logistic_regression,test,Yes,No,353
v1_only,logistic_regression,test,Yes,Yes,652
v1_only,random_forest_reference,train,No,No,3304
v1_only,random_forest_reference,train,No,Yes,505
v1_only,random_forest_reference,train,Yes,No,516
v1_only,random_forest_reference,train,Yes,Yes,4702
v1_only,random_forest_reference,validation,No,No,342
v1_only,random_forest_reference,validation,No,Yes,322
v1_only,random_forest_reference,validation,Yes,No,446
v1_only,random_forest_reference,validation,Yes,Yes,642
v1_only,random_forest_reference,test,No,No,366
v1_only,random_forest_reference,test,No,Yes,378
v1_only,random_forest_reference,test,Yes,No,425
v1_only,random_forest_reference,test,Yes,Yes,580
v1_only,catboost_classifier,train,No,No,1876
v1_only,catboost_classifier,train,No,Yes,1933
v1_only,catboost_classifier,train,Yes,No,1001
v1_only,catboost_classifier,train,Yes,Yes,4217
v1_only,catboost_classifier,validation,No,No,251
v1_only,catboost_classifier,validation,No,Yes,413
v1_only,catboost_classifier,validation,Yes,No,291
v1_only,catboost_classifier,validation,Yes,Yes,797
v1_only,catboost_classifier,test,No,No,262
v1_only,catboost_classifier,test,No,Yes,482
v1_only,catboost_classifier,test,Yes,No,309
v1_only,catboost_classifier,test,Yes,Yes,696
v1_yellow_related,dummy_most_frequent,train,No,No,0
v1_yellow_related,dummy_most_frequent,train,No,Yes,3809
v1_yellow_related,dummy_most_frequent,train,Yes,No,0
v1_yellow_related,dummy_most_frequent,train,Yes,Yes,5218
v1_yellow_related,dummy_most_frequent,validation,No,No,0
v1_yellow_related,dummy_most_frequent,validation,No,Yes,664
v1_yellow_related,dummy_most_frequent,validation,Yes,No,0
v1_yellow_related,dummy_most_frequent,validation,Yes,Yes,1088
v1_yellow_related,dummy_most_frequent,test,No,No,0
v1_yellow_related,dummy_most_frequent,test,No,Yes,744
v1_yellow_related,dummy_most_frequent,test,Yes,No,0
v1_yellow_related,dummy_most_frequent,test,Yes,Yes,1005
v1_yellow_related,logistic_regression,train,No,No,1873
v1_yellow_related,logistic_regression,train,No,Yes,1936
v1_yellow_related,logistic_regression,train,Yes,No,1114
v1_yellow_related,logistic_regression,train,Yes,Yes,4104
v1_yellow_related,logistic_regression,validation,No,No,243
v1_yellow_related,logistic_regression,validation,No,Yes,421
v1_yellow_related,logistic_regression,validation,Yes,No,307
v1_yellow_related,logistic_regression,validation,Yes,Yes,781
v1_yellow_related,logistic_regression,test,No,No,317
v1_yellow_related,logistic_regression,test,No,Yes,427
v1_yellow_related,logistic_regression,test,Yes,No,338
v1_yellow_related,logistic_regression,test,Yes,Yes,667
v1_yellow_related,random_forest_reference,train,No,No,3506
v1_yellow_related,random_forest_reference,train,No,Yes,303
v1_yellow_related,random_forest_reference,train,Yes,No,298
v1_yellow_related,random_forest_reference,train,Yes,Yes,4920
v1_yellow_related,random_forest_reference,validation,No,No,291
v1_yellow_related,random_forest_reference,validation,No,Yes,373
v1_yellow_related,random_forest_reference,validation,Yes,No,317
v1_yellow_related,random_forest_reference,validation,Yes,Yes,771
v1_yellow_related,random_forest_reference,test,No,No,324
v1_yellow_related,random_forest_reference,test,No,Yes,420
v1_yellow_related,random_forest_reference,test,Yes,No,336
v1_yellow_related,random_forest_reference,test,Yes,Yes,669
v1_yellow_related,catboost_classifier,train,No,No,1925
v1_yellow_related,catboost_classifier,train,No,Yes,1884
v1_yellow_related,catboost_classifier,train,Yes,No,1016
v1_yellow_related,catboost_classifier,train,Yes,Yes,4202
v1_yellow_related,catboost_classifier,validation,No,No,232
v1_yellow_related,catboost_classifier,validation,No,Yes,432
v1_yellow_related,catboost_classifier,validation,Yes,No,255
v1_yellow_related,catboost_classifier,validation,Yes,Yes,833
v1_yellow_related,catboost_classifier,test,No,No,244
v1_yellow_related,catboost_classifier,test,No,Yes,500
v1_yellow_related,catboost_classifier,test,Yes,No,276
v1_yellow_related,catboost_classifier,test,Yes,Yes,729
