feature_set,feature
v1_only,Division
v1_only,HomeTeam
v1_only,AwayTeam
v1_only,SeasonStartYear
v1_only,MatchMonth
v1_only,HomeElo
v1_only,AwayElo
v1_only,HomeEloSynced
v1_only,AwayEloSynced
v1_only,EloDiff
v1_only,EloMean
v1_only,OddHome
v1_only,OddDraw
v1_only,OddAway
v1_only,Over25
v1_only,Under25
v1_only,ImpliedHomeWin
v1_only,ImpliedDraw
v1_only,ImpliedAwayWin
v1_only,ImpliedOver25
v1_only,ImpliedUnder25
v1_only,BookmakerMargin1X2
v1_only,HomeMatchesPlayedBefore
v1_only,AwayMatchesPlayedBefore
v1_only,HomeRollingGoalsFor5
v1_only,HomeRollingGoalsAgainst5
v1_only,AwayRollingGoalsFor5
v1_only,AwayRollingGoalsAgainst5
v1_only,HomeRollingPoints3
v1_only,HomeRollingPoints5
v1_only,AwayRollingPoints3
v1_only,AwayRollingPoints5
v1_only,RollingGoalsForDiff5
v1_only,RollingGoalsAgainstDiff5
v1_only,RollingPointsDiff3
v1_only,RollingPointsDiff5
v1_yellow_related,Division
v1_yellow_related,HomeTeam
v1_yellow_related,AwayTeam
v1_yellow_related,SeasonStartYear
v1_yellow_related,MatchMonth
v1_yellow_related,HomeElo
v1_yellow_related,AwayElo
v1_yellow_related,HomeEloSynced
v1_yellow_related,AwayEloSynced
v1_yellow_related,EloDiff
v1_yellow_related,EloMean
v1_yellow_related,OddHome
v1_yellow_related,OddDraw
v1_yellow_related,OddAway
v1_yellow_related,Over25
v1_yellow_related,Under25
v1_yellow_related,ImpliedHomeWin
v1_yellow_related,ImpliedDraw
v1_yellow_related,ImpliedAwayWin
v1_yellow_related,ImpliedOver25
v1_yellow_related,ImpliedUnder25
v1_yellow_related,BookmakerMargin1X2
v1_yellow_related,HomeMatchesPlayedBefore
v1_yellow_related,AwayMatchesPlayedBefore
v1_yellow_related,HomeRollingGoalsFor5
v1_yellow_related,HomeRollingGoalsAgainst5
v1_yellow_related,AwayRollingGoalsFor5
v1_yellow_related,AwayRollingGoalsAgainst5
v1_yellow_related,HomeRollingPoints3
v1_yellow_related,HomeRollingPoints5
v1_yellow_related,AwayRollingPoints3
v1_yellow_related,AwayRollingPoints5
v1_yellow_related,RollingGoalsForDiff5
v1_yellow_related,RollingGoalsAgainstDiff5
v1_yellow_related,RollingPointsDiff3
v1_yellow_related,RollingPointsDiff5
v1_yellow_related,HomeRollingYellowCardsFor5
v1_yellow_related,HomeRollingYellowCardsAgainst5
v1_yellow_related,AwayRollingYellowCardsFor5
v1_yellow_related,AwayRollingYellowCardsAgainst5
v1_yellow_related,RollingYellowCardsForDiff5
v1_yellow_related,RollingYellowCardsAgainstDiff5
v1_yellow_related,HomeRollingTotalYellowCards5
v1_yellow_related,AwayRollingTotalYellowCards5
v1_yellow_related,RollingTotalYellowCardsDiff5
v1_yellow_related,HomeRollingYellowCardsOver35Rate5
v1_yellow_related,AwayRollingYellowCardsOver35Rate5
v1_yellow_related,RollingYellowCardsOver35RateDiff5
v1_yellow_related,HomeRollingYellowCardsFor3
v1_yellow_related,HomeRollingYellowCardsAgainst3
v1_yellow_related,AwayRollingYellowCardsFor3
v1_yellow_related,AwayRollingYellowCardsAgainst3
v1_yellow_related,RollingYellowCardsForDiff3
v1_yellow_related,RollingYellowCardsAgainstDiff3
