feature_set,model,split,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,experiment_type,threshold,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes
v1_only,dummy_most_frequent,validation,0.6210045662100456,0.5,0.7661971830985915,0.6210045662100456,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_only,dummy_most_frequent,test,0.5746140651801029,0.5,0.7298474945533769,0.5746140651801029,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_only,logistic_regression,validation,0.5764840182648402,0.5372242647058824,0.6722614840989399,0.6471088435374149,0.6994485294117647,0.375,0.6994485294117647,previous_reference,0.5,,,,
v1_only,logistic_regression,test,0.5540308747855918,0.5374157438613385,0.6257197696737045,0.6042632066728453,0.6487562189054726,0.4260752688172043,0.6487562189054726,previous_reference,0.5,,,,
v1_only,random_forest_reference,validation,0.5616438356164384,0.55256688518781,0.6257309941520468,0.6659751037344398,0.5900735294117647,0.5150602409638554,0.5900735294117647,previous_reference,0.5,,,,
v1_only,random_forest_reference,test,0.5408805031446541,0.5345249558658322,0.5909322465613857,0.605427974947808,0.5771144278606966,0.4919354838709677,0.5771144278606966,previous_reference,0.5,,,,
v1_only,catboost_classifier,validation,0.5981735159817352,0.5552744064493267,0.6936466492602262,0.6586776859504132,0.7325367647058824,0.378012048192771,0.7325367647058824,previous_reference,0.5,,,,
v1_only,catboost_classifier,test,0.5477415666094911,0.5223439255336222,0.6376546037562987,0.5908319185059423,0.6925373134328359,0.3521505376344086,0.6925373134328359,previous_reference,0.5,,,,
v1_yellow_related,dummy_most_frequent,validation,0.6210045662100456,0.5,0.7661971830985915,0.6210045662100456,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_yellow_related,dummy_most_frequent,test,0.5746140651801029,0.5,0.7298474945533769,0.5746140651801029,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_yellow_related,logistic_regression,validation,0.5844748858447488,0.5418973688873139,0.6820960698689956,0.6497504159733777,0.7178308823529411,0.3659638554216867,0.7178308823529411,previous_reference,0.5,,,,
v1_yellow_related,logistic_regression,test,0.5626072041166381,0.5448784304285027,0.635540733682706,0.6096892138939671,0.663681592039801,0.4260752688172043,0.663681592039801,previous_reference,0.5,,,,
v1_yellow_related,random_forest_reference,validation,0.6061643835616438,0.5734463589652729,0.6908602150537635,0.673951048951049,0.7086397058823529,0.4382530120481928,0.7086397058823529,previous_reference,0.5,,,,
v1_yellow_related,random_forest_reference,test,0.5677530017152659,0.5505777563793933,0.6389684813753582,0.6143250688705234,0.6656716417910448,0.4354838709677419,0.6656716417910448,previous_reference,0.5,,,,
v1_yellow_related,catboost_classifier,validation,0.6078767123287672,0.5575112951807228,0.7080322991925202,0.658498023715415,0.765625,0.3493975903614458,0.765625,previous_reference,0.5,,,,
v1_yellow_related,catboost_classifier,test,0.5563178959405375,0.526665061787835,0.6526410026857654,0.5931651749389748,0.7253731343283583,0.3279569892473118,0.7253731343283583,previous_reference,0.5,,,,
v1_yellow_related,logistic_c_0_05__balanced__default_threshold,train,0.6399689819430597,0.6429236861195283,0.6670764187666461,0.7165492957746479,0.6239938673821388,0.6618535048569179,0.6239938673821388,selected_logistic_tuned,0.5,2521.0,1288.0,1962.0,3256.0
v1_yellow_related,logistic_c_0_05__balanced__default_threshold,validation,0.5616438356164384,0.5578490432317504,0.6190476190476191,0.6724137931034483,0.5735294117647058,0.5421686746987951,0.5735294117647058,selected_logistic_tuned,0.5,360.0,304.0,464.0,624.0
v1_yellow_related,logistic_c_0_05__balanced__default_threshold,test,0.5511720983419096,0.5558718504252929,0.5731375747688962,0.63189448441247,0.5243781094527363,0.5873655913978495,0.5243781094527363,selected_logistic_tuned,0.5,437.0,307.0,478.0,527.0
v1_yellow_related,logistic_c_0_05__balanced__threshold_tuned,train,0.6182563420848566,0.6374702005427624,0.6090310869071931,0.746384872080089,0.5143733231123035,0.7605670779732213,0.5143733231123035,selected_threshold_tuned,0.55,2897.0,912.0,2534.0,2684.0
v1_yellow_related,logistic_c_0_05__balanced__threshold_tuned,validation,0.54337899543379,0.5663259656272147,0.5618838992332968,0.6951219512195121,0.47150735294117646,0.661144578313253,0.47150735294117646,selected_threshold_tuned,0.55,439.0,225.0,575.0,513.0
v1_yellow_related,logistic_c_0_05__balanced__threshold_tuned,test,0.531160663236135,0.5501524634890066,0.5089820359281437,0.6390977443609023,0.4228855721393035,0.6774193548387096,0.4228855721393035,selected_threshold_tuned,0.55,504.0,240.0,580.0,425.0
